위도(WGS84좌표),경도(WGS84좌표),information,man_made,name,addr:full,operator,operator:type,start_date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.4720543,129.1444977,board,,공공게시대,강원도 동해시 구호동 251임,강원도옥외광고협회 동해시지부,government,2016,,,,구호동,,,
37.4860029,129.1118981,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,216-3,나안동,,,
37.4760649,129.1199531,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,271-12,단봉동,,,
37.4861076,129.1067886,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,1034-4,쇄운동,,,
37.4882653,129.0682535,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,183-4,이로동,,,
37.4787332,129.1565795,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,555-7,추암동,,,
37.4977929,129.1242797,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,958-94,송정동,,,
37.4910298,129.1203811,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,1108-1,송정동,,,
37.4892009,129.1219731,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,1200-2,송정동,,,
37.5145021,129.1039931,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,774-1,천곡동,,,
37.5194555,129.1036656,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,388-2,천곡동,,,
37.5277059,129.1193082,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,239-1,천곡동,,,
37.5294308,129.1165078,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,455,평릉동,,,
37.5323533,129.1140837,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,430,평릉동,,,
37.5318475,129.1040349,board,,공공게시대,강원도 동해시 평릉동 산56-9,강원도옥외광고협회 동해시지부,government,2007,,,,평릉동,,,
37.5389473,129.1022465,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,166,부곡동,,,
37.5391333,129.1101892,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,7-77,부곡동,,,
37.5463451,129.1075033,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,208-9,발한동,,,
37.5576711,129.1041396,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,354-8,발한동,,,
37.5625703,129.1011117,board,,공공게시대,강원도 동해시 발한동 산29-1,강원도옥외광고협회 동해시지부,government,2007,,,,발한동,,,
37.5805795,129.0983721,board,,공공게시대,,강원도옥외광고협회 동해시지부,government,2007,,,47-6,망상동,,,
