지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,재질,구조,연장,폭원,높이-최대,높이-최소,대장초기화여부,비고,구분ID,경도,위도
옹벽,1566,도산면,348021326D,통영시,9106,,철근콘크리트,,117.06,0.3,1,0.3,1,,20,128.3794722,34.88580298
옹벽,1567,도산면,348021326D,통영시,9106,,철근콘크리트,,45.97,0.3,1,0.3,1,,21,128.379606,34.8857749
옹벽,1568,도산면,348021336B,통영시,9106,,철근콘크리트,,204.62,0.3,1,0.3,1,,22,128.3790571,34.88441538
옹벽,1569,도산면,348021334B,통영시,9106,,철근콘크리트,,68.73,0.3,1,0.3,1,,23,128.3687289,34.88383958
옹벽,1570,도산면,348021334B,통영시,9106,,철근콘크리트,,44.71,0.3,1,0.2,1,,24,128.3696311,34.88286986
옹벽,1571,도산면,348021335C,통영시,9106,,철근콘크리트,,80.28,0.3,1,0.3,1,,25,128.3701166,34.88241994
옹벽,1572,도산면,348021335C,통영시,9106,,철근콘크리트,,30.67,0.3,1,0.2,1,,26,128.3704238,34.88190176
옹벽,1573,도산면,348021335C,통영시,9106,,철근콘크리트,,88.14,0.3,1,0.2,1,,27,128.3710128,34.881148
옹벽,1574,도산면,348021335C,통영시,9106,,철근콘크리트,,11.66,0.3,1.8,1,1,,28,128.3714028,34.88073954
옹벽,1575,도산면,348021335C,통영시,9106,,철근콘크리트,,62.92,0.3,1,0.2,1,,29,128.3715999,34.88041377
옹벽,1576,도산면,348021345A,통영시,9106,,철근콘크리트,,59.38,0.3,1,0.2,1,,30,128.3718458,34.87985138
옹벽,1577,도산면,348021219C,통영시,9119,,철근콘크리트,,67.59,0.3,1,0.3,1,,31,128.3422698,34.8924536
옹벽,1451,산양읍,348021968B,통영시,9262,,철근콘크리트,,105.97,0.3,0.55,0.55,1,,32,128.4394013,34.81774928
옹벽,1452,산양읍,348021968D,통영시,9262,,철근콘크리트,,263.88,0.3,0.55,0.55,1,,33,128.4391183,34.8161437
옹벽,1453,산양읍,348021978B,통영시,9262,,철근콘크리트,,528.32,0.3,0.55,0.55,1,,34,128.4396399,34.8126775
옹벽,1454,산양읍,348021989A,통영시,9262,,철근콘크리트,,195.34,0.3,0.55,0.55,1,,35,128.4413117,34.80984242
석축,1297,산양읍,348021832C,통영시,8896,,석축,,145.19,0.3,2.5,0.5,1,,36,128.3560744,34.83192936
석축,1298,산양읍,348021832A,통영시,8896,,석축,,19.07,0.3,2,0.5,1,,37,128.3562418,34.83405848
석축,1299,산양읍,348021832A,통영시,8896,,석축,,140.29,0.3,2.5,0.5,1,,38,128.3555193,34.83280722
석축,58,명정동,348021300B,통영시,3180,,석축,,101.38,0.3,1.7,0.2,1,,39,128.3993842,34.85479668
석축,59,명정동,348021300B,통영시,3180,,석축,,124.12,0.3,1.5,0.2,1,,40,128.3993962,34.85468377
석축,60,명정동,348021300B,통영시,3181,,석축,,70.32,0.3,1.65,0.3,1,,41,128.3999402,34.85424386
