위도,경도,name,man_made,product,addr:full
126.8685201,37.36205368,주식회사 가을식품,works,food,"경기도 안산시 상록구 안산벌말길 36-24, 1층 (장하동)"
126.8875724,37.29686705,(주)고향미트,works,food,"경기도 안산시 상록구 소학1길 6-10, 3층 (팔곡이동, 일부 )"
126.8493858,37.27937083,동원식품,works,food,"경기도 안산시 상록구 영화4길 1, 1층 (사동)"
126.8578481,37.28237291,새싹푸드,works,food,"경기도 안산시 상록구 고목로 21, 1층 (본오동)"
126.7707566,37.32464525,(주)진승에프엔비,works,food,"경기도 안산시 단원구 해봉로 277, 다동 2층 (신길동)"
126.8041641,37.34172628,한국김치,works,food,"경기도 안산시 단원구 선이로 6, 111호 (선부동, 일신건영휴먼빌상가)"
126.8376874,37.31795492,FIC코리아,works,food,"경기도 안산시 단원구 고잔1길 40, 302호 (고잔동, 동원빌딩 )"
126.8162965,37.3093364,(주)큐엔씨육가공,works,food,"경기도 안산시 단원구 광덕2로 58-12 (초지동, 1층 일부)"
126.8664076,37.3317591,옹달샘유통,works,food,"경기도 안산시 상록구 정재로 44-1 (부곡동, 1층 일부)"
126.5577695,37.21123687,대부맛김영어조합법인,works,food,"경기도 안산시 단원구 대남로 510, 1층 (대부남동)"
126.8483824,37.27931547,(주)도스마스,works,food,"경기도 안산시 상록구 선진3길 12 (사동, 1층일부)"
126.8656868,37.28759018,(주)푸른푸드,works,food,"경기도 안산시 상록구 본오로 31-9 (본오동, 1층 일부)"
126.8734051,37.35053515,푸드이노베이션,works,food,"경기도 안산시 상록구 동막길 19-2, 1층 (장상동)"
126.8617686,37.28426079,본푸드,works,food,"경기도 안산시 상록구 고목로7길 10, 1층 (본오동)"
126.8746505,37.36150185,(주)해오름에프에스,works,food,"경기도 안산시 상록구 청룡3길 38 (장상동, 1층일부)"
126.7919129,37.33209122,동문식품,works,food,"경기도 안산시 단원구 부부로1길 11-15, 1층 (원곡동)"
126.8320471,37.30783745,행복한학교,works,food,"경기도 안산시 단원구 광덕동로 39, 402호 (고잔동, 대우프라자)"
126.843126,37.31220486,행복한커피,works,food,"경기도 안산시 상록구 조구나리1길 58, 1층 (이동)"
126.866771,37.28670843,부성식품,works,food,"경기도 안산시 상록구 이호로 90, 1층 (본오동)"
126.7861944,37.31950268,(주)화인푸드라인,works,food,"경기도 안산시 단원구 산단로163번길 123 (원시동, 2층 일부 )"
126.8702677,37.363254,다비치푸드,works,food,"경기도 안산시 상록구 방아고개길 35-7, 1층 (장하동)"
126.9233226,37.29884269,하명식품,works,food,"경기도 안산시 상록구 대촌1길 6 (사사동, 1층)"
126.845548,37.31378489,(주)바다향기,works,food,"경기도 안산시 상록구 송호1길 46 (이동, 1층 일부 )"
126.8328591,37.31792105,자이언트커피로스터스,works,food,"경기도 안산시 단원구 당곡로 9, 121호 (고잔동, 진양빌딩 )"
126.8787653,37.35097338,엘푸드,works,food,"경기도 안산시 상록구 동막길 69-9 (장상동, 1층일부)"
126.9177868,37.29706382,TO.COFFEE (커피에게),works,food,"경기도 안산시 상록구 양지마을1길 7 (사사동, 1층)"
126.8177134,37.34333405,미가온,works,food,"경기도 안산시 단원구 화정천서로 521 (선부동, 1층 일부 )"
126.875992,37.34911435,영도식품,works,food,"경기도 안산시 상록구 동막2길 16-1 (장상동, 1층 일부)"
126.8413207,37.30184066,크레바스,works,food,"경기도 안산시 상록구 한양대학로 16 (사동, 1층 일부)"
126.7885851,37.30794694,(주)홍익푸드(안산지점),works,food,"경기도 안산시 단원구 범지기로 117 (원시동, 1층 일부)"
126.8081375,37.33256054,청원수산,works,food,"경기도 안산시 단원구 선부광장1로 162 (선부동, 선부프라자 지하 103,104호 )"
126.5807175,37.26373361,우리밀푸드,works,food,"경기도 안산시 단원구 대부황금로 1170, 1층 (대부북동)"
126.8592642,37.35005931,진푸드,works,food,"경기도 안산시 상록구 원후길 6 (장하동, 1층 일부)"
126.8449666,37.30590018,한민엔홀릭,works,food,"경기도 안산시 상록구 천문3길 7-1 (사동, 1층 일부)"
126.8473208,37.30748009,누베스커피,works,food,"경기도 안산시 상록구 석호로 44 (이동, 1층 일부)"
126.7900477,37.32931275,아시아푸드,works,food,"경기도 안산시 단원구 다문화길 13 (원곡동, 3층 일부)"
126.821019,37.35778245,동북식품,works,food,"경기도 안산시 단원구 대장골길 3, 1층 (화정동)"
126.8073798,37.34189382,제이케이(JK)푸드,works,food,"경기도 안산시 단원구 석수로4길 3 (선부동, 1층 일부)"
126.8433324,37.32662146,(주)에바다수산,works,food,"경기도 안산시 상록구 예술광장1로 129, 에이동 지하201호 (성포동, 선경상가 )"
126.8108884,37.30242592,소이바이오틱스(SoyBiotics),works,food,"경기도 안산시 단원구 원포공원1로 59, B동 421호 (초지동, 신명트윈타워 )"
126.839047,37.29970211,시저 커피 컴퍼니,works,food,"경기도 안산시 상록구 학사2길 8 (사동, 1층일부)"
126.8072716,37.33575772,선진국낙지마당,works,food,"경기도 안산시 단원구 선부광장1로 14, 201호 (선부동, 광원빌딩 )"
126.7721925,37.30520405,(주)씨앤푸드,works,food,"경기도 안산시 단원구 별망로 419 (목내동, 광양프런티어벨리 202~204호)"
126.862049,37.28509007,(주)한국에프에스,works,food,"경기도 안산시 상록구 고목로7길 21, 1층 (본오동)"
126.8450225,37.35467238,주식회사 새솔,works,food,"경기도 안산시 상록구 버대길 167, 1층 (양상동)"
126.8170507,37.31459053,브라운레인,works,food,"경기도 안산시 단원구 신촌4길 13, 광덕빌딩 2층 일부 (초지동)"
126.9157031,37.29470162,(주)해피푸드,works,food,"경기도 안산시 상록구 양지마을길 43 (사사동, 마동 1층일부)"
126.7613351,37.32483362,(주)매운생각,works,food,"경기도 안산시 단원구 성곡로 176 (성곡동, 타원타크라지식산업센타 가동 216호)"
126.8787633,37.36589418,(주)오성푸드,works,food,"경기도 안산시 상록구 수암4길 19-9 (수암동, 2층일부)"
126.7795481,37.30473161,세영식품,works,food,"경기도 안산시 단원구 원시로 79 (목내동, A동 1층일부)"
126.8520694,37.30759436,(주)좋은아침,works,food,"경기도 안산시 상록구 중보로 49, 307호 (이동, 숭실프라자)"
126.8450993,37.35572667,경인식품,works,food,"경기도 안산시 상록구 버대길 178 (양상동, 1층,2층)"
126.7691934,37.32664243,청마씨푸드,works,food,"경기도 안산시 단원구 해봉로273번길 27 (신길동, 2동 1층일부 (3호))"
126.7691934,37.32664243,(주)바다랑,works,food,"경기도 안산시 단원구 해봉로273번길 27 (신길동, 2동 1층일부 (2호))"
126.8510437,37.30161927,궁중,works,food,"경기도 안산시 상록구 석호공원로 69 (사동, 인우빌 101호일부)"
126.8584871,37.34919339,두거리푸드,works,food,"경기도 안산시 상록구 장하로 113 (장하동, 1층일부)"
126.773328,37.31011682,추자시푸드,works,food,"경기도 안산시 단원구 목내로119번길 17, 가동 (목내동, 3층 일부)"
126.8670704,37.34595089,한마음푸드(주),works,food,"경기도 안산시 상록구 새말길 15 (부곡동, 1층일부)"
126.9227582,37.29928381,(주)빵명가,works,food,"경기도 안산시 상록구 대촌2길 10 (사사동, 1층)"
126.7885514,37.31984034,주식회사 두루인터내셔널,works,food,"경기도 안산시 단원구 산단로 278, A동 506호 (원시동, 반월하이테크빌리지)"
126.832377,37.31158618,빵집아저씨들협동조합,works,food,"경기도 안산시 단원구 광덕동로 81, 404호 (고잔동, 진성드림프라자)"
126.7848586,37.32500545,쓰리데이즈빈,works,food,"경기도 안산시 단원구 산단로 341, 422호 (신길동, 정우벤처타운2)"
126.8584631,37.32637059,클커피컴퍼니,works,food,"경기도 안산시 상록구 성호로 258 (부곡동, 안산제2종합시장 1033호)"
126.7630019,37.32578308,(주)씨에스앰,works,food,"경기도 안산시 단원구 성곡로 206 (성곡동, 1동(에이맨) 1층 일부)"
126.8400801,37.31225477,오목커피,works,food,"경기도 안산시 단원구 이삭3길 66 (고잔동, 1층 일부)"
126.8513838,37.29515036,하보리떡방,works,food,"경기도 안산시 상록구 후곡로 80 (사동, 1층일부)"
126.8695705,37.29147804,(주)통영푸드,works,food,"경기도 안산시 상록구 본원로 100 (본오동, 1층)"
126.778715,37.32320094,누룽지애인숭늉씨,works,food,"경기도 안산시 단원구 능안로 81, 안산디지털파크 4층 4010호 (신길동)"
126.828769,37.34014322,주식회사 굿모닝효소,works,food,"경기도 안산시 단원구 사세충열로 69 (와동, 지101호)"
126.9044835,37.31047875,바리스타강 커피 팩토리,works,food,"경기도 안산시 상록구 건건로 107 (건건동, 1층일부)"
126.8313562,37.35869891,주식회사 월드축산,works,food,"경기도 안산시 단원구 너비울길 150, 1층 (화정동)"
126.8520694,37.30759436,(주)좋은아침 제2공장,works,food,"경기도 안산시 상록구 중보로 49, 숭실프라자 301,302,304,203호 (이동)"
126.7622729,37.30672504,이가식품,works,food,"경기도 안산시 단원구 별망로 336 (성곡동, (주)경진텍 1동 3층 일부)"
126.8658811,37.2861758,한아름농장,works,food,"경기도 안산시 상록구 본오로 13, 1층 (본오동)"
126.9176749,37.29631589,(주)하나로떡집,works,food,"경기도 안산시 상록구 양지마을길 18, 1층 (사사동)"
126.7754109,37.30394885,가량진미식품,works,food,"경기도 안산시 단원구 별망로 453 (목내동, 광양프런티어밸리-2지식산업센터 705호)"
126.8223487,37.35872154,H2(에이치2),works,food,"경기도 안산시 단원구 꽃우물1길 22-9, 1층 (화정동)"
126.8645132,37.28803933,니트로랩,works,food,"경기도 안산시 상록구 선암로2길 5, 지1층,2층 (본오동)"
126.764143,37.31103571,(주)한사랑푸드,works,food,"경기도 안산시 단원구 장자골로 41, 3층 (성곡동)"
126.8671235,37.34153597,(주)아로니아농산,works,food,"경기도 안산시 상록구 청곡길 19, 1층 (부곡동)"
126.7731424,37.31181038,(주)베라코리아,works,food,"경기도 안산시 단원구 목내로119번길 74, 1층 (목내동)"
126.8796807,37.36405707,황금푸드,works,food,"경기도 안산시 상록구 원당골2길 22-9 (수암동, 1층일부)"
126.8796009,37.36455254,대상F&S,works,food,"경기도 안산시 상록구 수암3길 5, 1층 (수암동)"
126.7936307,37.33111217,원두마루,works,food,"경기도 안산시 단원구 원곡로 48, 1층 (원곡동)"
126.8159898,37.3466651,착한현미수제누룽지,works,food,"경기도 안산시 단원구 화정천서로6길 20 (선부동, 1층일부)"
126.8587925,37.30747659,옛밥사랑경기본부,works,food,"경기도 안산시 상록구 이동로 16, 1층 (이동)"
126.8544062,37.29520825,총각네주방,works,food,"경기도 안산시 상록구 당골2길 12, 지층 (사동)"
126.8294944,37.32895365,수현누,works,food,"경기도 안산시 단원구 적금로 244, 109호 (고잔동, 문화연립상가동)"
126.8490149,37.31200543,(주)수연,works,food,"경기도 안산시 상록구 송호1길 88, 1층 (이동)"
126.8586058,37.32253242,신세계식품,works,food,"경기도 안산시 상록구 두레로 7-1, 1층 (부곡동)"
126.7870019,37.3054212,와이코리아(주),works,food,"경기도 안산시 단원구 산단로 107, 528호 (원시동, 서흥테크노밸리)"
126.8689117,37.28775606,선진,works,food,"경기도 안산시 상록구 이호로 113, 1층 (본오동)"
126.7754109,37.30394885,원스푸드,works,food,"경기도 안산시 단원구 별망로 453, 323호 (목내동, 광양프런티어밸리-2 지식산업센터)"
126.832379,37.31070318,착한맘굿쉐프,works,food,"경기도 안산시 단원구 광덕동로 71, 110호 (고잔동, 네오빌딩)"
126.8398276,37.31428172,청백식품,works,food,"경기도 안산시 단원구 광덕4로 246, 131호 (고잔동, 중앙상가)"
126.8103563,37.30319994,다인유통,works,food,"경기도 안산시 단원구 원포공원1로 70, 101-2호 (초지동, 키즈타운1)"
126.8487999,37.3123115,대도김치,works,food,"경기도 안산시 상록구 송호로 8-9, 1층 (이동, 송호로12-8,송호로8-9)"
126.7704938,37.32570793,주식회사 인비바,works,food,"경기도 안산시 단원구 해봉로273번길 12, 1층 (신길동, 제이미크론반월공장B동)"
126.8302735,37.35830989,(주)본네이쳐,works,food,경기도 안산시 단원구 너비울길 137 (화정동)
126.85366,37.33608662,드림유통,works,food,"경기도 안산시 상록구 월피로2길 6, 1층 (월피동)"
126.7319042,37.31401173,케이커피,works,food,"경기도 안산시 단원구 번영로32번길 3, A동 2층 (성곡동)"
126.7688308,37.32714628,고려은단 주식회사,works,food,경기도 안산시 단원구 해봉로273번길 33 (신길동)
126.8292693,37.33361158,안산시니어클럽건강米누룽지,works,food,"경기도 안산시 단원구 보배4길 47, 1층 (와동)"
126.9123476,37.29964573,상록수된장마을,works,food,"경기도 안산시 상록구 수인로 872, 1층 (사사동)"
126.7870019,37.3054212,(주)우영에프앤디,works,food,"경기도 안산시 단원구 산단로 107, 서흥테크노밸리 6층 610호일부,611호 (원시동)"
126.8326072,37.31455988,코이노커피로스터스,works,food,"경기도 안산시 단원구 광덕4로 180, 부원프라자 1층 131호 (고잔동)"
