버스정류장 명칭,도로명주소,지번주소,위도,경도,기준일 
수철마을,강원도 원주시 소초면 무쇠점1길 38,강원도 원주시 소초면 학곡리 1061-23,37.422788,128.051944,2020-11-25
식송,강원도 원주시 소초면 웃독골길 4,강원도 원주시 소초면 수암리 706-4,37.403025,127.993601,2020-11-25
수암2리,강원도 원주시 소초면 치악로 2567,강원도 원주시 소초면 수암리 산 55,37.400221,127.990261,2020-11-25
수암2리,강원도 원주시 소초면 치악로 2567,강원도 원주시 소초면 수암리 1637,37.400816,127.990377,2020-11-25
식송,강원도 원주시 소초면 웃독골길 13,강원도 원주시 소초면 수암리 692-6,37.402775,127.992637,2020-11-25
아래대동,강원도 원주시 소초면 치악로 3021,강원도 원주시 소초면 교항리 1110-1,37.431883,128.015666,2020-11-25
아래대동,강원도 원주시 소초면 치악로 3021,강원도 원주시 소초면 교항리 613-2,37.431771,128.015397,2020-11-25
아래황골,강원도 원주시 소초면 황골로 315,강원도 원주시 소초면 흥양리 454-2,37.370585,127.999819,2020-11-25
양촌,강원도 원주시 소초면 섬배로 55,강원도 원주시 소초면 장양리 89-1,37.421068,127.968716,2020-11-25
연화사,강원도 원주시 소초면 북원로 3378-3,강원도 원주시 소초면 의관리 산 105-2,37.438663,127.978589,2020-11-25
영진아파트,강원도 원주시 소초면 장막2길 3,강원도 원주시 소초면 장양리 산 69,37.410955,127.960078,2020-11-25
산현,강원도 원주시 호저면 매호로 278,강원도 원주시 호저면 산현리 280-4,37.421336,127.89592,2020-11-25
산현,강원도 원주시 호저면 칠봉로 386,강원도 원주시 호저면 산현리 578-5,37.428382,127.893097,2020-11-25
산현,강원도 원주시 호저면 칠봉로 386,강원도 원주시 호저면 산현리 578-5,37.428371,127.892939,2020-11-25
상고산,강원도 원주시 호저면 호저로 951-8,강원도 원주시 호저면 고산리 222-1,37.452238,127.927186,2020-11-25
상용곡다리,강원도 원주시 호저면 칠봉로 832,강원도 원주시 호저면 용곡리 580,37.457381,127.894334,2020-11-25
상용곡다리,강원도 원주시 호저면 칠봉로 825,강원도 원주시 호저면 용곡리 440-1,37.457044,127.894391,2020-11-25
상용곡종점,강원도 원주시 호저면 칠봉로 888,강원도 원주시 호저면 용곡리 580,37.461037,127.890542,2020-11-25
샘골다리입구,강원도 원주시 호저면 광격윗길 4,강원도 원주시 호저면 광격리 1006,37.453146,127.932827,2020-11-25
샘골종점,강원도 원주시 호저면 광격샘골길 53-1,강원도 원주시 호저면 광격리 704-3,37.453931,127.938446,2020-11-25
장양리 차고지,강원도 원주시 소초면 북원로 3116,강원도 원주시 소초면 장양리 1787-1,37.420357,127.963514,2020-11-25
파인밸리,강원도 원주시 소초면 황골로 266,강원도 원주시 소초면 흥양리 951-3,37.375331,127.996897,2020-11-25
하초구,강원도 원주시 소초면 하초구길 60,강원도 원주시 소초면 흥양리 1772-68,37.379753,128.002469,2020-11-25
하촌,강원도 원주시 소초면 장수1로 85,강원도 원주시 소초면 장양리 231-6,37.404763,127.965492,2020-11-25
하촌,강원도 원주시 소초면 장수1로 85,강원도 원주시 소초면 장양리 1816,37.404853,127.965599,2020-11-25
학곡1리,강원도 원주시 소초면 치악로 3371-1,강원도 원주시 소초면 학곡리 557-1,37.439632,128.050523,2020-11-25
