명칭,위도,경도,기준일
배나드리,37.576093,128.743241,2021-10-05
배나드리,37.576069,128.743385,2021-10-05
백운암입구,37.655967,128.850376,2021-10-05
백운암입구,37.655908,128.850233,2021-10-05
버당말,37.722836,128.962796,2021-10-05
버당말,37.722816,128.962893,2021-10-05
버들교,37.850338,128.773533,2021-10-05
버들교,37.850289,128.774171,2021-10-05
버들교,37.722278,128.917997,2021-10-05
버들교,37.72225,128.917883,2021-10-05
벌말,37.586338,128.777526,2021-10-05
벌말,37.586073,128.777795,2021-10-05
법원.검찰청,37.785209,128.87351,2021-10-05
법원.검찰청,37.785095,128.874017,2021-10-05
병무청,37.748157,128.908446,2021-10-05
병무청,37.7498,128.907293,2021-10-05
보건소,37.74399,128.88303,2021-10-05
보건소,37.743668,128.882244,2021-10-05
보건진료소,37.687842,128.973369,2021-10-05
보건진료소,37.687824,128.973267,2021-10-05
보광리입구,37.72105,128.816884,2021-10-05
보광리입구,37.721182,128.816906,2021-10-05
보광리체험학습장,37.738111,128.807537,2021-10-05
보광리체험학습장,37.737995,128.807851,2021-10-05
보광리체험학습장,37.738167,128.807776,2021-10-05
보광보건진료소,37.738142,128.805525,2021-10-05
보광보건진료소,37.738068,128.805486,2021-10-05
보광본동,37.746254,128.799358,2021-10-05
보광본동,37.746238,128.799466,2021-10-05
보광평,37.738211,128.802699,2021-10-05
보광평,37.738303,128.802731,2021-10-05
보리사입구,37.736303,128.897846,2021-10-05
보리사입구,37.736359,128.897752,2021-10-05
보성연립,37.90203,128.825706,2021-10-05
보성연립,37.901954,128.825621,2021-10-05
보현사종점,37.738134,128.792771,2021-10-05
부연동입구,37.840416,128.6565,2021-10-05
부영2차A,37.770355,128.882707,2021-10-05
부영2차A,37.770211,128.882433,2021-10-05
부흥마을,37.746999,128.906348,2021-10-05
부흥마을,37.746915,128.906283,2021-10-05
북강릉IC,37.836897,128.844208,2021-10-05
북강릉주차장,37.809574,128.853942,2021-10-05
북강릉주차장,37.809601,128.85381,2021-10-05
북동리,37.621985,128.980421,2021-10-05
북동리,37.622082,128.98052,2021-10-05
북동리,37.621939,128.980601,2021-10-05
북동리종점,37.611661,128.972138,2021-10-05
북부노인대학,37.820207,128.850688,2021-10-05
북부노인대학,37.82022,128.850822,2021-10-05
북부노인종합복지관,37.87473,128.830433,2021-10-05
북부노인종합복지관,37.874362,128.830628,2021-10-05
분수동,37.684255,129.024374,2021-10-05
분수동,37.684198,129.024416,2021-10-05
비성거리,37.574521,128.961649,2021-10-05
비성거리,37.574224,128.961482,2021-10-05
사근진,37.812462,128.898503,2021-10-05
사근진,37.812803,128.897871,2021-10-05
사기막,37.617346,128.99199,2021-10-05
사기막,37.61746,128.992032,2021-10-05
사기막,37.79276,128.806381,2021-10-05
사기막리,37.793648,128.817467,2021-10-05
사기막리,37.793537,128.817492,2021-10-05
사기막마을회관,37.793034,128.81092,2021-10-05
사기막마을회관,37.793144,128.810942,2021-10-05
사반,37.534254,128.846814,2021-10-05
사반,37.534201,128.846686,2021-10-05
사이말교,37.712015,128.888072,2021-10-05
사이말교,37.712,128.887972,2021-10-05
사이소재길,37.557847,128.847661,2021-10-05
사이소재길,37.557843,128.847542,2021-10-05
사천면사무소,37.823902,128.8493,2021-10-05
사천면사무소,37.823332,128.849142,2021-10-05
사천중학교,37.826742,128.846633,2021-10-05
사천중학교,37.82684,128.846612,2021-10-05
사천진리,37.838132,128.873419,2021-10-05
사천진리,37.838081,128.875726,2021-10-05
사천진리,37.838084,128.875589,2021-10-05
사천진해변,37.843058,128.873408,2021-10-05
사천진해변,37.842997,128.873297,2021-10-05
사천해변,37.828854,128.87855,2021-10-05
사천해변,37.828815,128.878351,2021-10-05
산계,37.573565,128.957008,2021-10-05
산계,37.573432,128.957,2021-10-05
산계,37.573053,128.953661,2021-10-05
산계,37.572985,128.953641,2021-10-05
산계2리,37.580142,128.975269,2021-10-05
산계2리,37.579981,128.975136,2021-10-05
산계2리,37.579847,128.972443,2021-10-05
산계2리,37.579665,128.972306,2021-10-05
산계리버스종점,37.574959,128.946029,2021-10-05
산대월,37.816068,128.872234,2021-10-05
산대월리.순포,37.822775,128.885607,2021-10-05
산대월리.순포,37.822705,128.885579,2021-10-05
산두골,37.718646,128.984022,2021-10-05
산두골,37.71856,128.984021,2021-10-05
산림조합,37.854881,128.816431,2021-10-05
산림조합,37.854801,128.816525,2021-10-05
산북,37.704998,128.845877,2021-10-05
산성우2리,37.671652,129.017253,2021-10-05
산성우2리,37.671652,129.017351,2021-10-05
산성우2리마을회관,37.678332,129.022681,2021-10-05
산성우2리마을회관,37.678235,129.022802,2021-10-05
삼개사입구,37.750477,128.88693,2021-10-05
삼개사입구,37.750491,128.886799,2021-10-05
삼거리,37.745189,128.834545,2021-10-05
삼거리,37.745128,128.834594,2021-10-05
삼교리종점,37.879745,128.750001,2021-10-05
삼교리종점,37.879828,128.750007,2021-10-05
삼산1리,37.845584,128.704702,2021-10-05
삼산1리,37.845824,128.704798,2021-10-05
삼산4리,37.836372,128.653413,2021-10-05
삼산보건진료소,37.846751,128.699905,2021-10-05
삼산분소,37.848404,128.727456,2021-10-05
삼성디지털센터,37.758158,128.896704,2021-10-05
삼왕,37.759599,128.794507,2021-10-05
삼우은성아파트,37.770297,128.919703,2021-10-05
삼우은성아파트,37.77009,128.918789,2021-10-05
삼익아파트,37.779519,128.933414,2021-10-05
삼창그린맨션,37.744795,128.887446,2021-10-05
삼천리A,37.868948,128.837932,2021-10-05
삼천리A,37.869115,128.83831,2021-10-05
삼흥사,37.739776,128.901204,2021-10-05
삼흥사,37.739857,128.901204,2021-10-05
삽당령휴게소,37.577771,128.853326,2021-10-05
삽당령휴게소,37.577685,128.853479,2021-10-05
상근내,37.877509,128.779603,2021-10-05
상근내,37.87741,128.7796,2021-10-05
상반암,37.581523,128.975555,2021-10-05
상반암,37.581532,128.975424,2021-10-05
상시동,37.718225,128.942464,2021-10-05
상시동,37.718304,128.942431,2021-10-05
상시동2리마을구판장,37.722478,128.949022,2021-10-05
상시동2리마을구판장,37.722575,128.949135,2021-10-05
새재마을,37.685265,128.824543,2021-10-05
새재마을,37.685242,128.82444,2021-10-05
샘골,37.619215,129.009195,2021-10-05
샘골,37.619333,129.009194,2021-10-05
샘골식당,37.729698,128.811634,2021-10-05
샘골식당,37.729748,128.811766,2021-10-05
샘터휴게실,37.626096,128.861952,2021-10-05
샘터휴게실,37.625899,128.861642,2021-10-05
서희아파트,37.739971,128.86614,2021-10-05
서희아파트,37.739781,128.866283,2021-10-05
석교2리,37.842448,128.820731,2021-10-05
석불사입구,37.754043,128.794263,2021-10-05
석불사입구,37.75404,128.794357,2021-10-05
선교장,37.785359,128.884746,2021-10-05
선교장,37.785172,128.884628,2021-10-05
선교장입구,37.782081,128.880051,2021-10-05
선교장입구,37.782178,128.88027,2021-10-05
선수촌아파트,37.76327,128.870008,2021-10-05
선수촌아파트,37.763285,128.870229,2021-10-05
설암마을,37.595327,128.998187,2021-10-05
설암마을,37.595458,128.998339,2021-10-05
섬석교,37.740975,128.921601,2021-10-05
섬석교,37.740725,128.921618,2021-10-05
성내동광장,37.750929,128.894658,2021-10-05
성내동광장,37.751025,128.894832,2021-10-05
성덕동주민센터,37.762756,128.915254,2021-10-05
성덕동주민센터,37.762948,128.915394,2021-10-05
성덕초등학교,37.755783,128.910152,2021-10-05
성산,37.714439,128.827178,2021-10-05
성산,37.714542,128.827147,2021-10-05
성산면사무소,37.718641,128.832551,2021-10-05
성산면사무소,37.719001,128.832596,2021-10-05
성산치안센터,37.715701,128.830889,2021-10-05
성산치안센터,37.716023,128.831059,2021-10-05
성원사입구,37.84734,128.686441,2021-10-05
성황당,37.712474,128.873416,2021-10-05
성황당,37.712456,128.873514,2021-10-05
성황당교,37.719489,128.89057,2021-10-05
소금강,37.821811,128.712476,2021-10-05
소금강,37.821652,128.712312,2021-10-05
소금강돌박물관,37.848346,128.725787,2021-10-05
소금강분교,37.831366,128.709971,2021-10-05
소금강분교,37.831345,128.709829,2021-10-05
소금강삼거리,37.846633,128.705587,2021-10-05
소금강삼거리,37.846671,128.705479,2021-10-05
