위도,경도,name,addr:full,source:date,office
33.2550319435,126.5466808372,대우안전주식회사,제주특별자치도 서귀포시 일주동로 8826 ,2020-09-21,advertising_agency
33.250891807,126.5638662671,오색광고사,제주특별자치도 서귀포시 동문로 30-2 ,2020-09-21,advertising_agency
33.2430713449,126.4316999423,도시연출,제주특별자치도 서귀포시 대포중앙로 92 ,2020-09-21,advertising_agency
33.245163796,126.5531857747,(주)아인산업,제주특별자치도 서귀포시 남성중로 151 ,2020-09-21,advertising_agency
33.2537462701,126.5690627482,씨티간판,제주특별자치도 서귀포시 문부로11번길 18 ,2020-09-21,advertising_agency
33.222627929,126.254730377,송미사,제주특별자치도 서귀포시 대정읍 신영로 122 ,2020-09-21,advertising_agency
33.256591148,126.2287454205,(주)대일씨엠,제주특별자치도 서귀포시 대정읍 일주서로3000번길 132,2020-09-21,advertising_agency
33.2477161758,126.5661351246,더존기획,제주특별자치도 서귀포시 태평로431번길 24 ,2020-09-21,advertising_agency
33.2389688205,126.4798274074,성원기획,제주특별자치도 서귀포시 말질로 140 ,2020-09-21,advertising_agency
33.2467112832,126.570492011,미광,제주특별자치도 서귀포시 동부로12번길 15-3 ,2020-09-21,advertising_agency
