위도,경도,name,addr:full,highway,public_transport,operator
37.386195,127.977641,돌모루,강원도 원주시 소초면 치악로 2370,bus_stop,platform,원주시
37.440831,127.989524,둔둔2리,강원도 원주시 소초면 둔둔로 227,bus_stop,platform,원주시
37.446074,127.978262,둔둔리,강원도 원주시 소초면 버덩마을길 5,bus_stop,platform,원주시
37.446472,127.977691,둔둔리,강원도 원주시 소초면 버덩마을길 5,bus_stop,platform,원주시
37.452888,127.988397,고리골,강원도 원주시 소초면 둔둔로 366-7,bus_stop,platform,원주시
37.443615,127.989756,둔둔리 마을회관,강원도 원주시 소초면 둔둔로 256,bus_stop,platform,원주시
37.447818,127.990049,양지마을,강원도 원주시 소초면 둔둔로 302,bus_stop,platform,원주시
37.437726,128.023982,밤나무정(중장비시험장),강원도 원주시 소초면 치악로 3121-6,bus_stop,platform,원주시
37.429546,128.059044,백교,강원도 원주시 소초면 백교길 1,bus_stop,platform,원주시
37.440565,128.043762,백배미,강원도 원주시 소초면 치악로 3305,bus_stop,platform,원주시
37.417718,128.001245,본동,강원도 원주시 소초면 치악로 2791,bus_stop,platform,원주시
37.418059,128.001746,본동앞,강원도 원주시 소초면 치악로 2796,bus_stop,platform,원주시
37.414522,127.961972,부안동,강원도 원주시 소초면 북원로 3058,bus_stop,platform,원주시
37.414741,127.999311,부채고개,강원도 원주시 소초면 치악로 2752,bus_stop,platform,원주시
37.379235,128.005486,상초구,강원도 원주시 소초면 상초구길 26,bus_stop,platform,원주시
37.401109,127.967392,상촌,강원도 원주시 소초면 장수2로 133,bus_stop,platform,원주시
37.419788,127.982087,새섬배,강원도 원주시 소초면 섬배로 178,bus_stop,platform,원주시
37.42353,127.964174,선배고개,강원도 원주시 소초면 섬배로 4,bus_stop,platform,원주시
37.423591,127.963895,선배고개,강원도 원주시 소초면 북원로 3163,bus_stop,platform,원주시
37.413662,127.961453,소초농협앞,강원도 원주시 소초면 북원로 3051,bus_stop,platform,원주시
37.382173,127.974401,송문안,강원도 원주시 소초면 치악로 2318,bus_stop,platform,원주시
37.412535,127.997252,수암4리,강원도 원주시 소초면 치악로 2723,bus_stop,platform,원주시
37.422788,128.051944,수철마을,강원도 원주시 소초면 무쇠점1길 38,bus_stop,platform,원주시
37.403025,127.993601,식송,강원도 원주시 소초면 웃독골길 4,bus_stop,platform,원주시
37.400221,127.990261,수암2리,강원도 원주시 소초면 치악로 2567,bus_stop,platform,원주시
37.400816,127.990377,수암2리,강원도 원주시 소초면 치악로 2567,bus_stop,platform,원주시
37.402775,127.992637,식송,강원도 원주시 소초면 웃독골길 13,bus_stop,platform,원주시
37.431883,128.015666,아래대동,강원도 원주시 소초면 치악로 3021,bus_stop,platform,원주시
37.431771,128.015397,아래대동,강원도 원주시 소초면 치악로 3021,bus_stop,platform,원주시
37.370585,127.999819,아래황골,강원도 원주시 소초면 황골로 315,bus_stop,platform,원주시
37.421068,127.968716,양촌,강원도 원주시 소초면 섬배로 55,bus_stop,platform,원주시
37.438663,127.978589,연화사,강원도 원주시 소초면 북원로 3378-3,bus_stop,platform,원주시
37.410955,127.960078,영진아파트,강원도 원주시 소초면 장막2길 3,bus_stop,platform,원주시
37.421336,127.89592,산현,강원도 원주시 호저면 매호로 278,bus_stop,platform,원주시
37.428382,127.893097,산현,강원도 원주시 호저면 칠봉로 386,bus_stop,platform,원주시
37.428371,127.892939,산현,강원도 원주시 호저면 칠봉로 386,bus_stop,platform,원주시
37.452238,127.927186,상고산,강원도 원주시 호저면 호저로 951-8,bus_stop,platform,원주시
37.457381,127.894334,상용곡다리,강원도 원주시 호저면 칠봉로 832,bus_stop,platform,원주시
37.457044,127.894391,상용곡다리,강원도 원주시 호저면 칠봉로 825,bus_stop,platform,원주시
37.461037,127.890542,상용곡종점,강원도 원주시 호저면 칠봉로 888,bus_stop,platform,원주시
