위도,경도,name,highway,public_transport,operator
37.758718,128.894697,교동철교,bus_stop,platform,강릉시
37.767639,128.900518,교동한신A,bus_stop,platform,강릉시
37.767525,128.900595,교동한신A,bus_stop,platform,강릉시
37.756022,128.898055,교보생명,bus_stop,platform,강릉시
37.763256,128.941854,교통안전교육장,bus_stop,platform,강릉시
37.763352,128.941905,교통안전교육장,bus_stop,platform,강릉시
37.877963,128.8105,교항2리금용교,bus_stop,platform,강릉시
37.877906,128.810557,교향2리금용교,bus_stop,platform,강릉시
37.766944,128.911796,구)동해상사,bus_stop,platform,강릉시
37.840944,128.84194,구라미,bus_stop,platform,강릉시
37.84077,128.842237,구라미,bus_stop,platform,강릉시
37.845346,128.840792,구라미휴게소,bus_stop,platform,강릉시
37.844376,128.84038,구라미휴게소,bus_stop,platform,강릉시
37.845353,128.841139,구라미휴게소,bus_stop,platform,강릉시
37.845885,128.841476,구라미휴게소,bus_stop,platform,강릉시
37.764541,128.876644,구름다리,bus_stop,platform,강릉시
37.764741,128.877394,구름다리,bus_stop,platform,강릉시
37.613448,129.038113,구옥계버스정류장,bus_stop,platform,강릉시
37.710125,128.871378,구정마을회관,bus_stop,platform,강릉시
37.710079,128.871442,구정마을회관,bus_stop,platform,강릉시
37.718058,128.879976,구정면사무소,bus_stop,platform,강릉시
37.717976,128.880017,구정면사무소,bus_stop,platform,강릉시
37.720555,128.882802,구정보건지소,bus_stop,platform,강릉시
37.720505,128.882735,구정보건지소,bus_stop,platform,강릉시
37.716368,128.890014,구정초교입구,bus_stop,platform,강릉시
37.720386,128.882369,구정파출소,bus_stop,platform,강릉시
37.720345,128.882459,구정파출소,bus_stop,platform,강릉시
37.761668,128.898827,구터미널,bus_stop,platform,강릉시
37.761812,128.899389,구터미널,bus_stop,platform,강릉시
37.891505,128.826019,국립수산물품질관리원,bus_stop,platform,강릉시
37.708397,128.889041,굴산사입구,bus_stop,platform,강릉시
37.708367,128.88895,굴산사입구,bus_stop,platform,강릉시
37.706998,128.89331,굴산사지,bus_stop,platform,강릉시
37.843823,128.671805,궁궁소,bus_stop,platform,강릉시
37.726286,128.902886,금강사입구,bus_stop,platform,강릉시
37.726251,128.902968,금강사입구,bus_stop,platform,강릉시
37.711734,128.917333,금광교회입구,bus_stop,platform,강릉시
37.711735,128.917432,금광교회입구,bus_stop,platform,강릉시
37.702248,128.914284,금광리1반,bus_stop,platform,강릉시
37.702251,128.914409,금광리1반,bus_stop,platform,강릉시
37.717931,128.917454,금광리성황당,bus_stop,platform,강릉시
37.717949,128.917332,금광리성황당,bus_stop,platform,강릉시
37.70916,128.915221,금광삼거리,bus_stop,platform,강릉시
37.708269,128.915297,금광정미소,bus_stop,platform,강릉시
37.708265,128.91541,금광정미소,bus_stop,platform,강릉시
37.740209,128.855825,금산,bus_stop,platform,강릉시
37.740287,128.85575,금산,bus_stop,platform,강릉시
37.730231,128.838804,금산1리경로당,bus_stop,platform,강릉시
37.736667,128.849071,금산2리,bus_stop,platform,강릉시
37.736686,128.848923,금산2리,bus_stop,platform,강릉시
37.731518,128.844731,금산남밭,bus_stop,platform,강릉시
37.743329,128.857838,금산입구,bus_stop,platform,강릉시
37.743224,128.857655,금산입구,bus_stop,platform,강릉시
37.738216,128.851677,금산장수마을,bus_stop,platform,강릉시
37.738316,128.851613,금산장수마을,bus_stop,platform,강릉시
37.652225,129.049119,금진,bus_stop,platform,강릉시
37.641811,129.043275,금진,bus_stop,platform,강릉시
37.641799,129.043381,금진,bus_stop,platform,강릉시
37.639064,129.043664,금진2리,bus_stop,platform,강릉시
37.636166,129.044704,금진2리,bus_stop,platform,강릉시
37.639083,129.043771,금진2리,bus_stop,platform,강릉시
37.635189,129.045134,금진2리,bus_stop,platform,강릉시
37.633492,129.04343,금진초등학교,bus_stop,platform,강릉시
37.633424,129.043481,금진초등학교,bus_stop,platform,강릉시
37.652912,129.052394,금진항,bus_stop,platform,강릉시
37.652996,129.052292,금진항,bus_stop,platform,강릉시
37.755059,128.915608,금호어울림,bus_stop,platform,강릉시
37.755052,128.915824,금호어울림,bus_stop,platform,강릉시
37.754578,128.919496,금호어울림정문,bus_stop,platform,강릉시
37.754715,128.91953,금호어울림정문,bus_stop,platform,강릉시
37.758244,128.794828,기도원삼거리,bus_stop,platform,강릉시
37.758241,128.794964,기도원삼거리,bus_stop,platform,강릉시
37.734227,128.879584,기산A,bus_stop,platform,강릉시
37.734266,128.879907,기산A,bus_stop,platform,강릉시
37.695505,129.0259,까치골,bus_stop,platform,강릉시
37.695581,129.025422,까치골,bus_stop,platform,강릉시
37.625379,129.033682,낙풍리,bus_stop,platform,강릉시
37.62555,129.03408,낙풍리,bus_stop,platform,강릉시
37.622054,129.036772,낙풍리,bus_stop,platform,강릉시
37.620316,129.03396,낙풍리,bus_stop,platform,강릉시
37.620196,129.033951,낙풍리,bus_stop,platform,강릉시
37.619341,129.018685,낙풍리,bus_stop,platform,강릉시
37.619224,129.018703,낙풍리,bus_stop,platform,강릉시
37.623372,129.034742,낙풍리입구,bus_stop,platform,강릉시
37.62339,129.034837,낙풍리입구,bus_stop,platform,강릉시
37.699837,128.900607,남강릉IC입구,bus_stop,platform,강릉시
37.700128,128.90044,남강릉IC입구,bus_stop,platform,강릉시
37.767397,128.913357,남강초교,bus_stop,platform,강릉시
37.754402,128.901237,남대천.강릉교,bus_stop,platform,강릉시
37.754203,128.901113,남대천.강릉교,bus_stop,platform,강릉시
37.729061,128.841572,남밭,bus_stop,platform,강릉시
37.728886,128.84058,남밭,bus_stop,platform,강릉시
37.728937,128.840787,남밭,bus_stop,platform,강릉시
37.742342,128.890167,남산삼익아파트,bus_stop,platform,강릉시
37.742388,128.890067,남산삼익아파트,bus_stop,platform,강릉시
37.747697,128.891841,남산입구,bus_stop,platform,강릉시
37.744283,128.891227,남산초교,bus_stop,platform,강릉시
37.744239,128.891332,남산초교,bus_stop,platform,강릉시
37.741876,128.894545,남산현대아파트,bus_stop,platform,강릉시
37.742054,128.894406,남산현대아파트,bus_stop,platform,강릉시
37.582738,129.035035,남양1리,bus_stop,platform,강릉시
37.582424,129.031625,남양1리회관,bus_stop,platform,강릉시
37.582527,129.031559,남양1리회관,bus_stop,platform,강릉시
37.566434,129.012966,남양2리,bus_stop,platform,강릉시
37.571902,129.014877,남양2리,bus_stop,platform,강릉시
37.571914,129.014742,남양2리,bus_stop,platform,강릉시
37.584771,129.045144,남양3리,bus_stop,platform,강릉시
37.591491,129.035429,남양3리,bus_stop,platform,강릉시
37.5828,129.045398,남양3리,bus_stop,platform,강릉시
37.579224,129.026069,남양보건진료소,bus_stop,platform,강릉시
37.579311,129.025985,남양보건진료소,bus_stop,platform,강릉시
37.764095,128.950671,남항진,bus_stop,platform,강릉시
37.763955,128.950604,남항진,bus_stop,platform,강릉시
37.764142,128.954041,남항진해변,bus_stop,platform,강릉시
37.701893,128.901949,내곡과수원,bus_stop,platform,강릉시
37.702054,128.901678,내곡과수원,bus_stop,platform,강릉시
37.746417,128.887044,내곡교,bus_stop,platform,강릉시
37.745782,128.888099,내곡교,bus_stop,platform,강릉시
37.746587,128.887174,내곡교,bus_stop,platform,강릉시
37.7394,128.881219,내곡동주민센터,bus_stop,platform,강릉시
37.738449,128.880359,내곡동주민센터,bus_stop,platform,강릉시
37.738501,128.880669,내곡동주민센터,bus_stop,platform,강릉시
37.74504,128.881102,내곡한라A,bus_stop,platform,강릉시
37.745178,128.881102,내곡한라A,bus_stop,platform,강릉시
37.74548,128.883286,내곡현대A,bus_stop,platform,강릉시
37.745603,128.883199,내곡현대A,bus_stop,platform,강릉시
37.799271,128.825665,노동3리,bus_stop,platform,강릉시
37.79933,128.825609,노동3리,bus_stop,platform,강릉시
37.800734,128.828725,노동리,bus_stop,platform,강릉시
37.801,128.828812,노동리,bus_stop,platform,강릉시
37.822242,128.841404,노동하리.우리정미소,bus_stop,platform,강릉시
37.822337,128.841374,노동하리.우리정미소,bus_stop,platform,강릉시
37.818187,128.83797,노동회관,bus_stop,platform,강릉시
37.744037,128.903,노암,bus_stop,platform,강릉시
37.744262,128.904751,노암2주공,bus_stop,platform,강릉시
37.744466,128.896471,노암대림아파트,bus_stop,platform,강릉시
37.744415,128.896688,노암대림아파트,bus_stop,platform,강릉시
37.750447,128.906456,노암현대아파트,bus_stop,platform,강릉시
37.759984,128.916356,녹원A,bus_stop,platform,강릉시
37.693185,128.896767,농산물창고,bus_stop,platform,강릉시
37.693216,128.896706,농산물창고,bus_stop,platform,강릉시
37.810751,128.83385,농업기술센터,bus_stop,platform,강릉시
37.81067,128.833724,농업기술센터,bus_stop,platform,강릉시
37.61349,129.038186,농협주유소,bus_stop,platform,강릉시
37.73233,128.878899,농협창고,bus_stop,platform,강릉시
37.732395,128.879057,농협창고,bus_stop,platform,강릉시
37.620466,129.031938,다리목,bus_stop,platform,강릉시
37.620558,129.031925,다리목,bus_stop,platform,강릉시
37.748091,128.896789,단오문화관,bus_stop,platform,강릉시
37.748144,128.896996,단오문화관,bus_stop,platform,강릉시
37.647809,128.78584,닭목골,bus_stop,platform,강릉시
37.647875,128.785969,닭목골,bus_stop,platform,강릉시
37.717566,128.902462,담산1리,bus_stop,platform,강릉시
37.71525,128.901162,담산2리,bus_stop,platform,강릉시
37.710983,128.897951,대경상사앞,bus_stop,platform,강릉시
37.717049,128.80509,대관령박물관,bus_stop,platform,강릉시
37.716941,128.804986,대관령박물관,bus_stop,platform,강릉시
37.684724,128.757731,대관령정상,bus_stop,platform,강릉시
37.75672,128.795543,대궁산장,bus_stop,platform,강릉시
37.756724,128.795655,대궁산장,bus_stop,platform,강릉시
37.565671,128.795657,대기1리경로당,bus_stop,platform,강릉시
37.565636,128.79577,대기1리경로당,bus_stop,platform,강릉시
37.742725,128.896746,대림A삼거리,bus_stop,platform,강릉시
37.755325,128.910325,대목A,bus_stop,platform,강릉시
37.7005,128.888089,대성사입구,bus_stop,platform,강릉시
37.700517,128.887975,대성사입구,bus_stop,platform,강릉시
37.747974,128.909298,더샵 후문,bus_stop,platform,강릉시
