위도,경도,public_transport,bus,operator,name,passenger_information_display
37.7467333,127.0568667,platform,yes,경기도 의정부시,의정부시외버스터미널,yes
37.7386,127.0518,platform,yes,경기도 의정부시,시장앞,yes
37.7381,127.0493833,platform,yes,경기도 의정부시,한화생명입구,yes
37.7448,127.0547167,platform,yes,경기도 의정부시,의정부시외버스터미널,yes
37.72655,127.0943667,platform,yes,경기도 의정부시,의정부교도소,yes
37.7439667,127.03455,platform,yes,경기도 의정부시,흥선광장,yes
37.7487167,127.0562333,platform,yes,경기도 의정부시,금오중학교,yes
37.7468,127.0424333,platform,yes,경기도 의정부시,의정부여고.가능역,yes
37.7466,127.0361,platform,yes,경기도 의정부시,가능초등학교,yes
37.74615,127.0552667,platform,yes,경기도 의정부시,버스터미널.신도브래뉴아파트,yes
37.7552833,127.0749667,platform,yes,경기도 의정부시,세아.거성.벽산아파트,yes
37.7521667,127.0702333,platform,yes,경기도 의정부시,홈플러스,yes
37.7497833,127.0710167,platform,yes,경기도 의정부시,경기도청북부청사.경전철역,yes
37.7496,127.07085,platform,yes,경기도 의정부시,경기도청북부청사.경전철역,yes
37.7517667,127.0699833,platform,yes,경기도 의정부시,홈플러스,yes
37.7555333,127.0747667,platform,yes,경기도 의정부시,세아.거성.벽산아파트,yes
37.72695,127.04805,platform,yes,경기도 의정부시,호원2동주민센터입구,yes
37.7502833,127.0352667,platform,yes,경기도 의정부시,신촌교차로,yes
37.7503833,127.0379,platform,yes,경기도 의정부시,가능1동주민센터.sk뷰아파트,yes
37.7481,127.0427833,platform,yes,경기도 의정부시,가능역,yes
37.7481667,127.04255,platform,yes,경기도 의정부시,가능역,yes
37.7546667,127.0323167,platform,yes,경기도 의정부시,의정부고등학교.법원.검찰청,yes
37.7392833,127.03505,platform,yes,경기도 의정부시,의정부시청.세무서,yes
37.7513,127.1175667,platform,yes,경기도 의정부시,무지랭이약수터,yes
37.75405,127.1136167,platform,yes,경기도 의정부시,용암마을입구,yes
37.7444333,127.0897,platform,yes,경기도 의정부시,송산주공3단지,yes
37.7439333,127.0875833,platform,yes,경기도 의정부시,송산주공6단지,yes
37.7430333,127.0852,platform,yes,경기도 의정부시,어룡역.롯데마트,yes
37.743,127.0279,platform,yes,경기도 의정부시,안골,yes
37.7429667,127.0311667,platform,yes,경기도 의정부시,흥선브라운스톤아파트,yes
37.7428833,127.03565,platform,yes,경기도 의정부시,흥선광장,yes
37.7424333,127.0381333,platform,yes,경기도 의정부시,다온중학교앞,yes
37.74175,127.0421667,platform,yes,경기도 의정부시,경기도립의료원의정부병원,yes
37.7395667,127.0476667,platform,yes,경기도 의정부시,의정부역.동부광장,yes
37.7399667,127.0472667,platform,yes,경기도 의정부시,의정부역.동부광장,yes
37.7416667,127.04185,platform,yes,경기도 의정부시,경기도립의료원의정부병원,yes
37.7422833,127.0384167,platform,yes,경기도 의정부시,다온중학교앞,yes
37.7425667,127.0363667,platform,yes,경기도 의정부시,흥선광장,yes
37.7427833,127.0312667,platform,yes,경기도 의정부시,흥선브라운스톤아파트,yes
37.7428833,127.0267,platform,yes,경기도 의정부시,안골,yes
37.7462333,127.0269667,platform,yes,경기도 의정부시,경민대학,yes
37.72425,127.06025,platform,yes,경기도 의정부시,장암주공2단지.장암우성아파트,yes
37.7242333,127.0606167,platform,yes,경기도 의정부시,장암우성아파트.장암주공2단지,yes
37.70655,127.0574833,platform,yes,경기도 의정부시,쌍암사입구,yes
37.7055833,127.0574,platform,yes,경기도 의정부시,쌍암사입구,yes
37.7000167,127.0533167,platform,yes,경기도 의정부시,장암역.석림사입구,yes
37.7001667,127.05485,platform,yes,경기도 의정부시,장암역.석림사입구,yes
37.75125,127.0697333,platform,yes,경기도 의정부시,홈플러스,yes
37.75095,127.0695,platform,yes,경기도 의정부시,홈플러스,yes
37.7482,127.0650333,platform,yes,경기도 의정부시,드림밸리아파트.새말역,yes
37.7400833,127.0959167,platform,yes,경기도 의정부시,민락중학교,yes
37.7545667,127.0701833,platform,yes,경기도 의정부시,경기북부지방경찰청,yes
37.7547,127.07015,platform,yes,경기도 의정부시,경기북부지방경찰청,yes
37.7537,127.0359,platform,yes,경기도 의정부시,e편한세상아파트,yes
37.75975,127.0426167,platform,yes,경기도 의정부시,녹양역,yes
37.7203833,127.0476,platform,yes,경기도 의정부시,호원동.한주3.4차아파트,yes
37.7313,127.0877333,platform,yes,경기도 의정부시,송산1동주민센터,yes
37.7353667,127.03525,platform,yes,경기도 의정부시,의정부청소년수련관,yes
37.7335667,127.0349667,platform,yes,경기도 의정부시,의정부예술의전당,yes
37.7326333,127.0364833,platform,yes,경기도 의정부시,범골입구.상우고등학교,yes
37.7329333,127.0371833,platform,yes,경기도 의정부시,범골입구.상우고등학교,yes
37.7302667,127.0382333,platform,yes,경기도 의정부시,롯데캐슬골드파크아파트.동화아파트,yes
37.7302833,127.0384667,platform,yes,경기도 의정부시,동화아파트.롯데캐슬골드파크아파트,yes
37.7282833,127.0396833,platform,yes,경기도 의정부시,삼성교회,yes
37.7284167,127.04165,platform,yes,경기도 의정부시,호원가든1차아파트,yes
37.7282667,127.0407833,platform,yes,경기도 의정부시,호원가든3차아파트,yes
37.72725,127.0431,platform,yes,경기도 의정부시,호원가든2차아파트,yes
37.7274667,127.0432667,platform,yes,경기도 의정부시,호원가든2차아파트,yes
37.7258667,127.0458,platform,yes,경기도 의정부시,한신아파트,yes
37.7585833,127.0386333,platform,yes,경기도 의정부시,녹양성당,yes
37.7583333,127.0352,platform,yes,경기도 의정부시,성화마트,yes
37.7581667,127.0367333,platform,yes,경기도 의정부시,동원아파트입구,yes
37.76525,127.04315,platform,yes,경기도 의정부시,비석거리,yes
