위도,경도,name,operator,source:date
37.93913,127.7142,용산1리,춘천시,2019-11-27
37.9393,127.71428,용산1리,춘천시,2019-11-27
37.95574,127.72506,지내2리응달말,춘천시,2019-11-27
37.93699,127.7277,국군병원,춘천시,2019-11-27
37.9109,127.72266,사농현대A,춘천시,2019-11-27
37.88877,127.72016,성신양회,춘천시,2019-11-27
37.87954,127.71419,근화동노인회관,춘천시,2019-11-27
37.8598,127.735,휴먼시아2차아파트,춘천시,2019-11-27
37.861,127.7323,미래컨벤션웨딩홀,춘천시,2019-11-27
37.83238,127.76319,학곡리,춘천시,2019-11-27
37.83234,127.76307,원창고개입구,춘천시,2019-11-27
37.85052,127.74897,스무숲입구,춘천시,2019-11-27
37.851,127.7438,투탑시티,춘천시,2019-11-27
37.84985,127.74413,퇴계2우체국,춘천시,2019-11-27
37.85983,127.7311,퇴계우성A,춘천시,2019-11-27
37.85505,127.74831,로데오거리,춘천시,2019-11-27
37.82784,127.72621,증3리,춘천시,2019-11-27
37.80909,127.70908,증2리,춘천시,2019-11-27
37.7952,127.7126,증리,춘천시,2019-11-27
37.7811,127.7154,혈동리,춘천시,2019-11-27
37.7758,127.714,혈동리,춘천시,2019-11-27
37.75676,127.70779,광판2리,춘천시,2019-11-27
37.74988,127.70863,탑골,춘천시,2019-11-27
37.74663,127.7185,군자리,춘천시,2019-11-27
37.74724,127.71961,군자리,춘천시,2019-11-27
37.75409,127.7379,군자3리,춘천시,2019-11-27
37.75565,127.74009,군자3리,춘천시,2019-11-27
37.75565,127.74044,군자3리,춘천시,2019-11-27
37.75847,127.74794,군자3리,춘천시,2019-11-27
37.75142,127.82263,부사원고개,춘천시,2019-11-27
37.74318,127.8295,조양3리,춘천시,2019-11-27
37.75336,127.79383,봉명리조양교,춘천시,2019-11-27
37.78754,127.75197,전인고등학교,춘천시,2019-11-27
37.78799,127.76004,새술막,춘천시,2019-11-27
37.87617,127.77542,대형약국,춘천시,2019-11-27
37.8761,127.77513,대형약국,춘천시,2019-11-27
37.88724,127.75365,산림조합강원본부,춘천시,2019-11-27
37.88699,127.75322,산림조합강원본부,춘천시,2019-11-27
37.95911,127.74599,발산3리,춘천시,2019-11-27
37.95331,127.7463,금광터,춘천시,2019-11-27
37.94753,127.75073,운전면허시험장,춘천시,2019-11-27
37.93833,127.80195,소양강댐주차장,춘천시,2019-11-27
37.91202,127.73946,폴리텍2캠퍼스,춘천시,2019-11-27
37.91746,127.7982,월곡리,춘천시,2019-11-27
37.90376,127.78678,감정리,춘천시,2019-11-27
37.87707,127.72308,중앙시장환승센터,춘천시,2019-11-27
37.87244,127.75268,후평3동우체국,춘천시,2019-11-27
37.87243,127.75247,부안주유소,춘천시,2019-11-27
37.87733,127.74838,후평중학교,춘천시,2019-11-27
37.87554,127.75105,후평주공7단지,춘천시,2019-11-27
37.87572,127.75116,후평주공7단지,춘천시,2019-11-27
37.87433,127.74887,후평주공6단지,춘천시,2019-11-27
37.87422,127.74837,후평주공6단지,춘천시,2019-11-27
37.87346,127.74691,후평주공5단지,춘천시,2019-11-27
37.89293,127.74863,후평동종점,춘천시,2019-11-27
37.89376,127.74874,후평동종점,춘천시,2019-11-27
37.87492,127.75763,후평주공4단지후문,춘천시,2019-11-27
37.87495,127.75778,후평주공4단지 후문,춘천시,2019-11-27
37.87624,127.75696,후평주공4단지,춘천시,2019-11-27
37.87624,127.75709,대우A,춘천시,2019-11-27
37.87624,127.75371,후평3동행복센터,춘천시,2019-11-27
37.87646,127.7548,후평3동행복센터,춘천시,2019-11-27
37.7462,127.6221,후동리,춘천시,2019-11-27
37.74805,127.62018,후동리,춘천시,2019-11-27
37.75749,127.62402,후동리,춘천시,2019-11-27
37.7603,127.62681,소주고개,춘천시,2019-11-27
37.74793,127.62009,후동리,춘천시,2019-11-27
37.74616,127.62196,후동리,춘천시,2019-11-27
37.74274,127.63426,후동2리입구,춘천시,2019-11-27
37.74264,127.63433,후동2리입구,춘천시,2019-11-27
37.74684,127.63075,후동2리,춘천시,2019-11-27
37.75097,127.61969,후동,춘천시,2019-11-27
37.87541,127.73832,중부지구대,춘천시,2019-11-27
37.87579,127.73787,중부지구대,춘천시,2019-11-27
37.73018,127.59631,발산1리,춘천시,2019-11-27
37.73002,127.59612,황골,춘천시,2019-11-27
37.92214,127.72494,화목원,춘천시,2019-11-27
37.92221,127.72328,화목원,춘천시,2019-11-27
37.74512,127.64028,화광사,춘천시,2019-11-27
37.74504,127.64052,화광사,춘천시,2019-11-27
37.86541,127.75526,호반체육관,춘천시,2019-11-27
37.86557,127.75522,우석중학교,춘천시,2019-11-27
37.89005,127.71945,호반A,춘천시,2019-11-27
37.89015,127.71969,호반A,춘천시,2019-11-27
37.89231,127.72339,호반동행복센터,춘천시,2019-11-27
37.88765,127.75091,춘천도매물류마트,춘천시,2019-11-27
37.78532,127.68748,혈동2리종점,춘천시,2019-11-27
37.78785,127.68504,혈동2리마을회관,춘천시,2019-11-27
37.7879,127.68514,혈동2리마을회관,춘천시,2019-11-27
37.79391,127.68656,혈동2리,춘천시,2019-11-27
37.79427,127.68679,혈동2리,춘천시,2019-11-27
37.77153,127.69994,혈동1리종점,춘천시,2019-11-27
37.7707,127.7138,혈동1리입구,춘천시,2019-11-27
37.7705,127.7139,혈동1리입구,춘천시,2019-11-27
37.8889,127.68737,현암리,춘천시,2019-11-27
37.885,127.68361,현암리,춘천시,2019-11-27
37.87683,127.6775,현암리,춘천시,2019-11-27
37.87687,127.67768,현암리,춘천시,2019-11-27
37.88496,127.68375,현암리,춘천시,2019-11-27
37.88887,127.68755,현암리,춘천시,2019-11-27
37.90355,127.73827,강원도재활병원,춘천시,2019-11-27
37.88107,127.75184,후평현대3차,춘천시,2019-11-27
37.88109,127.75223,후평현대3차,춘천시,2019-11-27
37.847,127.76646,신촌2리,춘천시,2019-11-27
37.84713,127.7664,신촌2리,춘천시,2019-11-27
37.8815,127.73466,향교,춘천시,2019-11-27
37.88177,127.73514,향교,춘천시,2019-11-27
37.74212,127.67823,행촌리,춘천시,2019-11-27
37.74214,127.67871,행촌리,춘천시,2019-11-27
37.8707,127.72469,디아펠리즈,춘천시,2019-11-27
37.9269,127.75572,율문2리,춘천시,2019-11-27
37.92709,127.75584,율문2리,춘천시,2019-11-27
37.92929,127.76167,항공대정문,춘천시,2019-11-27
37.92947,127.76178,항공대정문,춘천시,2019-11-27
37.79398,127.77217,할렐루야기도원,춘천시,2019-11-27
37.79465,127.77274,할렐루야기도원,춘천시,2019-11-27
37.84698,127.75552,장애인종합복지관,춘천시,2019-11-27
37.84742,127.7553,장애인종합복지관,춘천시,2019-11-27
37.88316,127.73725,한림대학교,춘천시,2019-11-27
37.86925,127.72922,한국토지주택공사,춘천시,2019-11-27
37.8835,127.74863,후평환승센터,춘천시,2019-11-27
37.88354,127.74892,후평환승센터,춘천시,2019-11-27
37.88225,127.72859,한국은행,춘천시,2019-11-27
37.9403,127.72778,한계울마을,춘천시,2019-11-27
37.94024,127.72757,한계울마을,춘천시,2019-11-27
37.83486,127.7603,학곡리종점,춘천시,2019-11-27
37.83501,127.76041,학곡리종점,춘천시,2019-11-27
37.91395,127.75496,하일종점,춘천시,2019-11-27
37.90158,127.75166,하일입구,춘천시,2019-11-27
37.90152,127.75162,하일입구,춘천시,2019-11-27
37.85607,127.73888,무릉공원,춘천시,2019-11-27
37.85607,127.73919,무릉공원,춘천시,2019-11-27
37.86456,127.70712,하사관주택,춘천시,2019-11-27
37.86503,127.70695,하사관주택,춘천시,2019-11-27
37.92992,127.76536,율문3리,춘천시,2019-11-27
37.88061,127.74948,포스코더샵A,춘천시,2019-11-27
37.8817,127.74675,포스코후문,춘천시,2019-11-27
37.88157,127.74696,포스코후문,춘천시,2019-11-27
37.88162,127.7485,포스코더샵A,춘천시,2019-11-27
37.82162,127.70383,팔미쉼터,춘천시,2019-11-27
37.81379,127.69825,팔미3리,춘천시,2019-11-27
37.80964,127.69635,팔미3리,춘천시,2019-11-27
37.81387,127.69817,팔미리,춘천시,2019-11-27
37.82161,127.70436,팔미1리,춘천시,2019-11-27
37.85149,127.74443,원예농협남부지점,춘천시,2019-11-27
37.85054,127.74413,투탑시티,춘천시,2019-11-27
37.85858,127.72502,퇴계현대1차,춘천시,2019-11-27
37.85792,127.72643,퇴계현대1차,춘천시,2019-11-27
37.85945,127.72313,한진한성,춘천시,2019-11-27
37.851,127.734,퇴계한주아파트입구,춘천시,2019-11-27
37.8509,127.73544,가족보건원,춘천시,2019-11-27
37.84919,127.73898,퇴계한주A,춘천시,2019-11-27
37.8512,127.7346,퇴계한주아파트,춘천시,2019-11-27
37.84767,127.74083,퇴계주공9차,춘천시,2019-11-27
37.84784,127.74092,퇴계주공7단지,춘천시,2019-11-27
37.85115,127.74079,퇴계주공6차A,춘천시,2019-11-27
37.85142,127.74157,퇴계주공6차,춘천시,2019-11-27
37.85122,127.74101,퇴계주공6차,춘천시,2019-11-27
37.85436,127.74057,퇴계주공5차A,춘천시,2019-11-27
37.85361,127.74545,퇴계주공4차,춘천시,2019-11-27
37.85472,127.74608,퇴계주공4차,춘천시,2019-11-27
37.85578,127.74472,퇴계주공3.4차,춘천시,2019-11-27
37.85567,127.74437,퇴계주공3.4차,춘천시,2019-11-27
37.85841,127.7371,퇴계주공2차,춘천시,2019-11-27
37.85871,127.73698,퇴계주공1차,춘천시,2019-11-27
37.85962,127.72326,퇴계우체국,춘천시,2019-11-27
37.85998,127.73021,퇴계우성A,춘천시,2019-11-27
37.8593,127.72763,퇴계동입구,춘천시,2019-11-27
37.85931,127.72743,남부초교,춘천시,2019-11-27
37.8474,127.73264,퇴계농공단지입구,춘천시,2019-11-27
37.84712,127.73233,퇴계농공단지,춘천시,2019-11-27
37.84907,127.73881,퇴계금호A,춘천시,2019-11-27
37.88427,127.74738,토우시장,춘천시,2019-11-27
37.88312,127.74767,토우시장,춘천시,2019-11-27
37.88759,127.6852,태봉,춘천시,2019-11-27
37.9464,127.69972,탑말,춘천시,2019-11-27
37.94627,127.69971,탑말,춘천시,2019-11-27
37.8805,127.74408,크로바A,춘천시,2019-11-27
37.88071,127.74503,크로바A,춘천시,2019-11-27
37.83625,127.71367,칠전동고개,춘천시,2019-11-27
37.83657,127.71404,칠전동고개,춘천시,2019-11-27
37.84246,127.71413,칠전동,춘천시,2019-11-27
37.84142,127.71448,칠전동사거리,춘천시,2019-11-27
37.84417,127.7118,칠전대우A,춘천시,2019-11-27
37.84436,127.71177,칠전대우A,춘천시,2019-11-27
37.91615,127.73935,충렬탑입구,춘천시,2019-11-27
37.91622,127.73914,충렬탑입구,춘천시,2019-11-27
37.94934,127.75413,월드온천,춘천시,2019-11-27
37.94951,127.75408,월드온천,춘천시,2019-11-27
