위도,경도,ref,name,name:ko,highway,public_transport
38.13513,127.28468,4320317,내수동교회,내수동교회,bus_stop,platform
38.13777,127.28349,4320128,육단3리,육단3리,bus_stop,platform
38.14012,127.28338,4320315,필승회관,필승회관,bus_stop,platform
38.14245,127.2825,4320251,근남면사무소,근남면사무소,bus_stop,platform
38.14361,127.28175,4320113,근남초교,근남초교,bus_stop,platform
38.14418,127.28075,4320253,육단1리,육단1리,bus_stop,platform
38.14575,127.27869,4320311,사곡1리,사곡1리,bus_stop,platform
38.1514,127.27216,4320112,와수5리,와수5리,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.14575,127.25949,4320109,김화여중고,김화여중고,bus_stop,platform
38.1484,127.2524,4320250,학사리,학사리,bus_stop,platform
38.14955,127.25158,4320107,김화읍사무소,김화읍사무소,bus_stop,platform
38.15124,127.24851,4320094,김화초등학교,김화초등학교,bus_stop,platform
38.15144,127.24264,4320096,학사4리,학사4리,bus_stop,platform
38.15153,127.23594,4320293,연대앞,연대앞,bus_stop,platform
38.15124,127.23225,4320283,청양아파트,청양아파트,bus_stop,platform
38.15017,127.22539,4320099,청양6리,청양6리,bus_stop,platform
38.1499,127.21246,4320294,동송레미콘,동송레미콘,bus_stop,platform
38.16032,127.2127,4320298,도창초등학교,도창초등학교,bus_stop,platform
38.16182,127.21242,4320101,도창리,도창리,bus_stop,platform
38.16179,127.21227,4320102,도창리,도창리,bus_stop,platform
38.16031,127.2126,4320299,도창초등학교,도창초등학교,bus_stop,platform
38.14979,127.2124,4320295,동송레미콘,동송레미콘,bus_stop,platform
38.1501,127.22542,4320100,청양6리,청양6리,bus_stop,platform
38.1511,127.23229,4320098,청양아파트,청양아파트,bus_stop,platform
38.15135,127.23594,4320292,연대앞,연대앞,bus_stop,platform
38.15136,127.24264,4320097,학사4리,학사4리,bus_stop,platform
38.15119,127.24845,4320095,김화초등학교,김화초등학교,bus_stop,platform
38.14953,127.25148,4320106,김화읍사무소,김화읍사무소,bus_stop,platform
38.14834,127.2523,4320282,학사리,학사리,bus_stop,platform
38.14566,127.25945,4320108,김화여중고,김화여중고,bus_stop,platform
38.14476,127.2637,4320110,와수리차고지,와수리차고지,bus_stop,platform
38.11804,127.13485,4320227,차고지,차고지,bus_stop,platform
38.12014,127.13358,4320336,청성회관,청성회관,bus_stop,platform
38.12246,127.13238,4320212,동송지구대,동송지구대,bus_stop,platform
38.12518,127.13077,4320045,정한약국,정한약국,bus_stop,platform
38.12575,127.13122,4320268,동송시장,동송시장,bus_stop,platform
38.12789,127.13599,4320030,세륭아파트,세륭아파트,bus_stop,platform
38.13335,127.13928,4320270,양촌,양촌,bus_stop,platform
38.12779,127.14661,4320029,오덕3리(주다리),오덕3리(주다리),bus_stop,platform
38.12493,127.15095,4320050,장흥3리(국방부사거리),장흥3리(국방부사거리),bus_stop,platform
38.12414,127.15275,4320201,직탕입구,직탕입구,bus_stop,platform
38.12314,127.15459,4320331,장흥3리마을회관,장흥3리마을회관,bus_stop,platform
38.1215,127.1562,4320199,장흥3리,장흥3리,bus_stop,platform
38.11807,127.15874,4320261,장흥2리(새마을주유소),장흥2리(새마을주유소),bus_stop,platform
38.11715,127.15949,4320197,장방산입구,장방산입구,bus_stop,platform
38.11644,127.16089,4320195,장흥초등학교,장흥초등학교,bus_stop,platform
38.11534,127.16579,4320193,장흥4리,장흥4리,bus_stop,platform
38.11296,127.17295,4320190,고석정,고석정,bus_stop,platform
38.11152,127.18118,4320330,승일공원,승일공원,bus_stop,platform
38.11115,127.18913,4320189,문혜3리,문혜3리,bus_stop,platform
38.11088,127.19236,4320172,문혜사거리,문혜사거리,bus_stop,platform
38.10868,127.19461,4320327,승포회관,승포회관,bus_stop,platform
38.10651,127.19635,4320174,문혜3거리,문혜3거리,bus_stop,platform
38.1019,127.1914,4320238,문혜4리(윗삼성리),문혜4리(윗삼성리),bus_stop,platform
38.09836,127.18862,4320176,하삼성리,하삼성리,bus_stop,platform
38.09474,127.18604,4320326,군탄사거리,군탄사거리,bus_stop,platform
38.09318,127.18517,4320178,군탄리,군탄리,bus_stop,platform
38.09027,127.18445,4320180,길병원,길병원,bus_stop,platform
38.08865,127.18458,4320182,갈말읍사무소,갈말읍사무소,bus_stop,platform
38.087,127.18519,4320184,신철원터미널,신철원터미널,bus_stop,platform
38.08727,127.18626,4320324,신철원2리(우체국),신철원2리(우체국),bus_stop,platform
38.11804,127.13485,4320227,차고지,차고지,bus_stop,platform
38.12014,127.13358,4320336,청성회관,청성회관,bus_stop,platform
38.12246,127.13238,4320212,동송지구대,동송지구대,bus_stop,platform
38.12518,127.13077,4320045,정한약국,정한약국,bus_stop,platform
38.12672,127.12971,4320363,철원중고등학교,철원중고등학교,bus_stop,platform
38.12788,127.12896,4320274,철원읍사무소,철원읍사무소,bus_stop,platform
38.13001,127.12743,4320035,화지4리,화지4리,bus_stop,platform
38.13108,127.12673,4320036,화지9리,화지9리,bus_stop,platform
38.13324,127.1263,4320038,화지5리,화지5리,bus_stop,platform
38.1351,127.12647,4320039,화지10리,화지10리,bus_stop,platform
38.13768,127.12781,4320337,미곡처리장,미곡처리장,bus_stop,platform
38.13609,127.13047,4320007,학저수지,학저수지,bus_stop,platform
38.13362,127.13924,4320340,양촌,양촌,bus_stop,platform
38.12779,127.14661,4320029,오덕3리(주다리),오덕3리(주다리),bus_stop,platform
38.12493,127.15095,4320050,장흥3리(국방부사거리),장흥3리(국방부사거리),bus_stop,platform
38.12414,127.15275,4320201,직탕입구,직탕입구,bus_stop,platform
38.12314,127.15459,4320331,장흥3리마을회관,장흥3리마을회관,bus_stop,platform
38.1215,127.1562,4320199,장흥3리,장흥3리,bus_stop,platform
38.11807,127.15874,4320261,장흥2리(새마을주유소),장흥2리(새마을주유소),bus_stop,platform
38.11715,127.15949,4320197,장방산입구,장방산입구,bus_stop,platform
38.11644,127.16089,4320195,장흥초등학교,장흥초등학교,bus_stop,platform
38.11534,127.16579,4320193,장흥4리,장흥4리,bus_stop,platform
38.11296,127.17295,4320190,고석정,고석정,bus_stop,platform
38.11152,127.18118,4320330,승일공원,승일공원,bus_stop,platform
38.11115,127.18913,4320189,문혜3리,문혜3리,bus_stop,platform
38.11088,127.19236,4320172,문혜사거리,문혜사거리,bus_stop,platform
38.10868,127.19461,4320327,승포회관,승포회관,bus_stop,platform
38.10651,127.19635,4320174,문혜3거리,문혜3거리,bus_stop,platform
