위도,경도,name,addr:full,public_transport,bus
35.973382,126.728532,경장사거리,전라북도 군산시 경장동 491-11번지,platform,yes
35.969047,126.732034,경장삼거리,전라북도 군산시 경장동 513-4번지,platform,yes
35.990997,126.858885,계남마을,전라북도 군산시 임피면 축산리 135-8번지,platform,yes
35.969551,126.62287,공진선박,전라북도 군산시 소룡동 24번지,platform,yes
35.94266,126.654224,공항교차로,전라북도 군산시 개사동 870-2번지,platform,yes
35.937272,126.777095,구율마을,전라북도 군산시 개정면 옥석리 418-2번지,platform,yes
35.903019,126.63744,신오산촌,전라북도 군산시 옥서면 옥봉리 1593-18번지,platform,yes
35.937736,126.686329,신촌마을,전라북도 군산시 신관동 7-5번지,platform,yes
35.96056,126.694877,아리랑아파트,전라북도 군산시 나운동 1189-16번지,platform,yes
35.90673,126.688995,양등,전라북도 군산시 옥구읍 오곡리 365-3번지,platform,yes
35.910182,126.661585,어은경로당,전라북도 군산시 옥구읍 어은리 1521-1번지,platform,yes
35.895027,126.676532,어은동종점,전라북도 군산시 옥구읍 어은리 16-3번지,platform,yes
35.945407,126.686097,군산대정문,전라북도 군산시 미룡동 909번지,platform,yes
35.975928,126.586011,군산항5부두,전라북도 군산시 소룡동 1667-1,platform,yes
35.990558,126.711403,근대역사박물관,전라북도 군산시 장미동 41-4번지,platform,yes
35.971495,126.732972,금강방송군산지사,전라북도 군산시 경장동 500-26번지,platform,yes
35.900722,126.746971,금광마을,전라북도 군산시 회현면 금광리 954-51번지,platform,yes
35.926455,126.798957,금반,전라북도 군산시 대야면 지경리 993-52번지,platform,yes
35.949269,126.864566,금암,전라북도 군산시 임피면 술산리 534-11번지,platform,yes
35.961395,126.705627,예술의전당,전라북도 군산시 지곡동 483-2번지,platform,yes
36.063377,126.878123,오류동,전라북도 익산시 웅포면 웅포리 570번지,platform,yes
35.904769,126.777348,오산촌,전라북도 군산시 회현면 학당리 1306-1번지,platform,yes
36.048782,126.852788,옥동,전라북도 군산시 나포면 나포리 483-4번지,platform,yes
36.021296,126.863135,와촌마을,전라북도 군산시 나포면 장상리 143-3번지,platform,yes
36.021381,126.86317,와촌마을,전라북도 군산시 나포면 장상리 137-3번지,platform,yes
36.01736,126.815874,외곡,전라북도 군산시 나포면 주곡리 646-11번지,platform,yes
35.95474,126.829885,외덕,전라북도 군산시 대야면 보덕리 269-2번지,platform,yes
35.97665,126.843854,남서원,전라북도 군산시 임피면 미원리 365-1번지,platform,yes
35.951278,126.822414,남흥마을,전라북도 군산시 대야면 산월리 634-1번지,platform,yes
35.955707,126.592351,내초도마을입구,전라북도 군산시 소룡동 1643-2번지,platform,yes
35.970428,126.764743,달려,전라북도 군산시 개정동 164-3번지,platform,yes
35.959981,126.696748,서호아파트,전라북도 군산시 나운동 156번지,platform,yes
35.933829,126.643428,성남동,전라북도 군산시 옥서면 옥봉리 184-100번지,platform,yes
35.975757,126.742053,세풍사택,전라북도 군산시 조촌동 496-16번지,platform,yes
35.975769,126.679279,소룡농협,전라북도 군산시 소룡동 1525-13번지,platform,yes
36.007881,126.794784,수심,전라북도 군산시 성산면 여방리 614-4번지,platform,yes
35.912683,126.765256,원학당마을,전라북도 군산시 회현면 학당리 900-3번지,platform,yes
35.971112,126.675146,원산북삼거리,전라북도 군산시 산북동 70-30번지,platform,yes
36.022105,126.800113,원서포마을,전라북도 군산시 나포면 서포리 606-9번지,platform,yes
36.022099,126.800222,원서포마을,전라북도 군산시 나포면 서포리 621-36번지,platform,yes
35.956567,126.723383,원예협동조합,전라북도 군산시 수송동 24-12번지,platform,yes
36.011465,126.81943,원주곡마을,전라북도 군산시 나포면 주곡리 962-1번지,platform,yes
36.002073,126.898689,원화등,전라북도 군산시 서수면 금암리 830-9번지,platform,yes
36.005715,126.899721,월암,전라북도 군산시 서수면 화등리 374-11번지,platform,yes
35.958846,126.861424,술산초등학교,전라북도 군산시 임피면 술산리 512-9번지,platform,yes
35.925352,126.85612,신광마을,전라북도 군산시 대야면 광교리 553-1번지,platform,yes
35.905845,126.710518,신기,전라북도 군산시 옥구읍 수산리 151-73번지,platform,yes
35.997929,126.896326,신기촌,전라북도 군산시 서수면 화등리 300-1번지,platform,yes
35.998089,126.819216,대명,전라북도 군산시 성산면 대명리 247-8번지,platform,yes
35.944696,126.813155,대야사거리,전라북도 군산시 대야면 지경리 699-189번지,platform,yes
35.99282,126.707409,도선장,전라북도 군산시 금동 4-12번지,platform,yes
36.003589,126.7905,동요,전라북도 군산시 성산면 여방리 536-14번지,platform,yes
35.966189,126.715912,롯데마트,전라북도 군산시 수송동 831-5번지,platform,yes
35.940194,126.768286,망동,전라북도 군산시 옥산면 남내리 118-7번지,platform,yes
36.038184,126.859105,불주사입구,전라북도 군산시 나포면 나포리 776-17번지,platform,yes
35.938981,126.530809,비응항,전라북도 군산시 비응도동 66-3번지,platform,yes
35.96194,126.743722,사정삼거리,전라북도 군산시 사정동 350번지,platform,yes
35.927164,126.620846,산동,전라북도 군산시 옥서면 선연리 297-28번지,platform,yes
35.976009,126.709438,삼학대우아파트,전라북도 군산시 삼학동 813-17번지,platform,yes
36.007866,126.901644,상금,전라북도 군산시 서수면 금암리 338-1번지,platform,yes
35.92637,126.708027,상평광원마을,전라북도 군산시 옥구읍 상평리 269-1번지,platform,yes
35.959516,126.729567,새군산충전소,전라북도 군산시 미장동 61-56번지,platform,yes
35.919074,126.669398,서마산마을,전라북도 군산시 옥구읍 어은리 298-1번지,platform,yes
