위도,경도,highway,public_transport,bus,name,addr:full,source,source:date
37.068788,128.144985,bus_stop,platform,yes,사곡리,충청북도 제천시 금성면 사곡리 489-1,공공데이터포털,2020-04-28
37.072313,128.229158,bus_stop,platform,yes,대장리(마을회관 앞),충청북도 제천시 금성면 대장리 174-5,공공데이터포털,2020-04-28
37.030273,128.177631,bus_stop,platform,yes,성내리,충청북도 제천시 금성면 성내리 171-3 ,공공데이터포털,2020-04-28
37.030273,128.177631,bus_stop,platform,yes,성내리,충청북도 제천시 금성면 성내리 171-3 ,공공데이터포털,2020-04-28
37.024895,128.176292,bus_stop,platform,yes,성내리,충청북도 제천시 금성면 성내리 185-7,공공데이터포털,2020-04-28
37.024895,128.176292,bus_stop,platform,yes,성내리,충청북도 제천시 금성면 성내리 185-7,공공데이터포털,2020-04-28
37.055542,128.170966,bus_stop,platform,yes,구룡리,충청북도 제천시 금성면 구룡리 49-2,공공데이터포털,2020-04-28
37.055542,128.170966,bus_stop,platform,yes,구룡리,충청북도 제천시 금성면 구룡리 49-2,공공데이터포털,2020-04-28
37.062531,128.16735,bus_stop,platform,yes,구룡리,충청북도 제천시 금성면 구룡리 80-5,공공데이터포털,2020-04-28
37.065767,128.166851,bus_stop,platform,yes,구룡리,충청북도 제천시 금성면 구룡리 272-14,공공데이터포털,2020-04-28
37.069333,128.169018,bus_stop,platform,yes,구룡리,충청북도 제천시 금성면 구룡리 265-3,공공데이터포털,2020-04-28
37.069314,128.169288,bus_stop,platform,yes,구룡리,충청북도 제천시 금성면 구룡리 197-1,공공데이터포털,2020-04-28
37.101707,128.220427,bus_stop,platform,yes,동막리,충청북도 제천시 금성면 동막리 724-8,공공데이터포털,2020-04-28
37.067265,128.121547,bus_stop,platform,yes,활산리 ,충청북도 제천시 금성면 활산리 460-10,공공데이터포털,2020-04-28
37.067282,128.121704,bus_stop,platform,yes,활산리,충청북도 제천시 금성면 활산리 460-14,공공데이터포털,2020-04-28
37.046592,128.159434,bus_stop,platform,yes,월굴리,충청북도 제천시 금성면 월굴리 545-3,공공데이터포털,2020-04-28
37.046871,128.1593,bus_stop,platform,yes,월굴리,충청북도 제천시 금성면 월굴리 546-3,공공데이터포털,2020-04-28
37.044479,128.174629,bus_stop,platform,yes,월굴리,충청북도 제천시 금성면 월굴리 153-3,공공데이터포털,2020-04-28
37.044479,128.174629,bus_stop,platform,yes,월굴리,충청북도 제천시 금성면 월굴리 153-3,공공데이터포털,2020-04-28
