위도,경도,public_transport,bus,name,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
37.49837,129.12622,platform,yes,송정동주민센터(북평.대동방면),,2020-11-24,,,1668-4,송정동,,,
37.49803,129.1264,platform,yes,도용서실(시청.발한방면),,2020-11-24,,,698-3,송정동,,,
37.49255,129.12427,platform,yes,동해항(북평.대동방면),,2020-11-24,,,1139-3,송정동,,,
37.49255,129.12482,platform,yes,동해항(시청.발한방면),,2020-11-24,,,1140-1,송정동,,,
37.48879,129.12235,platform,yes,동해항.송정산업단지(북평.대동방면),,2020-11-24,,,1198-4,송정동,,,
37.48923,129.12237,platform,yes,동해항정문(시청.발한방면),,2020-11-24,,,1200-2,송정동,,,
37.54204,129.10168,platform,yes,동호육교(시청.북평방면),,2020-11-24,,,580-16,발한동,,,
37.54261,129.10211,platform,yes,동호육교(발한.옥계방면),,2020-11-24,,,578-22,발한동,,,
37.55417,129.11826,platform,yes,묵호등대(발한.시청방면),,2020-11-24,,,4-195,묵호진동,,,
37.55655,129.11718,platform,yes,등대경로당(발한.시청방면),,2020-11-24,,,3-116,묵호진동,,,
37.55646,129.11714,platform,yes,등대경로당(묵호등대방면),,2020-11-24,,,4-176,묵호진동,,,
37.54607,129.10723,platform,yes,묵호역(시청.삼척방면),,2020-11-24,,,208-4,발한동,,,
37.54613,129.10761,platform,yes,묵호역(발한.대진방면),,2020-11-24,,,208-13,발한동,,,
37.55821,129.07235,platform,yes,만우(발한.시청방면),,2020-11-24,,,222-4,만우동,,,
37.56028,129.0743,platform,yes,만우가든(발한.시청방면),,2020-11-24,,,380-27,만우동,,,
37.56032,129.07425,platform,yes,만우가든(만우방면),,2020-11-24,,,380-27,만우동,,,
37.59008,129.08921,platform,yes,하얀팬션앞(발한.시청방면),,2020-11-24,,,365-4,망상동,,,
37.59002,129.08917,platform,yes,하얀팬션앞(만우방면),,2020-11-24,,,365-4,망상동,,,
37.58612,129.09874,platform,yes,망상역(옥계방면),,2020-11-24,,,162-11,망상동,,,
37.58598,129.09858,platform,yes,망상역앞(발한.시청방면),,2020-11-24,,,153-25,망상동,,,
37.59151,129.08969,platform,yes,망상해변(발한.시청방면),,2020-11-24,,,361-2,망상동,,,
37.59166,129.08982,platform,yes,망상해변(옥계방면),,2020-11-24,,,361-2,망상동,,,
37.58477,129.0927,platform,yes,매밑(발한.시청방면),,2020-11-24,,,566-3,망상동,,,
37.58481,129.09262,platform,yes,매밑(만우방면),,2020-11-24,,,566-3,망상동,,,
37.46375,129.02249,platform,yes,무릉계곡(무릉종점),,2020-11-24,,,858-3,삼화동,,,
37.46361,129.02233,platform,yes,무릉계곡(대동.북평방면),,2020-11-24,,,858-3,삼화동,,,
37.5523,129.11511,platform,yes,묵호동어판장앞(발한.시청방면),,2020-11-24,,,15-93,묵호진동,,,
37.55217,129.11635,platform,yes,논골입구(대진방면),,2020-11-24,,,15-187,묵호진동,,,
