위 도,경 도,internet_access,internet_access:fee,internet_access:operator,start_date,addr:full,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.24011,128.587582,wlan,no,KT,2014-01-01,경상남도 창원시 마산회원구 합성남 8길 76,,8길,76,,,,
35.236719,128.578724,wlan,no,SKT,2014-01-01,경상남도 창원시 마산회원구 석전동17길 37 일원,,석전동17길,37,,,,
35.151052,128.665623,wlan,no,KT,2014-01-01,경상남도 창원시 진해구 벚꽃로 60번길 25,,벚꽃로,25,,,,
35.230159,128.654327,wlan,no,LGU+,2014-01-01,,,두대로,97,,,,
35.240197,128.591912,wlan,no,SKT,2014-01-01,,,팔용로,128,,,,
35.133776,128.71553,wlan,no,LGU+,2014-01-01,,,천자로,484,풍호동,,,
35.201987,128.696799,wlan,no,LGU+,2014-01-01,경상남도 창원시 성산구 정동로 162번길 57,,정동로,57,,,,
35.30774,128.6779,wlan,no,KT,2019-12-01,,,주남로101번길,32,동읍,,,
35.16546,128.59887,wlan,no,KT,2019-05-01,,,,644-2,귀곡동,,,
35.20616,128.6991,wlan,no,SKB,2019-06-01,,,대정로20번길,11,,,,
35.108915,128.540625,wlan,no,LGU+,2019-11-01,경상남도 창원시 마산합포구 구산면 석곡리 산183-2,,,,구산면,,,
35.17894,128.5811,wlan,no,KT,2019-12-01,,,돝섬2길,58,,,,
35.20617,128.57466,wlan,no,KT,2019-10-01,,,창동거리길,32,,,,
35.37448,128.4824,wlan,no,SKB,2016-03-01,,,삼칠로,1010,칠서면,,,
35.13329,128.7037,wlan,no,KT,2018-05-01,,,충장로,633,,,,
35.2127,128.708707,wlan,no,KT,2020-06-01,경상남도 창원시 대방동  357 (대정로 149),,대정로,357,대방동,,,
35.2049229,128.7093271,wlan,no,KT,2020-06-01,경상남도 창원시 사파동  376 (대암로 256),,대암로,376,사파동,,,
35.209941,128.7065669,wlan,no,KT,2020-06-01,경상남도 창원시 대방동  358 (대정로 142),,대정로,358,대방동,,,
35.2068701,128.705599,wlan,no,KT,2020-06-01,경상남도 창원시 대방동  371 (창이대로881번길 8),,창이대로881번길,371,대방동,,,
35.2135646,128.7047246,wlan,no,KT,2020-06-01,경상남도 창원시 대방동  356 (대정로 131),,대정로,356,대방동,,,
35.2047437,128.7073039,wlan,no,KT,2020-06-01,경상남도 창원시 사파동  375 (대암로 272),,대암로,375,사파동,,,
35.2033554,128.7039277,wlan,no,KT,2020-06-01,경상남도 창원시 대방동  374 (대암로 282),,대암로,374,대방동,,,
35.2151426,128.7063188,wlan,no,KT,2020-06-01,경상남도 창원시 대방동  355 (대암로 82),,대암로,355,대방동,,,
