위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자
33.2324894,126.4882796,휴게음식점,후레쉬맘,제주특별자치도 서귀포시 이어도로 662 2층 (강정동),제주특별자치도 서귀포시 강정동 2695번지 ,2018-02-23
33.467855,126.9239401,휴게음식점,GS25성산오조점,제주특별자치도 서귀포시 성산읍 한도로 129 1층,제주특별자치도 서귀포시 성산읍 오조리 6번지 ,2018-02-23
33.2629769,126.3982809,휴게음식점,GS25편의점중문상예점,제주특별자치도 서귀포시 일주서로 1076 (상예동),제주특별자치도 서귀포시 상예동 260번지 ,2018-02-23
33.2577811,126.4135431,휴게음식점,세븐일레븐서귀포색달점,제주특별자치도 서귀포시 색달중앙로 25 1층 (색달동),제주특별자치도 서귀포시 색달동 2276번지 2호 ,2018-02-23
33.2899733,126.6935278,휴게음식점,가뫼물카페,제주특별자치도 서귀포시 남원읍 남위남성로 168,제주특별자치도 서귀포시 남원읍 남원리 2140번지 6호 ,2018-02-23
33.2761837,126.2571383,휴게음식점,씨유서귀구억점,제주특별자치도 서귀포시 대정읍 중산간서로 2397 1층,제주특별자치도 서귀포시 대정읍 안성리 2015번지 2호 ,2018-02-23
33.249826,126.4109614,휴게음식점,세븐일레븐서귀포중문롯데점,제주특별자치도 서귀포시 중문관광로72번길 29-5 (색달동),제주특별자치도 서귀포시 색달동 2822번지 40호 ,2018-02-23
33.3234478,126.8447796,휴게음식점,모루,제주특별자치도 서귀포시 표선면 민속해안로 537 1층,제주특별자치도 서귀포시 표선면 표선리 40번지 69호 ,2018-02-23
33.2515944,126.4240302,휴게음식점,못난이찹쌀꽈배기3호점,제주특별자치도 서귀포시 천제연로 182 1층 (중문동),제주특별자치도 서귀포시 중문동 2119번지 1호 ,2018-02-23
33.4636892,126.933465,휴게음식점,이디야커피성산점,제주특별자치도 서귀포시 성산읍 성산중앙로 43,제주특별자치도 서귀포시 성산읍 성산리 181번지 1호 ,2018-02-23
33.2350833,126.3136705,휴게음식점,스위트브라운,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-61 2층,제주특별자치도 서귀포시 안덕면 사계리 113번지 ,2018-02-23
