위도,경도,name,addr:full,cuisine,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
35.9052,128.612405,(맥)참숯불한우갈비살돼지항정살,,식육(숯불구이),2020-10-13,,유통단지로8길,70,산격동,,3,
35.925153,128.543372,24시교동촌콩나물해장국밥,,한식,2020-10-13,,태전로,55,태전동,,,
35.93951,128.569584,3바다낙지해물,,한식,2020-10-13,,구암로60길,58,구암동,,,
35.889164,128.579806,감포생밀복,"대구광역시 북구 침산남로7길 2-1 (노원동1가,2층3층)",한식,2020-10-13,,침산남로7길,2-1,,,,
35.940191,128.570345,강북오리박사,,한식,2020-10-13,,구암로60길,66,구암동,,,
35.938613,128.604032,거산이가네더덕밥,,한식,2020-10-13,,이곡길,35-41,서변동,,,
35.888422,128.603406,고기한마당,,식육(숯불구이),2020-10-13,,대현로9길,52,산격동,,,
35.877836,128.591413,곰내미,"대구광역시 북구 칠성남로26길 32, 2층 (칠성동2가)",한식,2020-10-13,,칠성남로26길,32,,,2,
35.938106,128.553347,기와집보쌈,"대구광역시 북구 대천로7길 6-10 (읍내동, A동 1,2층 B동 1층)",한식,2020-10-13,,대천로7길,6-10,B동,A,1,
35.950688,128.566379,꽃바위낙지,,한식,2020-10-13,,학남로1길,24,학정동,,1,
35.900256,128.609522,남다른감자탕대구산격점,,한식,2020-10-13,,동북로,149-2,산격동,,,
35.892621,128.589012,남도뚝배기,,한식,2020-10-13,,성북로,47,침산동,,1,
35.918694,128.606325,내고향식당,,한식,2020-10-13,,동변로18길,43,동변동,,,
35.943258,128.564546,녹야원대구칠곡점,,한식,2020-10-13,,동암로,128-10,구암동,,3,
