위도,경도,업종명,업소명,addr:full,소재지(지번),데이터기준일자,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2518753,126.4249222,일반음식점,작은맥주집,,제주특별자치도 서귀포시 중문동 2058번지 1층 ,2018-02-23,,천제연로,189,중문동,,1,
33.2210824,126.2534552,일반음식점,미쳐불어,,제주특별자치도 서귀포시 대정읍 하모리 846번지 12호 ,2018-02-23,,신영로,101,대정읍,,1,
33.2460024,126.5810125,일반음식점,서귀포칼호텔한라정,,제주특별자치도 서귀포시 토평동 486번지 3호 ,2018-02-23,,칠십리로,242,토평동,,,
33.2583344,126.560288,일반음식점,엄마도시락,,제주특별자치도 서귀포시 서홍동 314번지 9호 ,2018-02-23,,중앙로,154,서홍동,,1,
33.4613726,126.9335321,일반음식점,금박돈,,제주특별자치도 서귀포시 성산읍 성산리 148번지 1층 ,2018-02-23,,일출로,261,성산읍,,1,
33.2358257,126.3673505,일반음식점,자갈자갈,,제주특별자치도 서귀포시 안덕면 창천리 876번지 9호 2동 ,2018-02-23,,대평감산로,6,안덕면,,,
33.2541205,126.560076,일반음식점,마루아라신시가지점,,제주특별자치도 서귀포시 강정동 208번지 2호 1층 103호,2018-02-23,,대청로,29,강정동,,1,103
33.2501628,126.5605637,일반음식점,빨간돼지날다,,제주특별자치도 서귀포시 서귀동 307번지 8호 1층 ,2018-02-23,,천지로,29,서귀동,,1,
33.2604028,126.6195217,일반음식점,오늘도말금,,제주특별자치도 서귀포시 하효동 682번지 1층 ,2018-02-23,,하효중앙로,112,하효동,,1,
33.2805268,126.7198575,일반음식점,스시다비,,제주특별자치도 서귀포시 남원읍 남원리 185번지 5호 ,2018-02-23,,태위로689번길,11,남원읍,,1,
33.3066927,126.3380858,일반음식점,바이트푸드코트푸드오클락제주신화월드점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98 1층 (F303),제주특별자치도 서귀포시 안덕면 서광리 산 35번지 16호 F303 1층 ,2018-02-23,,신화역사로304번길,98,안덕면,,1,
33.3066927,126.3380858,일반음식점,라바카페테리아제주신화월드점,제주특별자치도 서귀포시 안덕면 신화역사로304번길 98 1층 (F202 1층),제주특별자치도 서귀포시 안덕면 서광리 산 35번지 16호 F202 1층 ,2018-02-23,,신화역사로304번길,98,안덕면,,1,
33.2424536,126.3049147,일반음식점,제주면가무이네,,제주특별자치도 서귀포시 안덕면 사계리 255번지 1호 1층 ,2018-02-23,,사계로114번길,54-62,안덕면,,1,
33.325868,126.8356217,일반음식점,해비치쉼터,,제주특별자치도 서귀포시 표선면 표선리 861번지 1호 ,2018-02-23,,표선중앙로,109,표선면,,,
33.2278543,126.3051556,일반음식점,코코부코,제주특별자치도 서귀포시 안덕면 형제해안로 13-1 1층 (사계어촌계),제주특별자치도 서귀포시 안덕면 사계리 2147번지 30호 사계어촌계 1층 ,2018-02-23,,형제해안로,13-1,안덕면,,1,
33.2572879,126.5572703,일반음식점,본초불닭발서홍동점,,제주특별자치도 서귀포시 서홍동 380번지 1호 ,2018-02-23,,홍중로,52,서홍동,,1,
33.2475582,126.4081161,일반음식점,라운지에스,,제주특별자치도 서귀포시 색달동 3039번지 3호 ,2018-02-23,,중문관광로72번길,75,색달동,,3,
33.2468555,126.3355153,일반음식점,서광식당,,제주특별자치도 서귀포시 안덕면 화순리 1074번지 5호 ,2018-02-23,,화순로,102-1,안덕면,,,
33.3533515,126.7720599,일반음식점,깡,,제주특별자치도 서귀포시 표선면 가시리 1900번지 1호 ,2018-02-23,,가시로565번길,18,표선면,,,
33.2515104,126.571959,일반음식점,선창주점,,제주특별자치도 서귀포시 동홍동 170번지 2호 103호,2018-02-23,,동홍중앙로,9,동홍동,,,103
