위도,경도,amenity,name,addr:full
37.44264791,127.1389251,bar,우신스텐드바,경기도 성남시 수정구 수정로170번길 4 (신흥동)
37.44196941,127.1373168,bar,따봉 노래빵,"경기도 성남시 수정구 수정로154번길 6-1 (신흥동,(지하1층))"
37.44303583,127.1365135,bar,라이브친구,"경기도 성남시 수정구 수정북로 64 (태평동,지하1층)"
37.44358572,127.1415023,bar,나는가수다라이브,"경기도 성남시 수정구 수정로 지하 194, 지하1층 (신흥동)"
37.44368729,127.1418402,bar,썸 노래빠,"경기도 성남시 수정구 수정로 198, 지층 (신흥동)"
37.44148166,127.1458545,bar,몽마르죠 노래빵,"경기도 성남시 수정구 시민로142번길 18-1, 지하1층 (신흥동)"
37.44247237,127.1383281,bar,주노래빵,"경기도 성남시 수정구 수정로162번길 3 (신흥동,지하1층)"
37.44079825,127.1448,bar,히히,"경기도 성남시 수정구 산성대로249번길 8 (신흥동,(지하1층))"
37.44321123,127.1408059,bar,오로라노래빵,"경기도 성남시 수정구 수정로188번길 4, 지층 (신흥동)"
37.44323524,127.1416306,bar,뉴월드,"경기도 성남시 수정구 시민로175번길 9 (신흥동,지층)"
37.44107817,127.1461303,bar,엠비시노래주점,경기도 성남시 수정구 산성대로265번길 5 (신흥동)
37.44120264,127.1446485,bar,큐빅노래바,"경기도 성남시 수정구 시민로142번길 7, 3층 (신흥동)"
37.44307787,127.1398129,bar,환희노래빵,"경기도 성남시 수정구 수정로 178, 2층 (신흥동)"
37.43944506,127.143335,bar,은하수노래빠,경기도 성남시 수정구 산성대로 233 (신흥동)
37.44325316,127.140376,bar,예스클럽,경기도 성남시 수정구 수정로 184 (신흥동)
37.44346589,127.1411307,bar,쌍떼 노래빵,경기도 성남시 수정구 수정로 190-1 (신흥동)
37.4431425,127.1400269,bar,준노래빵,"경기도 성남시 수정구 수정로 180, 2층 (신흥동)"
37.44037217,127.1444432,bar,썬노래짱,"경기도 성남시 수정구 시민로 136, 지하1층 (신흥동)"
37.44177313,127.1487895,bar,윙크 노래빵,"경기도 성남시 수정구 산성대로 287-1, 지하1층 (신흥동)"
37.44100967,127.1441309,bar,썸노래빵,"경기도 성남시 수정구 시민로 144, 3층 (신흥동)"
37.44137285,127.1470085,bar,빙고 노래짱,"경기도 성남시 수정구 산성대로269번길 6, 3층 (신흥동, 일부)"
37.44261924,127.1511757,bar,로또노래바,"경기도 성남시 수정구 산성대로 311, 지하1(일부)층 (신흥동)"
37.4412758,127.1435515,bar,올인 노래방,"경기도 성남시 수정구 시민로 147, 2층 일부호 (신흥동)"
37.46489884,127.1406486,bar,달 노래빠(BAR),"경기도 성남시 수정구 위례광장로 9-10, 4층 406호 (창곡동, 아롬타워)"
