위도,경도,shop,name,addr:full
37.75309629,128.8986663,hairdresser,행복한 미용실,강원도 강릉시 금성로23번길 12 (성남동)
37.77417134,128.9369795,hairdresser,Ciel(씨엘),강원도 강릉시 경강로 2537 (견소동)
37.77170591,128.9159725,hairdresser,아이리스헤어,강원도 강릉시 하평3길 28-1 (포남동)
37.75612825,128.9093633,hairdresser,모즈스토리(Mods Story),강원도 강릉시 용지로 55 (입암동)
37.75323625,128.8973712,hairdresser,애플그린,강원도 강릉시 금성로31번길 4 (성남동)
37.75212857,128.8984616,hairdresser,새로미 헤어아트,강원도 강릉시 금성로31번길 20 (성남동)
37.75720093,128.889289,hairdresser,순머리방,"강원도 강릉시 강릉대로 172, 1층 1호 (교동)"
37.75288596,128.8985759,hairdresser,예찬미용실,강원도 강릉시 중앙시장2길 34 (성남동)
37.7552387,128.9206014,hairdresser,토트헤어,강원도 강릉시 성덕로 316-15 (입암동)
37.76380893,128.8877183,hairdresser,안민프로헤어,강원도 강릉시 화부산로 88 (교동)
37.75269448,128.8958995,hairdresser,환이지헤어,강원도 강릉시 금성로 46-1 (금학동)
37.7552387,128.9206014,hairdresser,이안헤어클럽,"강원도 강릉시 성덕로 316-15 (입암동,대우이안상가 102호)"
37.74933476,128.8982625,hairdresser,투맨헤어,"강원도 강릉시 강변로 270 (노암동,신화아파트 2-7호)"
37.77929447,128.9172241,hairdresser,주니헤어,강원도 강릉시 강릉대로527번길 7 (포남동)
37.76113755,128.9044605,hairdresser,하기헤어(Hagi Hair),"강원도 강릉시 경강로 2197 (옥천동,1층 4호)"
37.87962348,128.8269537,hairdresser,오렌지헤어,강원도 강릉시 주문진읍 연주로 304
37.7561319,128.8833419,hairdresser,유미헤어스투디오,강원도 강릉시 원대로8번길 16-1 (교동)
37.76006572,128.9006624,hairdresser,수연미용실,"강원도 강릉시 옥천로 48 (옥천동,동부시장상가 1층 42호)"
37.74468518,128.884269,hairdresser,헤어로656,강원도 강릉시 범일로 656 (내곡동)
37.77077696,128.9125968,hairdresser,수방헤어,"강원도 강릉시 하평2길 6, 108호 (포남동, 청송아파트상가)"
37.75960492,128.9120987,hairdresser,쉬즈 헤어,"강원도 강릉시 월대산로 15 (입암동,우진상가 107호)"
37.7565116,128.8700064,hairdresser,세미헤어,강원도 강릉시 선수촌로63번길 5 (홍제동)
37.76506797,128.8918219,hairdresser,꽃단장 헤어샵,강원도 강릉시 율곡로 2940 (교동)
37.76521409,128.8922252,hairdresser,김호 증모 가발 전문샵,"강원도 강릉시 화부산로 130-1, 2층 (교동)"
37.75327997,128.8971621,hairdresser,J 헤어,강원도 강릉시 금성로 33 (성남동)
37.87942803,128.826621,hairdresser,해바라기 헤어,강원도 강릉시 주문진읍 연주로 303
37.88095201,128.8262938,hairdresser,머리마음미용실,강원도 강릉시 주문진읍 연주로 320
37.75243631,128.8939103,hairdresser,바비컷헤어,강원도 강릉시 신대학길 4 (성내동)
37.74631723,128.8875172,hairdresser,머릿결사랑,강원도 강릉시 범일로 692 (내곡동)
37.77150921,128.9164126,hairdresser,진한겸's가르마,"강원도 강릉시 하평4길 21 (포남동, 1층)"
37.75412842,128.8955765,hairdresser,가인헤어,"강원도 강릉시 경강로 2088, 2층 (임당동)"
37.8688543,128.8392609,hairdresser,카라헤어,"강원도 강릉시 연곡면 영진2길 9, 1층"
37.75566738,128.8918127,hairdresser,세신미용실,강원도 강릉시 임영로 162 (임당동)
37.78668188,128.9142542,hairdresser,컬트미용실,강원도 강릉시 초당원길 62 (초당동)
37.75983512,128.9179208,hairdresser,다온헤어,강원도 강릉시 월대산로 68 (입암동)
37.76861786,128.8787662,hairdresser,마들렌헤어,강원도 강릉시 솔올로 75 (교동)
37.77341353,128.8737756,hairdresser,티지헤어,강원도 강릉시 지변길 10 (지변동)
37.76945168,128.9114292,hairdresser,김나경헤어,강원도 강릉시 성덕포남로182번길 27 (포남동)
37.774787,128.9120944,hairdresser,은가위소리미용실,강원도 강릉시 강릉대로457번길 12-1 (포남동)
37.75975129,128.9183665,hairdresser,황스헤어(황s헤어),강원도 강릉시 입암로 157 (입암동)
37.75361868,128.8966035,hairdresser,제니스헤어,"강원도 강릉시 대학길 5 (금학동,2층)"
37.75376839,128.9077796,hairdresser,이은영헤어,강원도 강릉시 강중길 30 (입암동)
37.76170169,128.9057952,hairdresser,태후사랑,강원도 강릉시 용지각길 21 (포남동)
37.60942771,129.0357953,hairdresser,동산미용실,"강원도 강릉시 옥계면 현내시장길 69, 1층"
37.76856699,128.915216,hairdresser,머리사랑,강원도 강릉시 경강로 2323 (포남동)
37.76887579,128.9107956,hairdresser,세진뷰티,강원도 강릉시 경강로2291번길 24 (포남동)
37.86939649,128.8400801,hairdresser,안미희헤어,"강원도 강릉시 연곡면 영진3길 26-2, 2층"
37.76167256,128.9055638,hairdresser,주헤어,"강원도 강릉시 경강로 2210, 1층 (포남동)"
37.88180111,128.8259646,hairdresser,아레드머리방,"강원도 강릉시 주문진읍 신리길 1, 1층"
37.78123156,128.9177647,hairdresser,명동조희머리방,강원도 강릉시 산양큰길 52-2 (포남동)
37.76401161,128.9057744,hairdresser,여명헤어라인,강원도 강릉시 남구길11번길 6 (포남동)
37.88708485,128.8254016,hairdresser,모아미헤어갤러리,강원도 강릉시 주문진읍 주문로 35
37.74376805,128.8820914,hairdresser,유서정미용실,"강원도 강릉시 강변로114번길 16, 103호 (내곡동, 한라아파트상가)"
37.74639355,128.8908361,hairdresser,누리네미용실,강원도 강릉시 남산초교길11번길 6 (내곡동)
37.77205499,128.9156345,hairdresser,SHAIR,강원도 강릉시 하평3길 34 (포남동)
