위도,경도,데이터기준일자,highway,support,light_method,light:lit,light:shape,light:tilt
37.472157,126.6326889,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.472627,126.6343761,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.472385,126.6337022,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4721082,126.632362,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720751,126.6318426,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.472398,126.6340525,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4722015,126.633423,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720953,126.6328031,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720065,126.6321377,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4725368,126.6343665,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4723039,126.6337037,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.472144,126.6331188,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4720466,126.6324875,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4719942,126.6318553,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.468684,126.6417166,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4674224,126.6417055,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4682247,126.6417362,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4669899,126.641702,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4680103,126.6418983,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.468252,126.6425496,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4684275,126.6421395,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4680406,126.6429717,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4682897,126.6419046,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4676408,126.6418937,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4671271,126.6418804,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4665051,126.6418577,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4657056,126.6420643,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4668207,126.6418746,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.466163,126.6418865,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4663472,126.6414423,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4662119,126.6414334,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.465729,126.6409674,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4657288,126.6401648,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.465952,126.6399912,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4655633,126.6406652,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4659949,126.6397983,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4657181,126.6400181,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4659846,126.6412567,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4662025,126.6398284,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4658468,126.6418131,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4663407,126.6416685,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4654341,126.6419675,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.455793,126.6086185,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4555128,126.6093131,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4556352,126.6089944,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4553463,126.6097118,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4563709,126.607195,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4560994,126.6078555,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.455968,126.6081745,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
37.4562218,126.6075368,2020-10-15,street_lamp,straight_mast,LED,dusk-dawn,cylindrical ,-90
