노선명,기점,기점 위도,기점 경도,종점,종점 위도,종점 경도,연장(km),관리기관명,데이터기준일자
신례상로,제주특별자치도 서귀포시 남원읍 신례리 1233-4,33.293238,126.626797,제주특별자치도 서귀포시 남원읍 신례리 1506-1,33.294796,126.632588,0.6,서귀포시 건설과,2016-08-31
신례동로,제주특별자치도 서귀포시 남원읍 신례리 848-4,33.285611,126.634673,제주특별자치도 서귀포시 남원읍 신례리 2162-5,33.316156,126.633403,3.5,서귀포시 건설과,2016-08-31
태신해안로,제주특별자치도 서귀포시 남원읍 태흥리 358-2,33.289758,126.751968,제주특별자치도 서귀포시 남원읍 신흥리 8,33.306749,126.775559,3.6,서귀포시 건설과,2016-08-31
하례망장포로,제주특별자치도 서귀포시 남원읍 하례리 309-1,33.264002,126.635117,제주특별자치도 서귀포시 남원읍 하례리 64-3,33.258246,126.639436,0.7,서귀포시 건설과,2016-08-31
남조로,제주특별자치도 서귀포시 남원읍 남원리 209-5,33.2798408,126.7193492,제주특별자치도 서귀포시 표선면 가시리 산158-1,33.403434,126.682278,15.6,서귀포시 건설과,2016-08-31
남한로,제주특별자치도 서귀포시 남원읍 남원리 2490-100,33.2790662,126.7158289,제주특별자치도 서귀포시 남원읍 한남리 359-4 ,33.312104,126.695655,4.3,서귀포시 건설과,2016-08-31
신례로,제주특별자치도 서귀포시 남원읍 신례리 51-17,33.267145,126.642544,제주특별자치도 서귀포시 남원읍 신례리 1143-1,33.2939055141,126.6231233452,3.9,서귀포시 건설과,2016-08-31
위미대원하로,제주특별자치도 서귀포시 남원읍 위미리 1950-12,33.27804,126.667768,제주특별자치도 서귀포시 남원읍 위미리 1866-3,33.2733498959,126.6652318885,0.6,서귀포시 건설과,2016-08-31
위미중앙로,제주특별자치도 서귀포시 남원읍 위미리 2576-3,33.290055,126.661255,제주특별자치도 서귀포시 남원읍 위미리 892-7,33.274984,126.674402,3.2,서귀포시 건설과,2016-08-31
위미항구로,제주특별자치도 서귀포시 남원읍 위미리 3192-4,33.2744923556,126.6569968301,제주특별자치도 서귀포시 남원읍 위미리 산62,33.321923,126.645284,5.7,서귀포시 건설과,2016-08-31
태위로,제주특별자치도 서귀포시 남원읍 위미리 4150-1,33.2719691731,126.6484542314,제주특별자치도 서귀포시 남원읍 태흥리 366-1,33.2887656511,126.7502204043,10,서귀포시 건설과,2016-08-31
태흥중동로,제주특별자치도 서귀포시 남원읍 태흥리 1333,33.2838495171,126.7360470272,제주특별자치도 서귀포시 남원읍 태흥리 1278-3,33.286401,126.733927,0.4,서귀포시 건설과,2016-08-31
하례로,제주특별자치도 서귀포시 남원읍 하례리 130,33.253576,126.623506,제주특별자치도 서귀포시 남원읍 하례리 1300-2,33.3107,126.60886,7.2,서귀포시 건설과,2016-08-31
하례학림로,제주특별자치도 서귀포시 남원읍 하례리 1625-1,33.290941,126.606424,제주특별자치도 서귀포시 남원읍 하례리 산114,33.310436,126.602157,2.9,서귀포시 건설과,2016-08-31
서성로,제주특별자치도 서귀포시 남원읍 하례리 산54-11,33.3163933,126.5952112,제주특별자치도 서귀포시 표선면 가시리 2706,33.367815,126.759462,17.4,서귀포시 건설과,2016-08-31
민속해안로,제주특별자치도 서귀포시 표선면 세화리 282-4,33.306914,126.806353,제주특별자치도 서귀포시 표선면 표선리 880,33.324484,126.845275,6.5,서귀포시 건설과,2016-08-31
표선백사로,제주특별자치도 서귀포시 표선면 표선리 1068-7,33.317929,126.829488,제주특별자치도 서귀포시 표선면 표선리 422-3,33.331143,126.837874,1.8,서귀포시 건설과,2016-08-31
