지형지물부호,관리번호,행정읍면동,도엽번호,관리기관,도로구간번호,공사번호,보수종류,보수공종,연장,면적,폭원,차도포장재질,보도포장재질,이전차도포장재질,이전보도포장재질,대장초기화여부,구분ID,경도,위도
보도포장,150007,사량면,348012016A,통영시,150004,,신설,미분류,388.68,884.12,2.56,미분류,소형고압블럭,미분류,소형고압블럭,1,53,128.2269995,34.8435492
차도포장,150008,사량면,348012025B,통영시,150008,,신설,미분류,344.69,2792.09,8.06,아스팔트콘크리트,미분류,아스팔트콘크리트,미분류,1,54,128.2232971,34.83851352
차도포장,150009,사량면,348012025B,통영시,150001,,신설,미분류,17.45,98.56,4.28,콘크리트,미분류,콘크리트,미분류,1,55,128.2247006,34.8376499
차도포장,150010,사량면,348012016B,통영시,150004,,신설,미분류,397.02,4544.49,11.31,아스팔트콘크리트,미분류,아스팔트콘크리트,미분류,1,56,128.2271373,34.84355869
보도포장,150011,사량면,348012015B,통영시,150003,,신설,미분류,55.55,125.77,2.38,미분류,소형고압블럭,미분류,소형고압블럭,1,57,128.2246853,34.84425808
차도포장,150012,사량면,348012015B,통영시,150003,,신설,미분류,43.78,1324.41,32.38,아스팔트콘크리트,미분류,아스팔트콘크리트,미분류,1,58,128.2248316,34.84417047
보도포장,150013,사량면,348012015B,통영시,150003,,신설,미분류,22.24,47.01,2.05,미분류,소형고압블럭,미분류,소형고압블럭,1,59,128.224999,34.84405842
차도포장,150014,사량면,348012027A,통영시,150014,,신설,미분류,223.39,2412.32,9.82,아스팔트콘크리트,미분류,아스팔트콘크리트,미분류,1,60,128.2315069,34.83825524
차도포장,150015,사량면,348012027A,통영시,150012,,신설,미분류,52.84,892.66,15.02,아스팔트콘크리트,미분류,아스팔트콘크리트,미분류,1,61,128.2303843,34.83769846
보도포장,150016,사량면,348012027A,통영시,150012,,신설,미분류,11.23,23.37,2.1,미분류,소형고압블럭,미분류,소형고압블럭,1,62,128.2301417,34.83768507
보도포장,150017,사량면,348012027A,통영시,150006,,신설,미분류,33.71,77.68,2.99,미분류,소형고압블럭,미분류,소형고압블럭,1,63,128.2302728,34.83785003
차도포장,150018,사량면,348012027A,통영시,150006,,신설,미분류,23.73,407,10.8,아스팔트콘크리트,미분류,아스팔트콘크리트,미분류,1,64,128.230392,34.83787318
보도포장,150019,사량면,348012027A,통영시,150006,,신설,미분류,9.68,24.82,3.04,미분류,소형고압블럭,미분류,소형고압블럭,1,65,128.2304264,34.83797854
