위도,경도,man_made,surveillance,surveillance:zone,surveillance:type,name,addr:full,source:date
35.84157276,129.2098496,surveillance,outdoor,traffic,camera,봉황대(노서동 노서리 고분 앞),경상북도 경주시 노서동 101-7,2019-10-18
35.84222091,129.2099259,surveillance,outdoor,traffic,camera,청기와사거리(청기와 커피 앞),경상북도 경주시 노서동 82,2019-10-18
35.84344624,129.2099666,surveillance,outdoor,traffic,camera,봉황로 문화의거리 행운슈퍼사거리(학생당상가),경상북도 경주시 노서동 13-1,2019-10-18
35.83905501,129.202993,surveillance,outdoor,traffic,camera,시외버스터미널(GS25편의점 앞),경상북도 경주시 노서동 243-16,2019-10-18
35.84505588,129.2076444,surveillance,outdoor,traffic,camera,화랑로 사거리(중앙시장네거리),경상북도 경주시 서부동 237,2019-10-18
35.7139649,129.3247393,surveillance,outdoor,traffic,camera,외동읍 입실한의원 앞,경주시 외동읍 입실리 1012-9,2019-10-18
35.85620277,129.2247303,surveillance,outdoor,traffic,camera,경주시청 앞,경상북도 경주시 동천동 800,2019-10-18
35.86760114,129.2027272,surveillance,outdoor,traffic,camera,현곡면 우남사우나 맞은편(서라벌공인중계사 맞은편),경상북도 경주시 현곡면 금장리 445-6,2019-10-18
35.8657621,129.214403,surveillance,outdoor,traffic,camera,황성동 파리바게트,경상북도 경주시 황성동 472-8,2019-10-18
35.84874878,129.2051875,surveillance,outdoor,traffic,camera,흥무초등학교,경상북도 경주시 성건동 460-4,2019-10-18
35.87275978,129.2032925,surveillance,outdoor,traffic,camera,금장초등학교,경상북도 경주시 현곡면 금장리 328-1,2019-10-18
35.91959364,129.2461616,surveillance,outdoor,traffic,camera,모아초등학교,경상북도 경주시 천북면 모아리 587-3,2019-10-18
35.84862003,129.1042922,surveillance,outdoor,traffic,camera,건천읍 대한치과 앞,경상북도 경주시 건천읍 건천리 338-3,2019-10-18
35.84993059,129.1019303,surveillance,outdoor,traffic,camera,건천읍사무소앞,경상북도 경주시 건천읍 건천리 244-1,2019-10-18
35.84618685,129.2170265,surveillance,outdoor,traffic,camera,우리들온누리약국 앞,경상북도 경주시 성동동 73-2,2019-10-18
35.84474237,129.2154879,surveillance,outdoor,traffic,camera,새천년병원 앞,경상북도 경주시 성동동 396-12,2019-10-18
35.86872483,129.2128648,surveillance,outdoor,traffic,camera,유림초등학교 앞,경상북도 경주시 황성동 539-1,2019-10-18
35.8642745,129.2215551,surveillance,outdoor,traffic,camera,용황유치원 앞,경상북도 경주시 황성동 325-1,2019-10-18
35.88499451,129.2242326,surveillance,outdoor,traffic,camera,황성 현진에버빌,경상북도 경주시 용강동 1382,2019-10-18
35.87678694,129.2186245,surveillance,outdoor,traffic,camera,황성 협성휴포레 앞,경상북도 경주시 황성동 1075,2019-10-18
35.86506919,129.2205154,surveillance,outdoor,traffic,camera,용황초등학교,경상북도 경주시 황성동 324-7,2019-10-18
35.87271439,129.2282292,surveillance,outdoor,traffic,camera,황남초등학교 정문,경상북도 경주시 용강동 1788,2019-10-18
35.88485689,129.229757,surveillance,outdoor,traffic,camera,황남초등학교 후문,경상북도 경주시 용강동 1675,2019-10-18
