위도,경도,amenity,name,addr:full,source,source:date,shop,branch,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,addr:housename
33.2516854,126.4230306,restaurant,안녕좋은하루카페,,공공데이터포털,2018-02-23,,,,천제연로,172,중문동,,,,
33.2835671,126.7051642,restaurant,영실감귤,,공공데이터포털,2018-02-23,,,,일주동로,7501,남원읍,,1,,
33.2564949,126.3109017,restaurant,난드르커피,,공공데이터포털,2018-02-23,,,,덕수동로,27,안덕면,,,,
33.2843492,126.353606,,CU 서귀평화로점,,공공데이터포털,2018-02-23,convenience,서귀평화로점,,한창로,273,안덕면,,,,
33.2434657,126.3861414,cafe,복고다방,,공공데이터포털,2018-02-23,,,,하예로,1-3,하예동,,2,,
33.2503809,126.5616535,restaurant,케이크를부탁해서귀포점,,공공데이터포털,2018-02-23,,,,중앙로,66,서귀동,,1,,
33.2488022,126.5642279,restaurant,커피에반하다서귀포올레시장점,,공공데이터포털,2018-02-23,,,,중정로73번길,8,서귀동,,1,,
33.2311659,126.2976414,restaurant,유루유루,,공공데이터포털,2018-02-23,,,,산방로,367-1,안덕면,,1,,
33.2629138,126.383308,restaurant,소보리당로222,,공공데이터포털,2018-02-23,,,,소보리당로,222,상예동,,,,
33.2730578,126.6577999,restaurant,제주에오길,,공공데이터포털,2018-02-23,,,,위미해안로,18,남원읍,,1,,
33.4408725,126.906148,restaurant,에듀카페더쌤,,공공데이터포털,2018-02-23,,,,난고로42번길,110,성산읍,,1,,
33.2253616,126.2541275,restaurant,촐래,,공공데이터포털,2018-02-23,,,,동일하모로,214,대정읍,,,,
33.2448521,126.5718032,,CU 서귀문부로점,,공공데이터포털,2018-02-23,convenience,서귀문부로점,,동홍서로,37,동홍동,,1,,
33.2528512,126.561642,restaurant,더리터중앙점,,공공데이터포털,2018-02-23,,,,중앙로,92,서귀동,,1,,
33.242165,126.560075,restaurant,커피에반하다제주강정점,,공공데이터포털,2018-02-23,,,,대청로,29,강정동,,1,,
33.2637541,126.6142563,,GS25 서귀효돈점,,공공데이터포털,2018-02-23,convenience,서귀효돈점,,효돈로,144,신효동,,2,,
