위도,경도,amenity,name,addr:full,cuisine,source,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,addr:housename
35.940009,128.570082,restaurant,돌고래회수산,,japanese,공공데이터포털,2020-10-13,,구암로60길,64,구암동,,,,
35.953648,128.56739,restaurant,돌판삼겹살미성칠곡3지구점,,korean,공공데이터포털,2020-10-13,,학정로,504,학정동,,,,
35.914042,128.54912,restaurant,동해해물탕,,korean,공공데이터포털,2020-10-13,,칠곡중앙대로,202,태전동,,,,
35.940963,128.569865,restaurant,뚱보냉면,,korean,공공데이터포털,2020-10-13,,동암로38길,29-45,구암동,,,,
35.942855,128.56244,restaurant,련칠곡3지구본점,,japanese,공공데이터포털,2020-10-13,,동천로,128-15,동천동,,2; 3,,
35.891822,128.610749,restaurant,르네상스 스카이뷰 2,,international,공공데이터포털,2020-10-13,,대학로,80,산격동,,17,,경북대학교 글로벌플라자
35.886346,128.579721,restaurant,명성가든,,korean,공공데이터포털,2020-10-13,,옥산로,33,노원동1가,,,,
35.899577,128.622306,restaurant,백록담,,korean,공공데이터포털,2020-10-13,,복현로,90-3,복현동,,1,,
35.890564,128.574467,restaurant,복어명가 임진강,,seafood; blowfish,공공데이터포털,2020-10-13,,노원로10길,132,노원동2가,,,,
35.922824,128.547291,restaurant,복어잡는사람들,,seafood; blowfish,공공데이터포털,2020-10-13,,칠곡중앙대로,306,태전동,,,,
35.905016,128.612092,restaurant,봉창이해물칼국수,,korean,공공데이터포털,2020-10-13,,유통단지로8길,66,산격동,,,,
35.882938,128.590796,restaurant,빡빡이참숯화로구이(침산점),,korean; meat,공공데이터포털,2020-10-13,,호암로,4,칠성동2가,,,,
35.895107,128.515616,restaurant,뼈마시감자탕부대찌개(금호점),,korean,공공데이터포털,2020-10-13,,한강로6길,19,사수동,,2,201; 202; 203,
35.896403,128.514833,restaurant,뼈큰감자탕금호점,,korean,공공데이터포털,2020-10-13,,내곡로,30,사수동,,2,201; 202; 203,
35.937502,128.604727,restaurant,뼈큰청진동해장국,,korean,공공데이터포털,2020-10-13,,호국로,201,서변동,,,,
35.942201,128.559754,restaurant,삼백찬가,,korean,공공데이터포털,2020-10-13,,동천로23길,8,동천동,,2,,
35.904367,128.610476,restaurant,샤브향엑스코점,,korean,공공데이터포털,2020-10-13,,유통단지로8길,50,산격동,,3,,
35.954709,128.564285,restaurant,서원돼지갈비본점,,korean,공공데이터포털,2020-10-13,,학정로,524,학정동,,,,
35.885794,128.58607,restaurant,석경,,korean,공공데이터포털,2020-10-13,,옥산로17길,14,칠성동,,1,108; 109,리치프라자 
35.892099,128.605438,restaurant,송정가든,,korean,공공데이터포털,2020-10-13,,산격로,18,산격동,,,,
35.934693,128.566831,restaurant,신천불주꾸미,,korean,공공데이터포털,2020-10-13,,구암로54길,4,구암동,,,,
35.904731,128.609105,restaurant,아라쭈꾸미,,korean,공공데이터포털,2020-10-13,,유통단지로8길,21-25,산격동,,,,
35.90965,128.541677,restaurant,안동황소식육식당,,korean; meat,공공데이터포털,2020-10-13,,매천로,139,매천동,,1; 2,,
35.875894,128.596312,restaurant,약전골목원조국수,,korean,공공데이터포털,2020-10-13,,태평로,161,칠성동2가,,10,,롯데백화점
35.88807,128.603717,restaurant,언덕아래집,,korean,공공데이터포털,2020-10-13,,대현로9길,49-6,대현동,,,,
35.904459,128.608919,restaurant,연화정,,korean,공공데이터포털,2020-10-13,,유통단지로8길,21-19,산격동,,,,
35.938615,128.569416,restaurant,영진갈비,,korean; meat,공공데이터포털,2020-10-13,,구암로60길,45,구암동,,,,
35.946456,128.550384,restaurant,옛살나비추어탕,,korean,공공데이터포털,2020-10-13,,칠곡중앙대로,563-8,읍내동,,,,
35.948307,128.5721,restaurant,오늘잡은소,,korean,공공데이터포털,2020-10-13,,구리로,183-8,국우동,,,,
35.923139,128.598669,restaurant,와촌식육식당 동.서변점,,korean,공공데이터포털,2020-10-13,,호국로51길,5-29,서변동,,,,
35.888061,128.603247,restaurant,왕추,,korean,공공데이터포털,2020-10-13,,대현로9길,55,대현동,,,,
35.875894,128.596312,restaurant,용수산한상차림,,korean,공공데이터포털,2020-10-13,,태평로,161,칠성동2가,,10,,롯데백화점
35.889942,128.618035,restaurant,우돈생고기,,korean; meat,공공데이터포털,2020-10-13,,경대로,107,복현동,,,,
35.90461,128.608818,restaurant,우뚝해장국,,korean,공공데이터포털,2020-10-13,,유통단지로8길,21-23,산격동,,,,
35.882904,128.590301,restaurant,우야지막창,,korean,공공데이터포털,2020-10-13,,침산로,74,칠성동2가,,1; 2,,
35.888462,128.58263,restaurant,원할머니보쌈대구침산점,,korean,공공데이터포털,2020-10-13,,원대로,123,노원동1가,,,,
35.904676,128.60855,restaurant,유통복어,,seafood; blowfish,공공데이터포털,2020-10-13,,유통단지로8길,13-14,산격동,,,,
35.952989,128.553654,restaurant,이비가짬뽕대구칠곡점,,korean,공공데이터포털,2020-10-13,,칠곡중앙대로,643,읍내동,,1,,
35.893505,128.619609,restaurant,이화수전통육개장복현점,,korean,공공데이터포털,2020-10-13,,동북로,289,복현동,,,,
35.892154,128.623556,restaurant,자연숯불갈비,,korean; meat,공공데이터포털,2020-10-13,,동북로,307,복현동,,1,,
35.892236,128.603249,restaurant,장원,,korean,공공데이터포털,2020-10-13,,대구체육관로8길,6,산격동,,,,
35.919323,128.545837,restaurant,전원숯불(태전점),,korean; meat,공공데이터포털,2020-10-13,,칠곡중앙대로,269,태전동,,2,,
35.882358,128.590203,restaurant,전원숯불침산점,,korean; meat,공공데이터포털,2020-10-13,,침산로,66,칠성동2가,,1,,
35.904657,128.611728,restaurant,정동진해물찜,,korean,공공데이터포털,2020-10-13,,대불서길,63,산격동,,,,
35.94968,128.551636,restaurant,정코다리(칠곡점),,korean,공공데이터포털,2020-10-13,,칠곡중앙대로,605,읍내동,,,,
35.883213,128.58876,restaurant,짬뽕신,,chinese,공공데이터포털,2020-10-13,,옥산로,98,,,1,,
35.904778,128.611632,restaurant,천안문,,chinese,공공데이터포털,2020-10-13,,유통단지로8길,62,산격동,,,,
35.940523,128.569401,restaurant,칼치본가,,korean,공공데이터포털,2020-10-13,,구암로65길,2,구암동,,,,
35.894439,128.61956,restaurant,큐브30,,korean,공공데이터포털,2020-10-13,,동북로,261,복현동,,,,
35.925145,128.546731,restaurant,팔공산맥,,korean,공공데이터포털,2020-10-13,,칠곡중앙대로,329,고성동3가,,1,,
35.942889,128.559044,restaurant,피제리아칠곡점,,international,공공데이터포털,2020-10-13,,동천로,125-15,동천동,,2,,
35.885673,128.587758,restaurant,한가네,,korean,공공데이터포털,2020-10-13,,침산로21길,23,칠성동2가,,,,
35.932328,128.556463,restaurant,한만수의통영멸치국수,,korean,공공데이터포털,2020-10-13,,동천로,5-15,동천동,,,,
35.934982,128.556317,restaurant,한서회,,japanese,공공데이터포털,2020-10-13,,팔거천동로,122,동천동,,,,
35.924882,128.546697,restaurant,한통정육식당,,korean; meat,공공데이터포털,2020-10-13,,칠곡중앙대로,327,태전동,,,,
35.897046,128.616622,restaurant,해바라기숯불갈비,,korean; meat,공공데이터포털,2020-10-13,,공항로,10-10,복현동,,,,
35.9046,128.609203,restaurant,해송,,korean,공공데이터포털,2020-10-13,,유통단지로8길,21-29,산격동,,,,
35.93715,128.605665,restaurant,호야암소한마리,,korean; meat,공공데이터포털,2020-10-13,,이곡길,24-1,서변동,,,,
35.875894,128.596312,restaurant,화요옥대구점,,korean,공공데이터포털,2020-10-13,,태평로,161,칠성동2가,,10,,롯데백화점
35.947952,128.5741,restaurant,황금코다리대구칠곡점,,korean,공공데이터포털,2020-10-13,,구리로,173,국우동,,,,
35.904367,128.610476,restaurant,황장군유통단지점,,korean,공공데이터포털,2020-10-13,,유통단지로8길,50,산격동,,,,
35.88381,128.586928,restaurant,황장군침산점,,korean,공공데이터포털,2020-10-13,,옥산로,106,고성동3가,,,,
