위도,경도,amenity,name,addr:full,source,source:date
33.2594797,126.5118342,restaurant,삼강식당,제주특별자치도 서귀포시 신서로102번길 53 (서호동),공공데이터포털,2018-02-23
33.2609563,126.6139184,restaurant,조아토종닭음식점,제주특별자치도 서귀포시 신효로 4 (신효동),공공데이터포털,2018-02-23
33.2470699,126.5623215,restaurant,장원닭갈비,제주특별자치도 서귀포시 명동로 1-1 (서귀동),공공데이터포털,2018-02-23
33.2514652,126.4237964,restaurant,삼강식당중문점,제주특별자치도 서귀포시 천제연로178번길 3 (중문동),공공데이터포털,2018-02-23
33.240983,126.5641894,restaurant,익산식당,제주특별자치도 서귀포시 칠십리로91번길 14 (서귀동),공공데이터포털,2018-02-23
33.2523531,126.4223587,restaurant,해송수산물회센타중문점,제주특별자치도 서귀포시 천제연로 163 (중문동),공공데이터포털,2018-02-23
33.2213786,126.2525955,restaurant,영해식당,제주특별자치도 서귀포시 대정읍 하모상가로 34-2,공공데이터포털,2018-02-23
33.2210562,126.2529388,restaurant,올랭이와물꾸럭,제주특별자치도 서귀포시 대정읍 신영로 93-5,공공데이터포털,2018-02-23
33.4499332,126.9119618,restaurant,산포식당,제주특별자치도 서귀포시 성산읍 서성일로 1134,공공데이터포털,2018-02-23
33.4489134,126.9153937,restaurant,태백관,제주특별자치도 서귀포시 성산읍 동류암로 49,공공데이터포털,2018-02-23
33.2460024,126.5810125,restaurant,서귀포칼호텔살레,제주특별자치도 서귀포시 칠십리로 242 (토평동),공공데이터포털,2018-02-23
33.2465341,126.5596585,restaurant,무한정식당,제주특별자치도 서귀포시 태평로353번길 4 (서귀동),공공데이터포털,2018-02-23
33.2498932,126.5645427,restaurant,부성집,제주특별자치도 서귀포시 중정로91번길 23 (서귀동),공공데이터포털,2018-02-23
33.2787568,126.394896,restaurant,대유랜드휴게실,제주특별자치도 서귀포시 상예로 381 (상예동),공공데이터포털,2018-02-23
33.2469329,126.5629558,restaurant,모이세해장국중앙점,제주특별자치도 서귀포시 명동로 8 (서귀동),공공데이터포털,2018-02-23
33.2455761,126.4055533,restaurant,하얏트리젠시제주오미마켓그릴,제주특별자치도 서귀포시 중문관광로72번길 114 (색달동),공공데이터포털,2018-02-23
33.2455761,126.4055533,restaurant,하얏트리젠시제주테라스,제주특별자치도 서귀포시 중문관광로72번길 114 (색달동),공공데이터포털,2018-02-23
33.2455761,126.4055533,restaurant,하얏트리젠시제주식당민속촌,제주특별자치도 서귀포시 중문관광로72번길 114 (색달동),공공데이터포털,2018-02-23
33.4631697,126.9350183,restaurant,한성식당,제주특별자치도 서귀포시 성산읍 일출로 287,공공데이터포털,2018-02-23
33.4610216,126.9343367,restaurant,코코마마,제주특별자치도 서귀포시 성산읍 일출로 258-11,공공데이터포털,2018-02-23
33.2515791,126.5609428,restaurant,세숫대야냉면,제주특별자치도 서귀포시 중앙로79번길 3 (서귀동),공공데이터포털,2018-02-23
33.2532706,126.5592432,restaurant,박지영샤브샤브,제주특별자치도 서귀포시 홍중로 4 1층 (서홍동),공공데이터포털,2018-02-23
33.2410185,126.5613316,restaurant,만부식당,제주특별자치도 서귀포시 칠십리로 40-6 (서귀동),공공데이터포털,2018-02-23
33.2537189,126.4200067,restaurant,칠돈가직영점,제주특별자치도 서귀포시 천제연로 137 (중문동),공공데이터포털,2018-02-23
33.2481974,126.5583221,restaurant,이화삼계탕,제주특별자치도 서귀포시 중앙로47번길 31 (서귀동),공공데이터포털,2018-02-23
33.2476846,126.559189,restaurant,삼보식당,제주특별자치도 서귀포시 중정로 25 (서귀동),공공데이터포털,2018-02-23
33.2490839,126.5686404,restaurant,청송고기국수,제주특별자치도 서귀포시 동홍로 8 (서귀동),공공데이터포털,2018-02-23
33.2427871,126.5623917,restaurant,다비앙꼬,제주특별자치도 서귀포시 천지연로 46-1 (서귀동),공공데이터포털,2018-02-23
33.24163,126.5649374,restaurant,탐나네,제주특별자치도 서귀포시 부두로 39 (서귀동),공공데이터포털,2018-02-23
33.2432869,126.5679629,restaurant,영빈횟집,제주특별자치도 서귀포시 칠십리로 129 (서귀동),공공데이터포털,2018-02-23
33.2413732,126.5630768,restaurant,데루케테호텔구내식당,제주특별자치도 서귀포시 천지연로29번길 8 (서귀동),공공데이터포털,2018-02-23
33.2255241,126.2535676,restaurant,낙원식당,제주특별자치도 서귀포시 대정읍 하모이삼로51번길 26,공공데이터포털,2018-02-23
33.2201305,126.2514737,restaurant,물꾸럭식당,제주특별자치도 서귀포시 대정읍 하모항구로 73-4,공공데이터포털,2018-02-23
33.2998655,126.7669969,restaurant,갯마을식당,제주특별자치도 서귀포시 남원읍 태신해안로 235-5,공공데이터포털,2018-02-23
33.46017,126.9312556,restaurant,성산포뚝배기,제주특별자치도 서귀포시 성산읍 일출로 236,공공데이터포털,2018-02-23
33.3528903,126.7708309,restaurant,명문사거리식당,제주특별자치도 서귀포시 표선면 중산간동로 5218,공공데이터포털,2018-02-23
