Y좌표,X좌표,ref,name,name:ko,highway,public_transport
35.08691139,128.8073217,630343,부영5/6단지,부영5/6단지,bus_stop,platform
35.08899694,128.813474,630339,부영8단지,부영8단지,bus_stop,platform
35.14745947,128.4790644,317712,부평마을,부평마을,bus_stop,platform
35.14720699,128.479013,317711,부평마을,부평마을,bus_stop,platform
35.26492444,128.6220922,115002,북동공설시장,북동공설시장,bus_stop,platform
35.21070617,128.5724139,307204,북마산가구거리,북마산가구거리,bus_stop,platform
35.20886154,128.5729481,307203,북마산가구거리,북마산가구거리,bus_stop,platform
35.3440285,128.6174555,110303,북면공설운동장,북면공설운동장,bus_stop,platform
35.34411207,128.6174454,110304,북면공설운동장,북면공설운동장,bus_stop,platform
35.35334524,128.6091275,119354,북면농협,북면농협,bus_stop,platform
35.35301345,128.6088169,119353,북면농협,북면농협,bus_stop,platform
35.35442825,128.6372118,114405,북면물재생센터,북면물재생센터,bus_stop,platform
35.35450738,128.6371914,114406,북면물재생센터,북면물재생센터,bus_stop,platform
35.34781398,128.6077811,119348,북면사무소,북면사무소,bus_stop,platform
35.34780642,128.6076596,119347,북면사무소,북면사무소,bus_stop,platform
35.295278,128.5956566,112403,북면새터,북면새터,bus_stop,platform
35.29515177,128.5957601,112301,북면새터,북면새터,bus_stop,platform
35.32894091,128.5893272,113603,북면양촌,북면양촌,bus_stop,platform
35.32889005,128.5894116,113502,북면양촌,북면양촌,bus_stop,platform
35.3469807,128.6259833,110308,북면연동,북면연동,bus_stop,platform
35.34677477,128.6256784,110307,북면연동,북면연동,bus_stop,platform
35.35461579,128.6102577,119356,북면온천,북면온천,bus_stop,platform
35.35463086,128.6099733,119355,북면온천,북면온천,bus_stop,platform
35.35357783,128.6116525,119202,북면종점,북면종점,bus_stop,platform
35.35341769,128.6115508,119203,북면종점,북면종점,bus_stop,platform
35.35108597,128.6083051,119352,북면지구대,북면지구대,bus_stop,platform
35.35083342,128.6080531,119351,북면지구대,북면지구대,bus_stop,platform
35.35306044,128.6111532,630187,북면출장소방소,북면출장소방소,bus_stop,platform
35.35310744,128.6111792,630188,북면출장소방소,북면출장소방소,bus_stop,platform
35.35746019,128.7128277,103714,북모산마을,북모산마을,bus_stop,platform
35.35754741,128.7129139,123008,북모산마을,북모산마을,bus_stop,platform
35.34679099,128.7236716,103715,북부,북부,bus_stop,platform
