경도,위도,ref,name,short_name,name:ko,highway,public_transport
36.16330671,128.3548007,10468,송림네거리(청솔아파트방면),송림네거리,송림네거리(청솔아파트방면),bus_stop,platform
36.16345346,128.3535808,10463,송림삼거리(문성3리방면),송림삼거리,송림삼거리(문성3리방면),bus_stop,platform
36.16876963,128.3651073,10548,송림(문성지구 출발방면),송림,송림(문성지구 출발방면),bus_stop,platform
36.18738801,128.2894069,10891,내예리(외예리방면),안연흥,내예리(외예리방면),bus_stop,platform
36.20099807,128.2646208,10535,횡산,횡산,횡산,bus_stop,platform
36.12296633,128.3641015,10426,신평중학교입구,신평중학교입구,신평중학교입구,bus_stop,platform
36.24379804,128.3052933,10429,선산문화회관삼거리(황칠나무참숯돼지생갈비앞),선산문화회관삼거,선산문화회관삼거리(황칠나무참숯돼지생갈비앞),bus_stop,platform
36.23978341,128.2931579,10850,선산중학교건너,선산여중고,선산중학교건너,bus_stop,platform
36.15135937,128.3168249,10455,현대아파트건너,현대아파트,현대아파트건너,bus_stop,platform
36.13852913,128.3241011,10836,소로골네거리(롯데리아건너),소로골네거리,소로골네거리(롯데리아건너),bus_stop,platform
36.14141221,128.3230449,10411,한빛타운건너,한빛타운,한빛타운건너,bus_stop,platform
36.15210807,128.3241537,10907,새길도로입구(원호대우아파트방면),새길도로입구,새길도로입구(원호대우아파트방면),bus_stop,platform
36.08873093,128.3856606,10817,LG전자건너,LG전자,LG전자건너,bus_stop,platform
36.08635258,128.3856445,10413,프로템앞,프로템,프로템앞,bus_stop,platform
36.10658076,128.3516717,10803,새마을로(구미정보여고방면),새마을로,새마을로(구미정보여고방면),bus_stop,platform
36.12222128,128.3478662,10901,터미널네거리(오성예식장앞방면),터미널네거리,터미널네거리(오성예식장앞방면),bus_stop,platform
36.12604377,128.3378738,10476,원평동 행정복지센터 건너,원평동 행정복지센터,원평동 행정복지센터 건너,bus_stop,platform
36.12386997,128.3421501,10404,송원고가밑(터미널네거리방면),송원고가밑,송원고가밑(터미널네거리방면),bus_stop,platform
36.08909176,128.3550872,10396,상모동(상모정수도서관건너방면),상모동,상모동(상모정수도서관건너방면),bus_stop,platform
36.08695127,128.3553143,10407,상모정수도서관건너,상모정수도서관건너,상모정수도서관건너,bus_stop,platform
36.09113227,128.3586011,10403,상모초등학교,상모초등학교,상모초등학교,bus_stop,platform
36.09394168,128.355462,10400,상모보성1차,상모보성1차,상모보성1차,bus_stop,platform
36.09167655,128.3552701,10300,상모동신인터빌건너,상모동신인터빌,상모동신인터빌건너,bus_stop,platform
36.08945612,128.3544822,10500,상모동신빌라트앞,상모동신빌라트앞,상모동신빌라트앞,bus_stop,platform
36.12059897,128.3442194,10498,시청후문건너,시청후문,시청후문건너,bus_stop,platform
36.11820483,128.3453448,10903,시청정문앞,시청정문,시청정문앞,bus_stop,platform
36.11925519,128.3425943,10478,KT구미전화국건너,KT구미전화국,KT구미전화국건너,bus_stop,platform
36.12189624,128.3400031,10495,송정동번개시장앞,송정동 번개시장,송정동번개시장앞,bus_stop,platform
