위도,경도,highway,bus,public_transport,name,ref,source,source:date
35.55287274,129.3473022,bus_stop,yes,platform,대산빌라,11107,공공데이터포털,2020-07-27
35.57241144,129.3393257,bus_stop,yes,platform,약사아이파크,11201,공공데이터포털,2020-07-27
35.57340562,129.3392538,bus_stop,yes,platform,약사아이파크,11202,공공데이터포털,2020-07-27
35.56976683,129.3401627,bus_stop,yes,platform,약사중학교,11203,공공데이터포털,2020-07-27
35.57033389,129.3402082,bus_stop,yes,platform,약사중학교,11204,공공데이터포털,2020-07-27
35.56868375,129.3428227,bus_stop,yes,platform,선우시장,11205,공공데이터포털,2020-07-27
35.56890697,129.3422645,bus_stop,yes,platform,선우시장,11206,공공데이터포털,2020-07-27
35.56866654,129.3414458,bus_stop,yes,platform,선우시장,11207,공공데이터포털,2020-07-27
35.57939889,129.3489688,bus_stop,yes,platform,한국폴리텍대학앞,11301,공공데이터포털,2020-07-27
35.57975509,129.3488391,bus_stop,yes,platform,한국폴리텍대학앞,11302,공공데이터포털,2020-07-27
35.57770245,129.3499393,bus_stop,yes,platform,산전교앞,11303,공공데이터포털,2020-07-27
35.57794531,129.3499497,bus_stop,yes,platform,산전교앞,11304,공공데이터포털,2020-07-27
35.57442417,129.3503997,bus_stop,yes,platform,산전마을,11305,공공데이터포털,2020-07-27
35.57442735,129.3505253,bus_stop,yes,platform,산전마을,11306,공공데이터포털,2020-07-27
35.57195771,129.3496292,bus_stop,yes,platform,현대골든아파트앞,11307,공공데이터포털,2020-07-27
35.57262531,129.3501983,bus_stop,yes,platform,현대골든아파트앞,11308,공공데이터포털,2020-07-27
35.58455332,129.3424915,bus_stop,yes,platform,외솔중학교,11400,공공데이터포털,2020-07-27
35.59632409,129.3452495,bus_stop,yes,platform,성혜마을,11401,공공데이터포털,2020-07-27
35.59641091,129.3452562,bus_stop,yes,platform,성혜마을,11402,공공데이터포털,2020-07-27
35.59603764,129.3387807,bus_stop,yes,platform,바깥시례,11403,공공데이터포털,2020-07-27
35.5958288,129.3388791,bus_stop,yes,platform,바깥시례,11404,공공데이터포털,2020-07-27
35.58301708,129.3469828,bus_stop,yes,platform,서동현대,11405,공공데이터포털,2020-07-27
35.58353934,129.3469719,bus_stop,yes,platform,서동현대,11406,공공데이터포털,2020-07-27
35.58464445,129.3422652,bus_stop,yes,platform,외솔중학교,11407,공공데이터포털,2020-07-27
35.58813473,129.3440216,bus_stop,yes,platform,골드클래스,11408,공공데이터포털,2020-07-27
35.58829133,129.3439035,bus_stop,yes,platform,골드클래스,11409,공공데이터포털,2020-07-27
35.58111857,129.3401155,bus_stop,yes,platform,KCC스위첸,11410,공공데이터포털,2020-07-27
35.58128142,129.3398892,bus_stop,yes,platform,KCC스위첸,11411,공공데이터포털,2020-07-27
35.57049371,129.3310639,bus_stop,yes,platform,중구청입구,11412,공공데이터포털,2020-07-27
35.57064471,129.3309298,bus_stop,yes,platform,중구청입구,11413,공공데이터포털,2020-07-27
