위도,경도,name,public_transport,bus,addr:subdistrict,highway,source
35.981018,126.722619,경암사거리,platform,yes,경암동,bus_stop,공공데이터포털
35.991436,126.850065,교축,platform,yes,임피면,bus_stop,공공데이터포털
35.972614,126.715499,수송초등학교,platform,yes,수송동,bus_stop,공공데이터포털
35.971347,126.760726,군산간호대기숙사,platform,yes,개정동,bus_stop,공공데이터포털
35.98005,126.681931,전북외고,platform,yes,소룡동,bus_stop,공공데이터포털
35.937681,126.650198,거사마을,platform,yes,개사동,bus_stop,공공데이터포털
35.967859,126.732864,경장삼거리,platform,yes,경장동,bus_stop,공공데이터포털
35.993405,126.850227,교축,platform,yes,임피면,bus_stop,공공데이터포털
35.974062,126.725567,장미목욕탕,platform,yes,경장동,bus_stop,공공데이터포털
35.987003,126.721182,구시장입구,platform,yes,금암동,bus_stop,공공데이터포털
35.98008,126.751405,구암현대아파트,platform,yes,구암동,bus_stop,공공데이터포털
35.943552,126.81646,신월마을,platform,yes,대야면,bus_stop,공공데이터포털
35.959528,126.635885,신창,platform,yes,산북동,bus_stop,공공데이터포털
35.898952,126.637238,신하제,platform,yes,옥서면,bus_stop,공공데이터포털
35.938839,126.775325,신흥,platform,yes,회현면,bus_stop,공공데이터포털
35.955504,126.823667,안정마을,platform,yes,대야면,bus_stop,공공데이터포털
35.898109,126.675453,어은,platform,yes,옥구읍,bus_stop,공공데이터포털
35.917083,126.760498,구학당,platform,yes,회현면,bus_stop,공공데이터포털
35.977892,126.672977,군산장례식장,platform,yes,산북동,bus_stop,공공데이터포털
35.970527,126.6287,군산항1부두,platform,yes,소룡동,bus_stop,공공데이터포털
35.905887,126.759516,금당마을,platform,yes,회현면,bus_stop,공공데이터포털
35.899689,126.713719,김제촌,platform,yes,옥구읍,bus_stop,공공데이터포털
35.960297,126.704725,나운동신아파트,platform,yes,지곡동,bus_stop,공공데이터포털
35.967534,126.696058,나운지구대,platform,yes,나운동,bus_stop,공공데이터포털
35.922286,126.797658,남고마을,platform,yes,대야면,bus_stop,공공데이터포털
35.888669,126.725431,오봉,platform,yes,회현면,bus_stop,공공데이터포털
35.959947,126.63214,옥성마을,platform,yes,산북동,bus_stop,공공데이터포털
35.977541,126.883871,용성마을,platform,yes,서수면,bus_stop,공공데이터포털
35.97928,126.881624,용회,platform,yes,서수면,bus_stop,공공데이터포털
35.910388,126.713906,우포,platform,yes,옥구읍,bus_stop,공공데이터포털
35.909999,126.716292,우포마을,platform,yes,옥구읍,bus_stop,공공데이터포털
36.019379,126.882238,운원,platform,yes,서수면,bus_stop,공공데이터포털
35.953335,126.822746,남흥마을,platform,yes,대야면,bus_stop,공공데이터포털
36.019738,126.800777,내촌마을,platform,yes,나포면,bus_stop,공공데이터포털
35.908994,126.686787,다기,platform,yes,옥구읍,bus_stop,공공데이터포털
35.998539,126.775647,대동,platform,yes,성산면,bus_stop,공공데이터포털
35.959549,126.698625,서해초등학교,platform,yes,나운동,bus_stop,공공데이터포털
35.948439,126.822106,석화,platform,yes,대야면,bus_stop,공공데이터포털
35.975751,126.738975,세풍사원아파트,platform,yes,조촌동,bus_stop,공공데이터포털
36.028199,126.713423,송내,platform,yes,마서면,bus_stop,공공데이터포털
35.977483,126.781618,송호마을,platform,yes,개정면,bus_stop,공공데이터포털
35.969963,126.714903,수송다나소아과,platform,yes,수송동,bus_stop,공공데이터포털
36.003033,126.833203,원부곡,platform,yes,나포면,bus_stop,공공데이터포털
35.964763,126.767769,율북마을,platform,yes,개정면,bus_stop,공공데이터포털
35.96485,126.719761,보건소,platform,yes,수송동,bus_stop,공공데이터포털
35.9532,126.724817,신당마을,platform,yes,옥산면,bus_stop,공공데이터포털
36.040677,126.862412,신방마을,platform,yes,나포면,bus_stop,공공데이터포털
35.918875,126.643736,신성산,platform,yes,옥서면,bus_stop,공공데이터포털
35.818658,126.477114,새만금광장,platform,yes,옥도면,bus_stop,공공데이터포털
35.992386,126.707509,도선장,platform,yes,금동,bus_stop,공공데이터포털
35.970202,126.684426,동아아파트,platform,yes,소룡동,bus_stop,공공데이터포털
36.006571,126.794195,동요,platform,yes,성산면,bus_stop,공공데이터포털
35.944686,126.689933,군산시평생학습관,platform,yes,미룡동,bus_stop,공공데이터포털
35.97321,126.653469,롯데주류,platform,yes,소룡동,bus_stop,공공데이터포털
35.939685,126.772662,망동마을,platform,yes,옥산면,bus_stop,공공데이터포털
35.963948,126.724811,LH휴먼시아APT,platform,yes,미장동,bus_stop,공공데이터포털
36.009913,126.836751,부곡저수지,platform,yes,나포면,bus_stop,공공데이터포털
35.935487,126.526194,비응항(월명유람선),platform,yes,비응도동,bus_stop,공공데이터포털
35.938567,126.53173,비응항환승장,platform,yes,비응도동,bus_stop,공공데이터포털
35.964657,126.750036,사정금호2차아파트,platform,yes,사정동,bus_stop,공공데이터포털
36.011617,126.866814,산간마을,platform,yes,서수면,bus_stop,공공데이터포털
35.976679,126.709617,삼학대우,platform,yes,삼학동,bus_stop,공공데이터포털
35.911724,126.663633,상산,platform,yes,옥구읍,bus_stop,공공데이터포털
35.978364,126.70566,서문교회,platform,yes,신풍동,bus_stop,공공데이터포털
35.980478,126.847869,서상마을,platform,yes,임피면,bus_stop,공공데이터포털
36.013912,126.878946,서수농공단지,platform,yes,서수면,bus_stop,공공데이터포털
35.958537,126.586544,인력개발원,platform,yes,소룡동,bus_stop,공공데이터포털
36.044401,126.89372,입남,platform,yes,함라면,bus_stop,공공데이터포털
35.982779,126.75428,잠두,platform,yes,구암동,bus_stop,공공데이터포털
35.988574,126.716215,진포해양테마공원,platform,yes,장미동,bus_stop,공공데이터포털
35.983045,126.710762,창성주공아파트,platform,yes,명산동,bus_stop,공공데이터포털
35.936049,126.704446,척동,platform,yes,옥구읍,bus_stop,공공데이터포털
36.020452,126.764775,철새조망대,platform,yes,성산면,bus_stop,공공데이터포털
35.955831,126.66856,미성삼거리,platform,yes,산북동,bus_stop,공공데이터포털
35.927414,126.77927,표산마을,platform,yes,회현면,bus_stop,공공데이터포털
35.919065,126.768818,풍촌,platform,yes,회현면,bus_stop,공공데이터포털
36.021082,126.736083,하구둑관광단지,platform,yes,마서면,bus_stop,공공데이터포털
35.9639,126.71844,수송동주민센터,platform,yes,수송동,bus_stop,공공데이터포털
35.927774,126.717861,한림,platform,yes,옥산면,bus_stop,공공데이터포털
