위도,경도,name,name:en,name:ko,highway,public_transport
37.847154,128.017811,역내리.천감,Yeongnae-ri.Cheongam,역내리.천감,bus_stop,platform
37.838905,128.017247,역내리.평천.가리산휴양림,Yeongnae-ri.Pyeongcheon.Garisanhyuyangnim,역내리.평천.가리산휴양림,bus_stop,platform
37.8388,128.016932,역내리.평천.가리산휴양림,Yeongnae-ri.Pyeongcheon.Garisanhyuyangnim,역내리.평천.가리산휴양림,bus_stop,platform
37.7287,127.796424,역전평,Yeokjeonpyeong,역전평,bus_stop,platform
37.728704,127.796353,역전평,Yeokjeonpyeong,역전평,bus_stop,platform
37.729253,127.792634,역전평리,Yeokjeonpyeong-ri,역전평리,bus_stop,platform
37.728486,127.796342,역전평리,Yeokjeonpyeong-ri,역전평리,bus_stop,platform
37.729193,127.792563,역전평리,Yeokjeonpyeong-ri,역전평리,bus_stop,platform
37.72853,127.796091,역전평사거리,Yeokjeonpyeongsageori,역전평사거리,bus_stop,platform
37.731439,127.780615,역전평삼거리,Yeokjeonpyeongsamgeori,역전평삼거리,bus_stop,platform
37.731366,127.780642,역전평삼거리,Yeokjeonpyeongsamgeori,역전평삼거리,bus_stop,platform
37.800243,127.857142,연화사입구,Yeonhwasaipgu,연화사입구,bus_stop,platform
37.800154,127.857188,연화사입구,Yeonhwasaipgu,연화사입구,bus_stop,platform
37.677692,127.873724,영안모자공장,Yeonganmojagongjang,영안모자공장,bus_stop,platform
37.677594,127.873892,영안모자공장,Yeonganmojagongjang,영안모자공장,bus_stop,platform
37.65319,127.819821,예비군훈련장입구,Yebigunhullyeonjangipgu,예비군훈련장입구,bus_stop,platform
37.633667,128.007866,예의촌입구,Yeuichonipgu,예의촌입구,bus_stop,platform
37.633717,128.007689,예의촌입구,Yeuichonipgu,예의촌입구,bus_stop,platform
37.615808,128.023381,예의촌종점,Yeuichonjongjeom,예의촌종점,bus_stop,platform
37.600047,127.73431,오도치,Odochi,오도치,bus_stop,platform
37.599834,127.73433,오도치,Odochi,오도치,bus_stop,platform
37.667118,127.835888,오리나무정,Orinamujeong,오리나무정,bus_stop,platform
37.66716,127.836061,오리나무정,Orinamujeong,오리나무정,bus_stop,platform
37.763298,127.938303,오림촌,Orimchon,오림촌,bus_stop,platform
37.763498,127.93818,오림촌,Orimchon,오림촌,bus_stop,platform
37.765069,127.935118,오림촌쉼터,Orimchonswimteo,오림촌쉼터,bus_stop,platform
37.764903,127.935264,오림촌쉼터,Orimchonswimteo,오림촌쉼터,bus_stop,platform
37.660326,127.830921,오안초교,Oanchogyo,오안초교,bus_stop,platform
37.722497,127.934538,와동1리,Wa-dong 1(il)-ri,와동1리,bus_stop,platform
37.722367,127.934487,와동1리,Wa-dong 1(il)-ri,와동1리,bus_stop,platform
37.718298,127.926992,와동1리,Wa-dong 1(il)-ri,와동1리,bus_stop,platform
37.718305,127.926882,와동1리,Wa-dong 1(il)-ri,와동1리,bus_stop,platform
37.724554,127.943645,와동2리,Wa-dong 2(i)-ri,와동2리,bus_stop,platform
37.724445,127.943371,와동2리,Wa-dong 2(i)-ri,와동2리,bus_stop,platform
37.727756,127.946064,와동2리,Wa-dong 2(i)-ri,와동2리,bus_stop,platform
37.725753,127.944378,와동2리마을회관,Wa-dong2Rimaeulhoegwan,와동2리마을회관,bus_stop,platform
37.725683,127.944429,와동2리마을회관,Wa-dong2Rimaeulhoegwan,와동2리마을회관,bus_stop,platform
37.821959,128.149149,와야1리,Waya1Ri,와야1리,bus_stop,platform
37.811269,128.126842,와야1리,Waya1Ri,와야1리,bus_stop,platform
37.822067,128.149192,와야1리,Waya1Ri,와야1리,bus_stop,platform
37.811332,128.126816,와야1리,Waya1Ri,와야1리,bus_stop,platform
37.815469,128.13682,와야리.진거리,Waya-ri.Jingeori,와야리.진거리,bus_stop,platform
37.81555,128.136754,와야리.진거리,Waya-ri.Jingeori,와야리.진거리,bus_stop,platform
37.804668,128.130481,와야초교,Wayachogyo,와야초교,bus_stop,platform
37.804634,128.130568,와야초교,Wayachogyo,와야초교,bus_stop,platform
37.810394,128.135473,와야회관,Wayahoegwan,와야회관,bus_stop,platform
37.810512,128.135545,와야회관,Wayahoegwan,와야회관,bus_stop,platform
37.727685,127.946166,와촌,Wachon,와촌,bus_stop,platform
37.69857,127.896298,왕벌상회,Wangbeolsanghoe,왕벌상회,bus_stop,platform
37.75597,127.978656,외삼포2리,Oesampo2Ri,외삼포2리,bus_stop,platform
37.755948,127.978551,외삼포2리,Oesampo2Ri,외삼포2리,bus_stop,platform
37.75007,127.958356,외삼포리,Oesampo-ri,외삼포리,bus_stop,platform
37.756213,127.981539,외삼포리,Oesampo-ri,외삼포리,bus_stop,platform
