위도,경도,ref,name,operator,source,source:date,public_transport,bus,highway
34.863746,128.421043,1502,새통영병원,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.863665,128.420888,1503,새통영병원,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.860728,128.405684,1101,소포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.860468,128.405574,1102,소포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.855892,128.399106,1103,대평마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.85576,128.398992,1104,대평마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.858234,128.395399,1105,평림축구장,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.858264,128.39546,1106,평림축구장,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.854939,128.385254,1601,우포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.855216,128.383996,1602,우포마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.849852,128.372849,1603,갈목마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.849879,128.372899,1604,갈목마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.845584,128.384256,1605,민양마을윗길,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.84411,128.385132,1606,민양마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.844171,128.385129,1607,민양마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.843906,128.381379,1627,인평종점,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.843993,128.383951,1609,민양마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.835234,128.394016,1611,국치마을,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.836799,128.401647,1612,해양과학대학,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.836875,128.401763,1614,해양과학대학,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.838942,128.400576,1615,도천동주민센터,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.840141,128.399441,1616,한실아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.840101,128.399166,1617,한실아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.840779,128.397278,1618,충무중학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.840721,128.397219,1619,충무중학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.84149,128.396385,1620,인평주공아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.841694,128.396304,1621,충무여자중학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.842742,128.395151,1622,인평초등학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.842702,128.395067,1623,인평초등학교,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.843692,128.391276,1624,해양대종점,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.843738,128.391269,1625,해양대종점,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.832867,128.404575,1001,통영대교밑,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.833072,128.403802,1002,통영대교밑,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.834621,128.408083,1003,당동노인정,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.834743,128.408182,1004,당동노인정,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.836149,128.41195,1005,해저터널,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.836171,128.412252,1006,해저터널,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.837179,128.414532,1007,영생아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.837317,128.414505,1008,영생아파트,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.839878,128.41764,1009,통영농협,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
34.844694,128.425117,1201,중앙시장,경상남도 통영시,공공데이터포털,2020-07-28,platform,yes,bus_stop
