위도,경도,name,name:ko,highway,public_transport
37.151179,128.011885,방학리(궁평교 앞 사거리),방학리(궁평교 앞 사거리),bus_stop,platform
37.150603,128.010331,방학1리 (백운방향),방학1리 (백운방향),bus_stop,platform
37.164571,127.996641,꼴미 입구(도곡1리),꼴미 입구(도곡1리),bus_stop,platform
37.167085,127.995042,도장골 입구,도장골 입구,bus_stop,platform
37.115851,128.030862,응평리(경로당) 앞,응평리(경로당) 앞,bus_stop,platform
37.136077,127.998477,원월리,원월리,bus_stop,platform
37.128165,127.998162,원월리,원월리,bus_stop,platform
37.114494,128.00668,대월 종점,대월 종점,bus_stop,platform
37.156821,128.009285,원박리(원박사거리 백운방면),원박리(원박사거리 백운방면),bus_stop,platform
37.216774,128.004381,거문골,거문골,bus_stop,platform
37.216774,128.004381,거문골,거문골,bus_stop,platform
37.184,127.993127,덕동(점골) 앞,덕동(점골) 앞,bus_stop,platform
37.184,127.993127,덕동(점골) 앞,덕동(점골) 앞,bus_stop,platform
37.191506,127.998082,덕동(덕동교 위) ,덕동(덕동교 위) ,bus_stop,platform
37.191506,127.998082,덕동(덕동교 위) ,덕동(덕동교 위) ,bus_stop,platform
37.202273,127.979179,덕동리,덕동리,bus_stop,platform
37.20203,127.979134,덕동리,덕동리,bus_stop,platform
37.145567,128.04328,박달재휴양림 앞(국도변),박달재휴양림 앞(국도변),bus_stop,platform
37.145567,128.04328,박달재휴양림 앞(국도변),박달재휴양림 앞(국도변),bus_stop,platform
37.172165,127.97109,화당2리 대호지(대호지 방향),화당2리 대호지(대호지 방향),bus_stop,platform
37.172165,127.97109,화당2리 대호지(백운 방향),화당2리 대호지(백운 방향),bus_stop,platform
37.173351,127.960707,화당2리 다목적회관(회관 방향),화당2리 다목적회관(회관 방향),bus_stop,platform
37.173351,127.960707,화당2리 다목적회관(백운 방향),화당2리 다목적회관(백운 방향),bus_stop,platform
37.174241,127.954355,화당2리 대호지(종점)(종점 방향),화당2리 대호지(종점)(종점 방향),bus_stop,platform
37.174241,127.954355,화당2리 대호지(종점)(백운 방향),화당2리 대호지(종점)(백운 방향),bus_stop,platform
37.16234,127.99274,도곡2리,도곡2리,bus_stop,platform
37.16225,127.99282,도곡2리,도곡2리,bus_stop,platform
37.16972,127.98322,웃꽃당마을,웃꽃당마을,bus_stop,platform
37.16987,127.98323,웃꽃당마을,웃꽃당마을,bus_stop,platform
37.183999,128.205834,안모산 만남의광장,안모산 만남의광장,bus_stop,platform
37.182609,128.206743,안모산 (밤나무골)앞,안모산 (밤나무골)앞,bus_stop,platform
37.182609,128.206743,안모산 (밤나무골)뒤 ,안모산 (밤나무골)뒤 ,bus_stop,platform
37.053863,128.160461,모산동 솔밭입구,모산동 솔밭입구,bus_stop,platform
37.180118,128.208921,세명대 사거리,세명대 사거리,bus_stop,platform
37.178251,128.210222,안모산 정미소앞,안모산 정미소앞,bus_stop,platform
37.172021,128.212018,제1의 림지 입구,제1의 림지 입구,bus_stop,platform
37.166884,128.21224,밖모산 우림정 위,밖모산 우림정 위,bus_stop,platform
37.160523,128.211704,모산 로즈월 앞,모산 로즈월 앞,bus_stop,platform
37.160433,128.216635,홍인 아파트 사거리 옆,홍인 아파트 사거리 옆,bus_stop,platform
37.160433,128.216635,홍인 아파트 사거리 앞,홍인 아파트 사거리 앞,bus_stop,platform
37.168687,128.240058,고암동 태양철강 앞,고암동 태양철강 앞,bus_stop,platform
37.165622,128.231682,고암동 둔전골 입구 사거리,고암동 둔전골 입구 사거리,bus_stop,platform
37.053863,128.160461,고암동 효자원 입구,고암동 효자원 입구,bus_stop,platform
37.173905,128.235469,고암동 보궁장례식장 앞,고암동 보궁장례식장 앞,bus_stop,platform
37.14278,128.206262,프라임공인중개사사무소 앞,프라임공인중개사사무소 앞,bus_stop,platform
37.143113,128.206387,인사동밥집 앞,인사동밥집 앞,bus_stop,platform
