위도,경도,public_transport,highway,name,operator,source,source:date
37.86635,127.84023,platform,bus_stop,상걸교,춘천시,공공데이터포털,2019-11-27
37.84277,127.56679,platform,bus_stop,안보리,춘천시,공공데이터포털,2019-11-27
37.80896,127.63595,platform,bus_stop,강촌1리삼거리,춘천시,공공데이터포털,2019-11-27
37.78478,127.65046,platform,bus_stop,창촌1리,춘천시,공공데이터포털,2019-11-27
37.78508,127.65043,platform,bus_stop,창촌1리,춘천시,공공데이터포털,2019-11-27
37.77738,127.62862,platform,bus_stop,창촌3리,춘천시,공공데이터포털,2019-11-27
37.7773,127.62855,platform,bus_stop,창촌3리,춘천시,공공데이터포털,2019-11-27
37.75472,127.62217,platform,bus_stop,후동1리,춘천시,공공데이터포털,2019-11-27
37.75472,127.62234,platform,bus_stop,후동1리,춘천시,공공데이터포털,2019-11-27
37.7259,127.53387,platform,bus_stop,박암리,춘천시,공공데이터포털,2019-11-27
37.72594,127.53405,platform,bus_stop,박암리,춘천시,공공데이터포털,2019-11-27
37.724,127.5458,platform,bus_stop,박암리,춘천시,공공데이터포털,2019-11-27
37.7239,127.5458,platform,bus_stop,박암리,춘천시,공공데이터포털,2019-11-27
37.76118,127.57495,platform,bus_stop,가정3리,춘천시,공공데이터포털,2019-11-27
37.76105,127.57503,platform,bus_stop,가정3리,춘천시,공공데이터포털,2019-11-27
37.73465,127.57588,platform,bus_stop,강원학생교육원,춘천시,공공데이터포털,2019-11-27
37.73592,127.69137,platform,bus_stop,우러니입구,춘천시,공공데이터포털,2019-11-27
37.73181,127.70472,platform,bus_stop,광판1리,춘천시,공공데이터포털,2019-11-27
37.73189,127.70461,platform,bus_stop,광판1리,춘천시,공공데이터포털,2019-11-27
37.73105,127.69658,platform,bus_stop,정보화마을,춘천시,공공데이터포털,2019-11-27
37.73114,127.69669,platform,bus_stop,정보화마을,춘천시,공공데이터포털,2019-11-27
37.73432,127.69318,platform,bus_stop,양지마을,춘천시,공공데이터포털,2019-11-27
37.77349,127.6765,platform,bus_stop,수동1리,춘천시,공공데이터포털,2019-11-27
37.7739,127.67274,platform,bus_stop,수동1리,춘천시,공공데이터포털,2019-11-27
37.79902,127.6912,platform,bus_stop,혈동2리,춘천시,공공데이터포털,2019-11-27
37.81721,127.69999,platform,bus_stop,팔미3리,춘천시,공공데이터포털,2019-11-27
37.81732,127.69992,platform,bus_stop,팔미3리,춘천시,공공데이터포털,2019-11-27
37.97955,127.90092,platform,bus_stop,오항리,춘천시,공공데이터포털,2019-11-27
37.98376,127.89647,platform,bus_stop,천리터,춘천시,공공데이터포털,2019-11-27
38.03518,127.86793,platform,bus_stop,추곡터널,춘천시,공공데이터포털,2019-11-27
37.81409,127.57308,platform,bus_stop,백양2리,춘천시,공공데이터포털,2019-11-27
37.814,127.57299,platform,bus_stop,백양2리,춘천시,공공데이터포털,2019-11-27
37.81619,127.56958,platform,bus_stop,백양2리,춘천시,공공데이터포털,2019-11-27
37.8165,127.56951,platform,bus_stop,백양2리,춘천시,공공데이터포털,2019-11-27
37.819,127.565,platform,bus_stop,백양1리,춘천시,공공데이터포털,2019-11-27
37.83402,127.59912,platform,bus_stop,당림리,춘천시,공공데이터포털,2019-11-27
37.85339,127.61666,platform,bus_stop,당림1리,춘천시,공공데이터포털,2019-11-27
37.85102,127.61598,platform,bus_stop,당림1리,춘천시,공공데이터포털,2019-11-27
37.85097,127.61607,platform,bus_stop,당림1리,춘천시,공공데이터포털,2019-11-27
37.90486,127.67173,platform,bus_stop,방동2리마을회관,춘천시,공공데이터포털,2019-11-27
37.89587,127.68021,platform,bus_stop,방동1리,춘천시,공공데이터포털,2019-11-27
37.92207,127.72189,platform,bus_stop,인형극장,춘천시,공공데이터포털,2019-11-27
38.00106,127.68982,platform,bus_stop,송암리,춘천시,공공데이터포털,2019-11-27
37.99246,127.73033,platform,bus_stop,고성2리,춘천시,공공데이터포털,2019-11-27
37.98016,127.69175,platform,bus_stop,해피초원목장,춘천시,공공데이터포털,2019-11-27
37.97477,127.598,platform,bus_stop,눈썰매장입구,춘천시,공공데이터포털,2019-11-27
37.97761,127.60217,platform,bus_stop,지암리,춘천시,공공데이터포털,2019-11-27
37.97932,127.60439,platform,bus_stop,지암리,춘천시,공공데이터포털,2019-11-27
