위도,경도,name,name:ko,ref,highway,public_transport,passenger_information_display
37.2380921,127.5139036,이화아파트,이화아파트,32698,bus_stop,platform,yes
37.2331886,127.5216249,응암리,응암리,32325,bus_stop,platform,yes
37.2434786,127.4952891,사동리,사동리,32819,bus_stop,platform,yes
37.2309212,127.4932886,삼원엑스포아파트,삼원엑스포아파트,32437,bus_stop,platform,yes
37.2238182,127.4951836,대월농협,대월농협,32435,bus_stop,platform,yes
37.2006118,127.4484798,신갈2리,신갈2리,32301,bus_stop,platform,yes
37.1698057,127.4797742,진가리,진가리,32261,bus_stop,platform,yes
37.1526403,127.4823166,송곡1리,송곡1리,32622,bus_stop,platform,yes
37.1523337,127.482729,송곡1리,송곡1리,32623,bus_stop,platform,yes
37.1376667,127.5103352,장천삼거리,장천삼거리,32929,bus_stop,platform,yes
37.1334307,127.5176921,문화마을앞,문화마을앞,32313,bus_stop,platform,yes
37.1324645,127.5205694,금당리.설성면사무소,금당리.설성면사무소,51106,bus_stop,platform,yes
37.1124403,127.5770854,대서초교앞,대서초교앞,32203,bus_stop,platform,yes
37.1151201,127.6157567,청미도서관입구,청미도서관입구,32972,bus_stop,platform,yes
37.115216,127.6166781,장호원읍사무소,장호원읍사무소,32213,bus_stop,platform,yes
37.1159031,127.6246507,축협,축협,32243,bus_stop,platform,yes
37.116681,127.6283196,장호원초등학교,장호원초등학교,32228,bus_stop,platform,yes
37.1167117,127.6290192,장호원신협,장호원신협,32230,bus_stop,platform,yes
37.1179837,127.6280722,장호원터미널,장호원터미널,32420,bus_stop,platform,yes
37.0943203,127.5459771,고당3리,고당3리,32872,bus_stop,platform,yes
37.0875202,127.5418577,율면초중교앞,율면초중교앞,32328,bus_stop,platform,yes
37.2953465,127.4333502,신일아파트앞,신일아파트앞,32736,bus_stop,platform,yes
37.3197073,127.4695447,경사리,경사리,32554,bus_stop,platform,yes
37.2805955,127.448759,농협앞,농협앞,32732,bus_stop,platform,yes
37.2854674,127.4481247,이천고입구,이천고입구,32271,bus_stop,platform,yes
37.2481284,127.4973359,현대5.6차아파트,현대5.6차아파트,32322,bus_stop,platform,yes
37.2455024,127.4834402,현대사원아파트,현대사원아파트,32153,bus_stop,platform,yes
37.2996798,127.376097,용면리,용면리,32781,bus_stop,platform,yes
37.301987,127.3889242,마교리,마교리,32694,bus_stop,platform,yes
37.3177576,127.4078112,남정1리,남정1리,32746,bus_stop,platform,yes
37.317679,127.4244953,지석리입구.반석아르미아파트,지석리입구.반석아르미아파트,32405,bus_stop,platform,yes
37.3338322,127.4846272,삼보중기앞,삼보중기앞,32418,bus_stop,platform,yes
37.3042332,127.4748398,모전3리,모전3리,32141,bus_stop,platform,yes
