위도,경도,ref,정류장유형,name,short_name,name:ko,highway,public_transport
34.817278,126.398628,101501054,0,포미타운입구,포미타운입구,포미타운입구,bus_stop,platform
34.814473,126.400052,101501061,0,구.목포경찰서,구.목포경찰서,구.목포경찰서,bus_stop,platform
34.822203,126.401702,115000093,0,금호장례식장,금호장례식장,금호장례식장,bus_stop,platform
34.812544,126.398121,101000028,0,용해2단지아파트,용해2단지아파트,용해2단지아파트,bus_stop,platform
34.820108,126.391806,324000029,1,용해골드디움6차,용해골드디움6차,용해골드디움6차,bus_stop,platform
34.820102,126.391604,324000030,1,용해골드디움6차,용해골드디움6차,용해골드디움6차,bus_stop,platform
34.808475,126.375825,100600055,0,라인아파트,라인아파트,라인아파트,bus_stop,platform
34.80668,126.373023,102000058,0,농협북항지점,농협북항지점,농협북항지점,bus_stop,platform
34.809855,126.374632,160000069,0,종합사회복지관,종합사회복지관,종합사회복지관,bus_stop,platform
34.81395,126.380216,160000071,0,연산주공5차아파트,연산주공5차,연산주공5차아파트,bus_stop,platform
34.810715,126.38263,100702032,0,연산주공후문,연산주공후문,연산주공후문,bus_stop,platform
34.807728,126.378835,100702031,0,산정동교회,산정동교회,산정동교회,bus_stop,platform
34.80268,126.377633,100702028,0,중앙하이츠입구,중앙하이츠입구,중앙하이츠입구,bus_stop,platform
34.807925,126.372067,113000032,0,신안비치팔레스,신안비치팔레스,신안비치팔레스,bus_stop,platform
34.811305,126.383086,101503028,0,연산주공후문,연산주공후문,연산주공후문,bus_stop,platform
34.805423,126.376112,101503030,0,행운타워,행운타워,행운타워,bus_stop,platform
34.809588,126.376133,100600054,0,중앙시장,중앙시장,중앙시장,bus_stop,platform
34.805482,126.376014,100701030,0,행운타워,행운타워,행운타워,bus_stop,platform
34.809975,126.377879,101000057,0,중앙시장,중앙시장,중앙시장,bus_stop,platform
34.810782,126.380117,101000056,0,연산초등학교,연산초등학교,연산초등학교,bus_stop,platform
34.812147,126.377813,170000070,0,산정농공단지,산정농공단지,산정농공단지,bus_stop,platform
34.812978,126.383913,100301033,0,연산주공APT,연산주공APT,연산주공APT,bus_stop,platform
34.780412,126.373464,100101125,0,아리랑고개입구,아리랑고개입구,아리랑고개입구,bus_stop,platform
34.780591,126.37091,100200054,0,온금동,온금동,온금동,bus_stop,platform
34.787876,126.367378,113000005,0,유달유원지,유달유원지,유달유원지,bus_stop,platform
34.78693,126.382963,100701042,0,유달산우체국,유달산우체국,유달산우체국,bus_stop,platform
34.780519,126.375736,115000011,0,서산초등학교,서산초등학교,서산초등학교,bus_stop,platform
34.789993,126.366128,115000004,0,해양대학교,해양대학교,해양대학교,bus_stop,platform
34.785858,126.370029,113000006,0,공생원,공생원,공생원,bus_stop,platform
34.765308,126.370252,100800031,0,고하마을,고하마을,고하마을,bus_stop,platform
34.762094,126.368102,100800030,0,구.서산초충무분교,구.서산초충무분교,구.서산초충무분교,bus_stop,platform
34.765323,126.370167,100800032,0,고하마을,고하마을,고하마을,bus_stop,platform
34.791797,126.367262,115000125,0,용전마을,용전마을,용전마을,bus_stop,platform
34.780672,126.371373,115000118,0,온금동,온금동,온금동,bus_stop,platform
34.781974,126.368803,115000119,0,인어바위,인어바위,인어바위,bus_stop,platform
34.78823,126.367445,100200044,0,유달유원지,유달유원지,유달유원지,bus_stop,platform
34.785853,126.370305,100200042,0,공생원,공생원,공생원,bus_stop,platform
34.762119,126.36796,100200047,0,구.서산초충무분교,구.서산초충무분교,구.서산초충무분교,bus_stop,platform
34.790202,126.366425,100200045,0,해양대학교,해양대학교,해양대학교,bus_stop,platform
34.762088,126.368003,100800049,0,서산초등학교충무분교,서산초등학교분교,서산초등학교충무분교,bus_stop,platform
34.796091,126.368414,103001003,0,어민동산,어민동산,어민동산,bus_stop,platform
34.759519,126.364149,100800048,0,고하도입구,고하도입구,고하도입구,bus_stop,platform
34.765338,126.370217,100800050,0,고하도복지회관,고하도복지회관,고하도복지회관,bus_stop,platform
34.786387,126.381262,106000012,0,유달초등학교입구,유달초등학교입구,유달초등학교입구,bus_stop,platform
34.786897,126.383747,106000013,0,유달산우체국,유달산우체국,유달산우체국,bus_stop,platform
34.795592,126.368103,103002031,0,어민동산,어민동산,어민동산,bus_stop,platform
34.784892,126.369403,113000007,0,신안비치호텔,신안비치호텔,신안비치호텔,bus_stop,platform
34.780294,126.373405,100100010,0,아리랑고개입구,아리랑고개입구,아리랑고개입구,bus_stop,platform
34.780803,126.377745,100100012,0,목포수협,목포수협,목포수협,bus_stop,platform
34.79165,126.366977,100100003,0,용전마을,용전마을,용전마을,bus_stop,platform
34.784708,126.369543,100100066,0,신안비치호텔,신안비치호텔,신안비치호텔,bus_stop,platform
34.79349,126.365235,100103002,0,해양대후문,해양대후문,해양대후문,bus_stop,platform
34.780651,126.377785,100103012,0,목포수협,목포수협,목포수협,bus_stop,platform
34.784503,126.376585,111200053,0,아리랑고개,아리랑고개,아리랑고개,bus_stop,platform
34.78638,126.378543,111200052,0,유달산입구,유달산입구,유달산입구,bus_stop,platform
34.782467,126.373938,111200054,0,서산초등학교후문,서산초등학교후문,서산초등학교후문,bus_stop,platform
34.786946,126.368183,100101130,0,낙조대,낙조대,낙조대,bus_stop,platform
34.781124,126.37736,100103072,0,목포수협,목포수협,목포수협,bus_stop,platform
34.793562,126.364983,100100073,0,해양대후문,해양대후문,해양대후문,bus_stop,platform
34.780589,126.375562,100100062,0,서산초등학교,서산초등학교,서산초등학교,bus_stop,platform
34.780945,126.369145,113000008,0,인어바위,인어바위,인어바위,bus_stop,platform
34.759653,126.364093,324000001,0,고하도입구,고하도입구,고하도입구,bus_stop,platform
34.786324,126.381382,324000003,1,유달초등학교입구,유달초등학교입구,유달초등학교입구,bus_stop,platform
34.806066,126.407546,100200081,0,청해사,청해사,청해사,bus_stop,platform
