위도,경도,name,name:ko,note,highway,public_transport
35.46135,128.7532778,대동아파트,대동아파트,"1초동,2금동,5밀성고,5번,5시청,금동1,금동1-2,금동2,금동4,금동7-1,남산1,남산2,삼랑진,수산1,수산2,초동면소,초동면소.,해동1",bus_stop,platform
35.46188056,128.7537028,대동아파트,대동아파트,"1-2금동,1금동,5금동,5밀성고,5번,5시청,7-1번,남산1,남산2,삼랑진,수산1,수산2,초동3,초동공단.,해동1",bus_stop,platform
35.59179444,128.8874667,대사,대사,"얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.59179444,128.8875167,대사,대사,"얼음골,얼음골1,얼음골2,얼음골3",bus_stop,platform
35.46271944,128.7645889,대성,대성,"대흥동1,대흥동2",bus_stop,platform
35.46289444,128.7646222,대성,대성,"대흥동1,대흥동2",bus_stop,platform
35.47429722,128.769075,대승빌라,대승빌라,"1-2가곡,1-2금동,1-2번,1-2부산대,1가곡,1금동,1번,1부산대,1서가정,1용성,1칠성,1칠성.,2가곡,2번,2부산대,2용성,2초동,2초동.,2칠성,3-1번,3-1부산대,3금곡,3번,3상동,4-1롯데,4-1번,4-1번.,4-1용성,4-1청운,4-2번,4구기,4대항1,4대항2,4대항3,4대항4,4대항5,4대항6,4대항7,4대항8,4대항9,4부산대,4퇴로1,4퇴로2,4퇴로3,4퇴로4,4퇴로5,4퇴로6,4퇴로7,4퇴로8,5금동,5밀성고,5밀성고,5번,5시청,5시청,6-1번,6번,6부산대,6상동,6상동2,6엄광,6활성,7-1번,7롯데,7번,7삼랑,7지동,9롯데,9번,가곡,남산1,대흥동2,삼랑진,용성1,해동1,화봉1",bus_stop,platform
35.50591944,128.7569306,대웅맨션,대웅맨션,"1-2가곡,1-2금동,1-2번,1-2부산대,1가곡,1금동,1번,1부산대,1서가정,1용성,1초동,1칠성,3-1번,3-1부산대,3번,3상동,4-2번,5시청,6-1번,6번,6부산대,6상동,6상동1,6상동2,9롯데,9번,가곡,상동,화봉1",bus_stop,platform
35.57563611,128.6608194,대촌,대촌,"대촌1,대촌2",bus_stop,platform
35.57561111,128.6609,대촌,대촌,"대촌1,대촌2",bus_stop,platform
35.50278055,128.7981694,대촌,대촌,"3금곡,6활성,6활성1,감물리,감물리1,감물리2,감물리3,감물리4,감물리5,고례1,고례2,고례3,국전,국전1,국전2,국전3,국전4,발례,발례1,발례2,얼음골,얼음골1,얼음골2,얼음골3,표충사,표충사1,표충사2,표충사3",bus_stop,platform
