위도,경도,,,name,주용도,addr:full,operator,operator:type,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.4381754818,126.9174091936,,,신양리,마을회관,,신양리마을회,community,2020-06-10,,신고로,28,성산읍,,,
33.4458799532,126.8829301053,,,수산1리,마을회관,,수산1리마을회,community,2020-06-10,,수산서남로,17,성산읍,,,
33.4421313765,126.8638222602,,,수산2리,마을회관,,수산2리마을회,community,2020-06-10,,수산서남로79번길,150,성산읍,,,
33.4081209913,126.9001726607,,,온평리,마을회관,,온평리마을회,community,2020-06-10,,온평애향로23번길,6,성산읍,,,
33.4081209913,126.9001726607,,,온평리,다목적회관,,온평리마을회,community,2020-06-10,,온평애향로23번길,6,성산읍,,,
33.4011802713,126.8707916169,,,난산리,마을회관,,난산리마을회,community,2020-06-10,,난산로,39,성산읍,,,
33.4007733303,126.8713597871,,,난산리,마을다목적회관,,난산리마을회,community,2020-06-10,,난산로,29,성산읍,,,
33.3810298642,126.8768870122,,,신산리,마을회관,,신산리마을회,community,2020-06-10,,신산중앙로,1,성산읍,,,
33.3801773934,126.8755427068,,,신산리,종합복지회관,,신산리마을회,community,2020-06-10,,일주동로,5120,성산읍,,,
33.3742313734,126.8474178221,,,삼달1리,마을회관,,삼달1리마을회,community,2020-06-10,,삼달로,209,성산읍,,,
33.3694086079,126.8687195858,,,삼달2리,마을회관,,삼달2리마을회,community,2020-06-10,,일주동로,5252,성산읍,,,
33.3613983852,126.8352688037,,,신풍리,마을회관,,신풍리마을회,community,2020-06-10,,신풍상동로,4,성산읍,,,
33.3441849584,126.8497949073,,,신천리,마을회관,,신천리마을회,community,2020-06-10,,신천서로,5,성산읍,,,
33.2463402196,126.3363012784,,,구)화순리,마을회관,,화순리마을회,community,2020-06-10,,화순중앙로,67,안덕면,,,
33.2459863989,126.3335312882,,,화순리,종합복지회관,,제주특별자치도,community,2020-06-10,,화순로,121-5,안덕면,,,
33.253965026,126.3297148362,,,화순리,문화회관,,화순리부녀회(화순리마을회),community,2020-06-10,,화순문화로,2,안덕면,,,
33.2564828062,126.3291332849,,,화순리,종합센타,,화순리마을회,community,2020-06-10,,화순서서로,63,안덕면,,,
33.231095129,126.2980950066,,,사계리,마을회관,,사계리마을회,community,2020-06-10,,사계중앙로,3,안덕면,,,
33.2492817162,126.3233294477,,,사계리,산방 복지회관,,사계리마을회,community,2020-06-10,,사계신항로,25-10,안덕면,,,
33.254641923,126.3064917105,,,덕수리,마을회관,,덕수리마을회,community,2020-06-10,,덕수회관로,98,안덕면,,,
33.254641923,126.3064917105,,,구)덕수리,새마을문고,,덕수리마을회,community,2020-06-10,,덕수회관로,98,안덕면,,,
33.254184115,126.3065296668,,,덕수리,다목적회관,,덕수리마을회,community,2020-06-10,,덕수회관로,97,안덕면,,,
33.2849955875,126.3023055889,,,서광서리,마을회관,,서광서리마을회,community,2020-06-10,,서광남로,144-5,안덕면,,,
33.2849955875,126.3023055889,,,서광서리,복지회관,,서광서리마을회,community,2020-06-10,,서광남로,144-5,안덕면,,,
33.2879889557,126.3311767625,,,서광동리,마을회관,,서광동리마을회,community,2020-06-10,,서광동로,17,안덕면,,,
33.2889281161,126.3301132368,,,서광동리,복합문화공간,,서광동리마을회,community,2020-06-10,,서광동로47번길,19,안덕면,,,
33.3076041796,126.3399092491,,,동광리,마을회관,,동광리마을회,community,2020-06-10,,동광로,126,안덕면,,,
33.3048580509,126.3382463251,,,동광리,해바른작은도서관,,동광리마을회(문화마을조성시),community,2020-06-10,,동광로100번길,12,안덕면,,,
33.3295889635,126.3812443597,,,광평리,마을회관,,광평리마을회,community,2020-06-10,,광평로,41,안덕면,,,
33.3068421,126.3784946,,,상천리,마을회관,,상천리마을회,community,2020-06-10,,병악로,408-3,안덕면,,,
33.2722780676,126.3660511671,,,상창리,마을회관,,상창리마을회,community,2020-06-10,,한창로,102,안덕면,,,
33.2655896511,126.3684864129,,,창천리,마을회관,,창천리마을회,community,2020-06-10,,창천중앙로,31,안덕면,,,
33.2673604377,126.3691992031,,,창천리,건강관리실,,창천리마을회,community,2020-06-10,,창천중앙로,55,안덕면,,,
33.2658284758,126.3686435363,,,창천리,창고내문화회관,,창천리마을회,community,2020-06-10,,창천중앙로,35-2,안덕면,,,
33.2383367368,126.3658885314,,,대평리,마을회관,,대평리마을회,community,2020-06-10,,대평감산로,43,안덕면,,,
33.2354497343,126.3669479256,,,대평리,용왕난드르 체험장,,대평리마을회,community,2020-06-10,,대평감산로,8,안덕면,,,
33.2594738197,126.3538879578,,,감산리,복지회관,,감산리마을회,community,2020-06-10,,감산중로,29,안덕면,,,
33.2588518135,126.3535619999,,,감산리,마을문고,,감산리마을회,community,2020-06-10,,감산중로,34-1,안덕면,,,
33.2590094653,126.3533633749,,,감산리,다목적회관 및 민속자료실,,감산리마을회,community,2020-06-10,,감산중로,32,안덕면,,,
33.2588518135,126.3535619999,,,감산리,산이마을방문객센터,,감산리마을회,community,2020-06-10,,감산중로,34-1,안덕면,,,
33.3247199533,126.832352118,,,표선리,마을회관,,표선리 마을회,community,2020-06-10,,표선동서로,234,표선면,,,
33.3277518451,126.8236809504,,,표선리,복합문화센터(표선의례관) 2관,,표선리 마을회,community,2020-06-10,,표선관정로,48-36,표선면,,,
33.3311469,126.8284242,,,표선리,종합복지회관,,제주특별자치도,community,2020-06-10,,표선중앙로,21,표선면,,,
33.3463917768,126.840818815,,,하천리,마을회관,,하천리 마을회,community,2020-06-10,,하천로,59,표선면,,,
33.3899568113,126.7977816504,,,성읍1리,마을회관,,성읍1리 마을회,community,2020-06-10,,중산간동로,4658,표선면,,,
33.3923458651,126.8009834228,,,성읍1리,복지회관,,성읍1리 마을회,community,2020-06-10,,서성일로10번길,6-4,표선면,,,
33.3977394351,126.8044452075,,,성읍1리,복지타운,,성읍1리 마을회,community,2020-06-10,,서성일로,74,표선면,,,
33.4132783692,126.7719813327,,,성읍2리,마을회관,,성읍2리 마을회,community,2020-06-10,,성읍이리로,52,표선면,,,
33.3531468528,126.7715623812,,,가시리,마을회관,,가시리 마을회,community,2020-06-10,,가시로565번길,20,표선면,,,
33.3531468528,126.7715623812,,,가시리,문화센터,,가시리 마을회,community,2020-06-10,,가시로565번길,20,표선면,,,
33.3293937342,126.7982224072,,,세화1리,마을문고회,,세화1리마을회,community,2020-06-10,,세성로,274,표선면,,,
33.3318313679,126.7979976735,,,세화1리,종합복지회관(마을회관),,세화1리마을회,community,2020-06-10,,세성로,302,표선면,,,
33.3318313679,126.7979976735,,,세화1리,마을회관,,세화1리마을회,community,2020-06-10,,세성로,302,표선면,,,
33.3070417962,126.801228961,,,세화2리,마을회관,,세화2리마을회,community,2020-06-10,,일주동로,6276,표선면,,,
33.3070417962,126.801228961,,,세화2리,건강관리동,,세화2리마을회,community,2020-06-10,,일주동로,6276,표선면,,,
33.3187124968,126.7902655802,,,세화3리,마을회관,,세화3리 마을회,community,2020-06-10,,세화로,168,표선면,,,
33.3264659417,126.7657377844,,,토산1리 ,마을회관,,토산1리 마을회,community,2020-06-10,,중산간동로5570번길,2,표선면,,,
33.3264659417,126.7657377844,,,토산1리 ,복지회관,,토산1리 마을회,community,2020-06-10,,중산간동로5570번길,2,표선면,,,
33.3087689925,126.7796501094,,,토산2리,마을회관,,토산2리 마을회,community,2020-06-10,,토산중앙로16번길,1,표선면,,,
33.30943,126.7809109,,,토산2리,복지회관,제주특별자치도 서귀포시 표선면 토산리 332-12,토산2리 마을회,community,2020-06-10,,,332-12,표선면,,,
33.2450313075,126.5660082536,,,서귀,송산복지회관,,제주특별자치도,community,2020-06-10,,소암로,4,,,,
33.2412990528,126.6028597146,,,보목,마을회관,,보목마을회,community,2020-06-10,,보목로70번길,51-2,,,,
33.2445080107,126.553679799,,,남성,마을회관,,남성마을회장(남성마을회),community,2020-06-10,,남성중로141번길,3,,,,
33.2645972645,126.614332626,,,신효,마을회관,,신효마을회장,community,2020-06-10,,신효중앙로4번길,1,,,,
33.2620182926,126.618911618,,,하효,마을회관,,하효마을회장,community,2020-06-10,,하효중앙로,132,,,,
33.257979061,126.6177615376,,,하효,마을다목적회관,,하효마을회,community,2020-06-10,,칠십리로,740,,,,
33.2710092014,126.5905064083,,,토평,마을회관,,토평마을회,community,2020-06-10,,토상로,7,,,,
33.2699674411,126.5895710391,,,토평동,다목적회관,,토평마을회,community,2020-06-10,,토평로50번길,4,,,,
33.2726392142,126.59708921,,,상효1동,마을회관,,상효1동 마을회,community,2020-06-10,,상효로,152,,,,
33.2807980749,126.6098172814,,,상효2동,마을회관,,상효2동 마을회,community,2020-06-10,,동상효로,23,,,,
33.2916097071,126.5960572815,,,법호촌,마을회관,,법호촌 마을회,community,2020-06-10,,하신상로427번길,5-3,,,,
33.3021439073,126.5743325178,,,돈내코,마을회관,,돈내코 마을회,community,2020-06-10,,돈내코로,217,,,,
33.266284543,126.5670494257,,,동홍동,복지회관,,제주특별자치도,community,2020-06-10,,중산간동로,7950,,,,
33.2639957,126.5484827,,,서홍동,복지회관,,제주특별자치도,community,2020-06-10,,중산간동로,8106,,,,
33.2404635743,126.5166016881,,,법환동,마을회관,,법환동마을회,community,2020-06-10,,이어도로,968,,,,
33.2569979441,126.5227521564,,,서호동,마을회관,,서호동마을회,community,2020-06-10,,서호로,33,,,,
33.2569893252,126.5280536203,,,호근동,마을회관,,호근동마을회,community,2020-06-10,,호근남로,6,,,,
33.2517344048,126.5121056058,,,대륜동,새서귀포 마을회 사무실,,새서귀포마을회,community,2020-06-10,,신동로27번길,6-7,,,,
33.2582508372,126.5240674978,,,서호마을,다목적회관,,서호동마을회,community,2020-06-10,,서호호근로,123,,,,
33.2501741409,126.5133719227,,,새서귀포,대륜동문화복지센터,,제주특별자치도,community,2020-06-10,,서호남로,10,,,,
33.237186615,126.4776856911,,,강정 ,마을회관,,강정동마을회장,community,2020-06-10,,강정통물로,112,,,,
33.2520636229,126.4811727628,,,용흥,마을회관,,용흥동마을회,community,2020-06-10,,용흥로,67,,,,
33.2461211543,126.4610650518,,,월평,마을회관,,월평동마을회,community,2020-06-10,,월평로,43,,,,
33.2508531483,126.4754668208,,,도순,마을복지회관,,도순동마을회,community,2020-06-10,,도순남로29번길,13,,,,
33.2459803,126.4586318,,,월평,다목적회관,,월평마을회장,community,2020-06-10,,월평로,41,,,,
33.2538114118,126.4250941838,,,중문,마을회관 및 문화의 집,,중문마을회,community,2020-06-10,,중문로26번길,7,,,,
33.2424866373,126.4320740104,,,대포,마을회관 ,,대포마을회,community,2020-06-10,,대포동서로,135,,,,
33.2570408681,126.4600579299,,,하원,마을회관,,하원마을회,community,2020-06-10,,하원로19번길,20-6,,,,
33.2625699869,126.4462007791,,,회수,마을회관,,회수마을회,community,2020-06-10,,중산간서로,645,,,,
33.2608296404,126.4104612685,,,색달,마을회관,,색달마을회장,community,2020-06-10,,색달로72번길,2,,,,
33.2608296404,126.4104612685,,,색달,청년회관,,색달마을회장,community,2020-06-10,,색달로72번길,2,,,,
33.2609674483,126.4113832965,,,색달,복지회관,,색달마을회장,community,2020-06-10,,색달로,74,,,,
33.2487363,126.3884001,,,상예1,마을회관,,상예1마을회장,community,2020-06-10,,예래로144번길,42,,,,
33.253224725,126.3897670496,,,상예1,복지타운,,상예1마을회장,community,2020-06-10,,상예로,77,,,,
33.2657189772,126.3769642129,,,상예2,마을회관,,상예2마을회장,community,2020-06-10,,존제로15번길,2,,,,
33.2653900966,126.3775461049,,,상예2,복지회관(존제관),,상예2마을회장,community,2020-06-10,,존제로,12,,,,
33.2652218663,126.3778005856,,,상예2,마을 복지타운,,상예2마을회장,community,2020-06-10,,존제로,10,,,,
33.2434436837,126.3860495285,,,하예1,마을회관,,하예1마을회,community,2020-06-10,,하예로,1-3,,,,
33.2365133125,126.373291828,,,하예2,마을회관,,하예2마을회장,community,2020-06-10,,예래로,416,,,,
33.2365133125,126.373291828,,,하예2,마을 복지회관,,하예2마을회장,community,2020-06-10,,예래로,416,,,,
