위도,경도,name,amenity,community_centre,community_centre:for,addr:full,operator,operator:type,source:date
33.2564828062,126.3291332849,화순리 마을센터,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 화순서서로 63,화순리마을회,community,2020-06-10
33.231095129,126.2980950066,사계리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 사계중앙로 3,사계리마을회,community,2020-06-10
33.2492817162,126.3233294477,사계리 산방 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 사계신항로 25-10,사계리마을회,community,2020-06-10
33.254641923,126.3064917105,덕수리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 덕수회관로 98,덕수리마을회,community,2020-06-10
33.254641923,126.3064917105,구)덕수리 새마을문고,library,,,제주특별자치도 서귀포시 안덕면 덕수회관로 98,덕수리마을회,community,2020-06-10
33.254184115,126.3065296668,덕수리 다목적회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 덕수회관로 97,덕수리마을회,community,2020-06-10
33.2849955875,126.3023055889,서광서리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 서광남로 144-5,서광서리마을회,community,2020-06-10
33.2849955875,126.3023055889,서광서리 복지회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 서광남로 144-5,서광서리마을회,community,2020-06-10
33.2879889557,126.3311767625,서광동리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 서광동로 17,서광동리마을회,community,2020-06-10
33.2889281161,126.3301132368,서광동리 복합문화공간,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 서광동로47번길 19,서광동리마을회,community,2020-06-10
33.3076041796,126.3399092491,동광리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 동광로 126,동광리마을회,community,2020-06-10
33.3048580509,126.3382463251,동광리 해바른작은도서관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 동광로100번길 12,동광리마을회(문화마을조성시),community,2020-06-10
33.3295889635,126.3812443597,광평리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 광평로 41,광평리마을회,community,2020-06-10
33.3068421,126.3784946,상천리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 병악로 408-3,상천리마을회,community,2020-06-10
33.2722780676,126.3660511671,상창리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 한창로 102,상창리마을회,community,2020-06-10
33.2655896511,126.3684864129,창천리 마을회관,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 창천중앙로 31,창천리마을회,community,2020-06-10
33.2673604377,126.3691992031,창천리 건강관리실,community_centre,village_hall,senior,제주특별자치도 서귀포시 안덕면 창천중앙로 55,창천리마을회,community,2020-06-10
