위도,경도,name,addr:full,source:date,amenity,karaoke
33.24945037,126.5601532,발리,제주특별자치도 서귀포시 서문로41번길 21-1,2020-08-20,bar,yes
33.24945037,126.5601532,라라,제주특별자치도 서귀포시 서문로41번길 21-1,2020-08-20,bar,yes
33.24945823,126.5603377,마시고돈내고나가삼,제주특별자치도 서귀포시 서문로41번길 23,2020-08-20,bar,yes
33.45077789,126.9142695,도전천곡 노래주점,제주특별자치도 서귀포시 성산읍 고성동서로 67,2020-08-20,bar,yes
33.45044262,126.9144635,동남씽씽,제주특별자치도 서귀포시 성산읍 고성오조로 77,2020-08-20,bar,yes
33.45044262,126.9144635,성산황진이가요주점,제주특별자치도 서귀포시 성산읍 고성오조로 77,2020-08-20,bar,yes
33.45077437,126.9144029,상상플러스,제주특별자치도 서귀포시 성산읍 고성오조로 79,2020-08-20,bar,yes
33.45077437,126.9144029,술이야노래야,제주특별자치도 서귀포시 성산읍 고성오조로 79,2020-08-20,bar,yes
33.45100871,126.9142822,노래창고,제주특별자치도 서귀포시 성산읍 고성오조로 83,2020-08-20,bar,yes
33.45124292,126.9139765,나이스팡,제주특별자치도 서귀포시 성산읍 고성오조로 87-3,2020-08-20,bar,yes
33.44931198,126.9170846,축제,제주특별자치도 서귀포시 성산읍 동류암로 30,2020-08-20,bar,yes
33.44919285,126.916904,라이언,제주특별자치도 서귀포시 성산읍 동류암로 32,2020-08-20,bar,yes
33.44905538,126.9162803,유림,제주특별자치도 서귀포시 성산읍 동류암로 38,2020-08-20,bar,yes
33.44896862,126.9159793,수궁,제주특별자치도 서귀포시 성산읍 동류암로 40-1,2020-08-20,bar,yes
33.44945957,126.91668,스카이노래주점,제주특별자치도 서귀포시 성산읍 동류암로36번길 6,2020-08-20,bar,yes
33.44788637,126.9155114,준고래고래,제주특별자치도 서귀포시 성산읍 동류암로39번길 13,2020-08-20,bar,yes
33.44801633,126.9156919,준뉴월드,제주특별자치도 서귀포시 성산읍 동류암로39번길 9-1,2020-08-20,bar,yes
