위도,경도,name,addr:full,source:date,amenity,karaoke,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2516333968,126.5614814858,신원,,2020-08-20,bar,yes,,중정로91번길,57-2,,,,
33.2521984633,126.4217996115,청학단란주점,,2020-08-20,bar,yes,,천제연로,160-1,,,,
33.2516901647,126.4233997163,나그랑,,2020-08-20,bar,yes,,천제연로,176,,,,
33.2519282286,126.4265272906,토끼,,2020-08-20,bar,yes,,천제연로,203-4,,,,
33.2514849011,126.426585987,렉스,,2020-08-20,bar,yes,,천제연로,206,,,,
33.2514421801,126.4235859158,쑈텔,,2020-08-20,bar,yes,,천제연로178번길,3,,,,
33.2443246489,126.5807935232,서귀포칼호텔단란주점,,2020-08-20,bar,yes,,칠십리로,242,,,,
33.2470807128,126.5601049757,오션단란주점,,2020-08-20,bar,yes,,태평로353번길,11,,,,
33.2467492071,126.5601881873,오아시스단란주점,,2020-08-20,bar,yes,,태평로353번길,12,,,,
33.247715009,126.5661366326,천지단란주점,,2020-08-20,bar,yes,,태평로431번길,24,,,,
33.2482993904,126.5661723752,뉴황제,,2020-08-20,bar,yes,,태평로431번길,32,,,,
33.2463082942,126.5629974499,나비단란주점,,2020-08-20,bar,yes,,태평로439번길,39,,,,
33.3228717542,126.8449556046,쉼팡,,2020-08-20,bar,yes,,민속해안로,537,표선면,,,
33.3244747168,126.8323568836,빨간여우,,2020-08-20,bar,yes,,표선동서로,230,표선면,,,
33.3257195513,126.8327926985,포세이돈단란주점,,2020-08-20,bar,yes,,표선동서로,246,표선면,,,
33.3262429333,126.8331182017,황금성,,2020-08-20,bar,yes,,표선동서로,252,표선면,,,
33.3263623343,126.8334058126,오페라단란주점,,2020-08-20,bar,yes,,표선동서로,254-5,표선면,,,
33.3265715345,126.8334225989,초콜릿단란주점,,2020-08-20,bar,yes,,표선동서로,258,표선면,,,
33.3256243966,126.8344511592,알지오,,2020-08-20,bar,yes,,표선중앙로,100,표선면,,,
33.3269128408,126.8324467296,인텔,,2020-08-20,bar,yes,,표선중앙로,73-3,표선면,,,
33.326414749,126.8321555482,청담,,2020-08-20,bar,yes,,표선중앙로,76,표선면,,,
33.3264332975,126.8325378655,호박,,2020-08-20,bar,yes,,표선중앙로,77,표선면,,,
33.3262850948,126.8322889756,행운,,2020-08-20,bar,yes,,표선중앙로,78,표선면,,,
33.3258610238,126.8361132914,비치,,2020-08-20,bar,yes,,표선중앙로117번길,1,표선면,,,
33.3260292359,126.8324398286,무드,,2020-08-20,bar,yes,,표선중앙로80번길,1,표선면,,,
33.3252585885,126.8332919197,7080미드나이트단란주점,,2020-08-20,bar,yes,,표선중앙로90번길,5,표선면,,,
33.3252269586,126.8339106097,커플,,2020-08-20,bar,yes,,표선중앙로96번길,5,표선면,,,
33.3252269586,126.8339106097,해비치단란주점,,2020-08-20,bar,yes,,표선중앙로96번길,5,표선면,,,
33.2634824648,126.6177118103,올인단란주점,,2020-08-20,bar,yes,,하신상로,32,,,,
