위도,경도,start_date,name,addr:full,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door,amenity
33.2493242088,126.5663347107,2001-08-29,유원 노래연습장,,2020-02-06,,중앙로42번길,46,,,,,karaoke_box
33.2510233988,126.5623644669,2001-09-28,단골 노래연습장,,2020-02-06,,중앙로72번길,12,,,,,karaoke_box
33.2674677722,126.3768959847,2001-10-17,레이크힐스 노래연습장,,2020-02-06,,존제로,24,,,,,karaoke_box
33.2530076684,126.5615347158,2002-01-19,송해노래연습장,,2020-02-06,,중앙로,94,,,,,karaoke_box
33.2510228325,126.5642574017,2002-01-30,달맞이 노래연습장,,2020-02-06,,동문로,31,,,,,karaoke_box
33.2487025644,126.566990203,2002-03-22,비바리 노래연습장,,2020-02-06,,중정로,99,,,,,karaoke_box
33.2481208891,126.5615505352,2002-12-05,청화 노래연습장,,2020-02-06,,중앙로,39,,,,,karaoke_box
33.2470807128,126.5601049757,2002-12-09,파도 노래연습장,,2020-02-06,,태평로353번길,11,,,,,karaoke_box
33.2256220442,126.2537436891,2002-12-09,골든벨노래연습장,,2020-02-06,,동일하모로,212,대정읍,,,,karaoke_box
33.2226825889,126.2561200521,2002-12-09,사계절노래연습장,,2020-02-06,,상모로,311,대정읍,,,,karaoke_box
33.2537036052,126.4197421969,2003-03-28,남쪽나라 노래연습장,,2020-02-06,,천제연로,135,,,,,karaoke_box
33.2457242019,126.5609959443,2003-04-01,해피데이 노래연습장,,2020-02-06,,태평로371번길,3,,,,,karaoke_box
33.2518268353,126.4256566027,2003-04-14,메아리 노래연습장,,2020-02-06,,중문상로,38,,,,,karaoke_box
33.2474543896,126.5638029697,2003-05-17,열창 노래연습장,,2020-02-06,,명동로,17,,,,,karaoke_box
33.3228717542,126.8449556046,2003-05-03,해비치리조트 숨비,,2020-02-06,,민속해안로,537,표선면,,,,karaoke_box
33.2803414145,126.7200416084,2003-10-28,팬클럽노래연습장,,2020-02-06,,태위로689번길,10,남원읍,,,,karaoke_box
33.2496791526,126.5605984487,2004-02-09,폭포수 노래연습장,,2020-02-06,,천지로,23,,,,,karaoke_box
33.2485242978,126.5614025846,2004-03-02,플러스 노래연습장,,2020-02-06,,중앙로,43-1,,,,,karaoke_box
33.2511716444,126.5645270824,2004-05-11,소리향 노래연습장,,2020-02-06,,동문동로,35,,,,,karaoke_box
33.2470157182,126.5631527395,2004-08-24,미경 노래연습장,,2020-02-06,,명동로,12,,,,,karaoke_box
33.2524616254,126.5072039132,2004-09-10,멤버스 노래연습장,,2020-02-06,,김정문화로27번길,9-5,,,,,karaoke_box
33.2197123687,126.2485677498,2004-01-26,해수노래연습장,,2020-02-06,,신영로36번길,57,대정읍,,,,karaoke_box
33.2494952271,126.5626467904,2005-06-01,부르네 노래연습장,,2020-02-06,,중정로61번길,19,,,,,karaoke_box
33.2517195279,126.5613608685,2006-04-19,114노래연습장,,2020-02-06,,중앙로,80,,,,,karaoke_box
33.242383735,126.3853916951,2006-06-08,로즈마리노래연습장,,2020-02-06,,예래로,271,,,,,karaoke_box
33.2532586415,126.5108523217,2006-06-15,다온노래연습장,,2020-02-06,,신서로48번길,51-6,,,,,karaoke_box
33.3402169608,126.3487679656,2006-08-24,(주)캐슬렉스노래연습장,,2020-02-06,,평화로,1241,안덕면,,,,karaoke_box
33.2493138085,126.5664549459,2006-11-16,백록담 노래연습장,,2020-02-06,,동문로,58,,,,,karaoke_box
33.2482858326,126.5664213915,2006-11-22,로타리노래연습장,,2020-02-06,,중정로,94-2,,,,,karaoke_box
33.4502551235,126.9145152721,2006-12-11,방가방가노래연습장,,2020-02-06,,고성오조로,73,성산읍,,,,karaoke_box
33.2476144669,126.4125329865,2007-04-09,아리랑노래연습장,,2020-02-06,,중문관광로72번길,29-29,,,,,karaoke_box
33.2736544528,126.7027558606,2007-06-26,금호리조트노래연습장,,2020-02-06,,태위로,522-12,남원읍,,,,karaoke_box
33.2422840907,126.5182612268,2007-07-13,(주)신성리조트노래연습장,,2020-02-06,,이어도로,989,,,,,karaoke_box
33.2544866163,126.5076432603,2008-05-07,도레미노래연습장,,2020-02-06,,신서귀로51번길,35,,,,,karaoke_box
33.2255547881,126.2527530342,2008-10-07,신나는 노래 연습장,,2020-02-06,,하모중앙로,29-3,대정읍,,,,karaoke_box
33.2798955867,126.7190554564,2009-04-03,웰빙노래연습장,,2020-02-06,,태위로679번길,8,남원읍,,,,karaoke_box
33.2550294063,126.5714447225,2009-05-12,럭셔리노래연습장,,2020-02-06,,일주동로,8580,,,,,karaoke_box
33.2559182964,126.5750890966,2010-09-09,코코노래연습장,,2020-02-06,,동홍중앙로66번길,30-8,,,,,karaoke_box
33.264328293,126.5584129488,2010-10-26,M노래연습장,,2020-02-06,,중산간동로,8034,,,,,karaoke_box
33.2523511229,126.5574172652,2011-08-22,칸타르노래연습장,,2020-02-06,,일주동로,8715,,,,,karaoke_box
33.2448999135,126.3056716314,2014-09-11,산방산모드락 노래연습장(3호점),,2020-02-06,,사계로114번길,71,안덕면,,,,karaoke_box
33.2788097427,126.7173414342,2015-05-26,질러방노래연습장,,2020-02-06,,태위로663번길,1,남원읍,,,,karaoke_box
33.2468841324,126.5636813298,2016-09-22,세븐스타 코인노래연습장 제주서귀포점,,2020-02-06,,명동로,14,,,,,karaoke_box
33.2521723812,126.5609164869,2017-03-03,보가 코인 노래연습장,,2020-02-06,,중앙로,85,,,,,karaoke_box
33.2570590441,126.5722504188,2017-04-28,별밤지기 온돌 노래연습장,,2020-02-06,,동홍남로,37,,,,,karaoke_box
33.3056247785,126.7947852679,2017-06-13,제주수련원 놀멍쉬멍 노래연습장,,2020-02-06,,일주동로,6337,표선면,,,,karaoke_box
33.325062774,126.8325018227,2017-06-16,황금노래연습장,,2020-02-06,,표선동서로,238,표선면,,,,karaoke_box
33.255448064,126.5725802126,2018-07-19,MY노래연습장,,2020-02-06,,동홍중앙로52번길,5,,,,,karaoke_box
33.2807072936,126.2782604533,2018-12-10,k팝스타 코인노래연습장,,2020-02-06,,글로벌에듀로,370,대정읍,,,,karaoke_box
33.2898614037,126.3017945055,2019-01-08,광청노래연습장,,2020-02-06,,녹차분재로,45,안덕면,,,,karaoke_box
33.2346617864,126.506775923,2019-01-15,범섬노래연습장,,2020-02-06,,월드컵로,169,,,,,karaoke_box
33.2642935587,126.5618475324,2019-01-31,주공노래연습장,,2020-02-06,,중앙로150번길,77,,,,,karaoke_box
33.3049739532,126.3163541636,2019-07-05,노래야노래야 코인노래연습장,,2020-02-06,,신화역사로304번길,38,안덕면,,,,karaoke_box
33.4478830865,126.9159846092,2019-09-03,플랙스 코인노래연습장,,2020-02-06,,일출로,29,성산읍,,,,karaoke_box
33.4602976429,126.9294486795,2019-11-26,리치유 코인노래연습장,,2020-02-06,,성산등용로17번길,55,성산읍,,,,karaoke_box
