위도,경도,name,tourism,motor_vehicle,tents,caravans,static_caravans,addr:full,capacity:caravans,capacity:tents,power_supply,bbq,hot_water,internet_access,swimming_pool,shower,toilets,washing_machine,source:date
37.8458423,128.6808832,삼산야영장 ,camp_site,yes,,,,강원도 강릉시 연곡면 삼산리 ,0,15,yes,yes,no,no,,,,,2019-07-12
36.7770643,126.3497965,삼원레저타운,camp_site,,yes,,,충남 서산시 팔봉면 진장서낭골길 203-14,0,100,yes,yes,yes,yes,yes,,,,2019-07-12
35.3079167,127.8338141,삼장다목적캠핑장 ,camp_site,yes,yes,,,경상남도 산청군 삼장면 친환경로 409-28 ,0,50,yes,yes,no,no,,,,,2019-07-12
37.9791858,127.1354706,삼정오토캠핑장,camp_site,,yes,,,경기도 포천시 신북면 삼정리 ,0,40,yes,no,yes,no,,,,,2019-07-12
38.0221896,126.9798112,삼화리 동광 캠핑장,camp_site,yes,,,,경기도 연천군 미산면 어삼로 447-30,0,22,yes,yes,yes,no,yes,,,,2019-07-12
37.836492,127.3153356,물골삼화힐링타운캠핑장,camp_site,yes,yes,,,경기 가평군 상면 물골길 112,0,20,yes,yes,yes,yes,yes,,,,2019-07-12
37.5472777,127.4997249,상상글램핑,camp_site,,yes,,,경기도 양평군 옥천면 용천리 155-18,0,6,no,no,no,no,,,,,2019-07-12
36.2373729,127.4690661,상소오토캠핑장 ,camp_site,,yes,,,대전광역시 동구 상소동 ,0,50,yes,no,yes,yes,yes,,,,2019-07-12
37.1552007,128.6585157,상순네 오토캠핑장 ,camp_site,yes,,,,강원도 영월군 중동면 고장골길 76-6 ,0,27,yes,yes,yes,yes,yes,,,,2019-07-12
37.9445735,127.1272298,상아골계곡오토캠핑장,camp_site,yes,yes,,,경기도 포천시 신북면 금동리 247-1,0,45,yes,yes,yes,yes,yes,,,,2019-07-12
37.3476024,128.2791269,상우농장 야영장,camp_site,yes,,,,강원 영월군 무릉도원면 무릉법흥로 994-23,0,25,yes,yes,yes,yes,,,,,2019-07-12
