위도,경도,building,name,addr:full,지번주소,rooms,building:levels,building:levels:underground,start_date,비고,source:date,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
33.2580539618,126.5731599173,apartment,일호3차아파트,,제주특별자치도 서귀포시 동홍동 82-1,54,9,,2000-12-09,아파트,2020-02-18,,동홍북로48번길,10,,,,
33.2539675457,126.507710559,apartment,한빛테크놀즈 103,,제주특별자치도 서귀포시 강정동 160-1,21,6,1,2001-02-09,아파트,2020-02-18,,김정문화로27번길,23-5,,,,
33.4454192659,126.9051288361,apartment,진우파크빌,,제주특별자치도 서귀포시 성산읍 고성리 1618-1,100,5,1,2001-02-12,아파트,2020-02-18,,서성일로,1186-6,성산읍,,,
33.2200169163,126.260270317,residential,한빛연립주택105동,,제주특별자치도 서귀포시 대정읍 상모리 4150,40,4,,2001-03-05,연립,2020-02-18,,비행장로55번길,18,대정읍,,,
33.2162467064,126.2576032751,residential,대정반석2차타운,,제주특별자치도 서귀포시 대정읍 하모리 570,48,4,,2001-08-02,연립,2020-02-18,,최남단해안로125번길,53,대정읍,,,
33.2834040717,126.7078154701,residential,남원반석타운,,제주특별자치도 서귀포시 남원읍 남원리 1147,80,4,,2001-08-29,연립,2020-02-18,,남위남성로,10-8,남원읍,,,
33.3211475101,126.8282521354,apartment,표선2차반석타운,,제주특별자치도 서귀포시 표선면 표선리 1534-1,60,5,,2001-09-05,아파트,2020-02-18,,표선동서로61번길,124,표선면,,,
33.2200169163,126.260270317,apartment,한빛연립주택103동,,제주특별자치도 서귀포시 대정읍 상모리 4150,22,4,,2001-09-19,아파트,2020-02-18,,비행장로55번길,18,대정읍,,,
33.2560147682,126.5716717128,apartment,대림아파트,,제주특별자치도 서귀포시 동홍동 114-7,192,9,1,2001-10-31,아파트,2020-02-18,,동홍중앙로,61,,,,
33.2529859177,126.5075443658,apartment,한빛테크놀즈 101,,제주특별자치도 서귀포시 강정동 165-5,44,6,1,2002-01-14,아파트,2020-02-18,,김정문화로27번길,13-3,,,,
33.2607090957,126.5558640442,apartment,태봉아파트,,제주특별자치도 서귀포시 서홍동 299-1,126,7,1,2002-01-31,아파트,2020-02-18,,홍중로,92,,,,
33.255187571,126.4626577314,apartment,서진아파트,,제주특별자치도 서귀포시 하원동 367-1,101,5,1,2002-02-23,아파트,2020-02-18,,지세못로,29,,,,
33.2494040393,126.4297415024,apartment,중문미듬하나로아파트,,제주특별자치도 서귀포시 중문동 2433-2,66,5,1,2002-09-23,아파트,2020-02-18,,천제연로232번길,18-5,,,,
33.2633703603,126.5701332755,apartment,동홍반석아르미아파트,,제주특별자치도 서귀포시 동홍동 1230-1,155,7,1,2003-04-18,아파트,2020-02-18,,동홍로162번길,30,,,,
33.2536532429,126.4314823935,apartment,중푼푸른마을아파트,,제주특별자치도 서귀포시 중문동 1789,460,5,,2003-05-20,아파트,2020-02-18,,천제연로,239,,,,
33.2240923509,126.2470670888,apartment,벽성뜨래별아파트,,제주특별자치도 서귀포시 대정읍 하모리 1187-2,24,7,1,2006-02-01,아파트,2020-02-18,,신영로,16,대정읍,,,
