위도,경도,name,addr:full,plant:storage,start_date,source:date,power,plant:source,plant:method,plant:output:electricity,addr:district,addr:street,addr:housenumber,addr:subdistrict,addr:unit,level,addr:door
36.168116,128.011454,일신테크 제2,경상북도 김천시 봉산면 신암리 662-2(제1동 지붕),99 kW,2013-10-21,2019-11-28,plant,solar,photovoltaic,yes,,,662-2,봉산면,제1,,
36.205741,128.006042,대한송유관공사추풍령가압소,"경상북도 김천시 봉산면 광천리 583-1, 600",225 kW,2013-11-30,2019-11-28,plant,solar,photovoltaic,yes,,,583-1,봉산면,,,
36.147694,128.141476,진명,경상북도 김천시 대광동 627 외6필지(지붕),298.08 kW,2014-01-03,2019-11-28,plant,solar,photovoltaic,yes,,,627,대광동,,,
36.128993,128.043843,양지,"경상북도 김천시 대항면 덕전리 1105-4,1105-8, 1105-12, 1033(토지)",99.2 kW,2016-06-22,2019-11-28,plant,solar,photovoltaic,yes,,,"1105-4,1105-8",대항면,,,
35.976788,128.027036,㈜재영,경상북도 김천시 지례면 도곡리 55-4(지붕),355.68 kW,2013-12-30,2019-11-28,plant,solar,photovoltaic,yes,,,55-4,지례면,,,
36.152171,128.019555,에스티,"경상북도 김천시 봉산면 태화리 656-1,659-1(지붕)",216 kW,2014-04-08,2019-11-28,plant,solar,photovoltaic,yes,,,"656-1,659-1",봉산면,,,
36.124909,128.082154,삼성,"경상북도 김천시 백옥동 174, 178-1(지붕)",99 kW,2014-04-28,2019-11-28,plant,solar,photovoltaic,yes,,,174,백옥동,,,
36.055948,128.107946,예동,"경상북도 김천시 조마면 장암리 97-1,99,100,101(지붕)",90 kW,2014-05-07,2019-11-28,plant,solar,photovoltaic,yes,,,"97-1,99,100,101",조마면,,,
36.0161,127.991761,임천제1호,"경상북도 김천시 구성면 임천리 171, 174-4, 602-1, 603-1(토지)",99 kW,2014-03-20,2019-11-28,plant,solar,photovoltaic,yes,,,171,구성면,,,
36.0161,127.991761,임천제2호,"경상북도 김천시 구성면 임천리 171, 174-4, 602-1, 603-1(토지)",99 kW,2014-03-20,2019-11-28,plant,solar,photovoltaic,yes,,,171,구성면,,,
36.0161,127.991761,임천제3호,"경상북도 김천시 구성면 임천리 171, 174-4, 602-1, 603-1(토지)",99 kW,2014-03-20,2019-11-28,plant,solar,photovoltaic,yes,,,171,구성면,,,
36.0161,127.991761,임천제4호,"경상북도 김천시 구성면 임천리 171, 174-4, 602-1, 603-1(토지/지붕)",99 kW,2014-03-20,2019-11-28,plant,solar,photovoltaic,yes,,,171,구성면,,,
36.129004,128.042539,풍림,"경상북도 김천시 대항면 덕전리 1105-4, 1105-16, 1105-17, 1105-18, 1087, 1088(토지)",99 kW,2016-02-22,2019-11-28,plant,solar,photovoltaic,yes,,,1105-4,대항면,,,
35.978428,128.017791,삼도,"경상북도 김천시 지례면 도곡리 493-1, 493-2, 493-5, 494, 495(지붕)",225 kW,2014-06-23,2019-11-28,plant,solar,photovoltaic,yes,,,493-1,지례면,,,
36.173168,128.19759,양천,경상북도 김천시 개령면 양천리 316-1(지붕),50 kW,2014-06-26,2019-11-28,plant,solar,photovoltaic,yes,,,316-1,개령면,,,
36.14226,128.066706,수성,경상북도 김천시 봉산면 신리 442(지붕),57.24 kW,2014-05-22,2019-11-28,plant,solar,photovoltaic,yes,,,442,봉산면,,,
36.125009,128.082247,태광,경상북도 김천시 영남대로 1334(지붕),50 kW,2014-11-10,2019-11-28,plant,solar,photovoltaic,yes,,영남대로,1334,,,,
36.159222,128.191616,대신리태양광발전소1호,경상북도 김천시 아포읍 아포대로 595-93(지붕),99 kW,2014-10-01,2019-11-28,plant,solar,photovoltaic,yes,,아포대로,595-93,아포읍,,,
36.037593,128.124212,용호농장제1,경상북도 김천시 감천면 용호리 961-66(지붕),99 kW,2015-08-06,2019-11-28,plant,solar,photovoltaic,yes,,,961-66,감천면,,,
36.037508,128.125579,용호농장제2,경상북도 김천시 감천면 용호리 727(지붕),99 kW,2015-08-06,2019-11-28,plant,solar,photovoltaic,yes,,,727,감천면,,,
36.004667,128.134898,엠에스,경상북도 김천시 조마면 대방리 475-1(지붕),99 kW,2015-01-14,2019-11-28,plant,solar,photovoltaic,yes,,,475-1,조마면,,,
36.004667,128.134898,와이디,경상북도 김천시 조마면 대방리 475-1(지붕),99 kW,2015-01-14,2019-11-28,plant,solar,photovoltaic,yes,,,475-1,조마면,,,
36.004667,128.134898,해맞이,경상북도 김천시 조마면 대방리 475-1(지붕),72.8 kW,2015-01-14,2019-11-28,plant,solar,photovoltaic,yes,,,475-1,조마면,,,
